combo,ops,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta,passes_geometry
rhythm_q3off650_nonq2_strict,Q1:rhythm__rr_charge_core5h_m_charging_min_zdev_subj_mean|subject_z|c0.5|w0.45; Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.5|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.5|w0.45; S2:rhythm__rr_charge_pre3h_m_charging_mean_prev1_delta|subject_z|c0.5|w0.45; S3:rhythm__rr_mlight_pre3h_m_light_max_next3_delta|subject_z|c0.5|w0.45; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5640119198190534,-0.007054312804097851,-0.008501163699995406,1.0,-0.006300329377698544,0.0,-0.011936585388606303,-0.017292984901517077,-0.007024642226264022,-0.007785821636690643,-0.00916778236919089,True
rhythm_q3off650_nonq2,Q1:rhythm__rr_charge_core5h_m_charging_min_zdev_subj_mean|subject_z|c0.2|w0.45; Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.2|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.45; S2:rhythm__rr_charge_pre3h_m_charging_mean_prev1_delta|subject_z|c0.2|w0.45; S3:rhythm__rr_mlight_pre3h_m_light_max_next3_delta|subject_z|c0.2|w0.45; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.2|w0.45,0.5710662326231513,0.5642942196628169,-0.0067720129603343615,-0.007817507282732016,1.0,-0.0060911800121568275,0.0,-0.010700549032711993,-0.016754452217794525,-0.0059461468253771245,-0.006926361241567147,-0.008303861649516164,True
rhythm_q3off650_nonq2_soft,Q1:rhythm__rr_charge_core5h_m_charging_min_zdev_subj_mean|subject_z|c0.2|w0.3; Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.2|w0.3; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.3; S2:rhythm__rr_charge_pre3h_m_charging_mean_prev1_delta|subject_z|c0.2|w0.3; S3:rhythm__rr_mlight_pre3h_m_light_max_next3_delta|subject_z|c0.2|w0.3; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.2|w0.3,0.5710662326231513,0.5658921323204883,-0.005174100302662965,-0.005928776125508595,1.0,-0.004642183819096068,0.0,-0.00819943069564072,-0.012784195010803212,-0.0045170614690680285,-0.005305394783068296,-0.006053167100883894,True
rhythm_q3off650_q3_s1_s4_strict,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.5|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.5|w0.45; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5665621885434995,-0.00450404407965177,-0.005485336094187787,1.0,0.0,0.0,-0.011936585388606303,-0.017292984901517077,0.0,0.0,-0.00916778236919089,True
rhythm_q3off650_q3_s1_s4_mixed,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.5|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.45; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.2|w0.45,0.5710662326231513,0.5666320314382389,-0.004434201184912334,-0.005284985607988157,1.0,0.0,0.0,-0.011936585388606303,-0.016754452217794525,0.0,0.0,-0.008303861649516164,True
rhythm_q3off650_q3_s1_s4,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.2|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.45; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.2|w0.45,0.5710662326231513,0.5666931837005919,-0.004373048922559408,-0.005108408985717561,1.0,0.0,0.0,-0.010700549032711993,-0.016754452217794525,0.0,0.0,-0.008303861649516164,True
rhythm_q3off650_q3_s1_s4_soft,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.2|w0.3; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.3; S4:rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev|subject_center|c0.2|w0.3,0.5710662326231513,0.5677443940061796,-0.003321838616971662,-0.0038623989724754447,1.0,0.0,0.0,-0.00819943069564072,-0.012784195010803212,0.0,0.0,-0.006053167100883894,True
rhythm_q3off650_q3_s1,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.2|w0.45; S1:rhythm__rr_mlight_core5h_m_light_min_dev_subj_med|subject_z|c0.2|w0.45,0.5710662326231513,0.5677466421430841,-0.003319590480067136,-0.003922143035786685,1.0,0.0,0.0,-0.010700549032711993,-0.016754452217794525,0.0,0.0,0.0,True
rhythm_q3off650_q1_s2_s3,Q1:rhythm__rr_charge_core5h_m_charging_min_zdev_subj_mean|subject_z|c0.2|w0.45; S2:rhythm__rr_charge_pre3h_m_charging_mean_prev1_delta|subject_z|c0.2|w0.45; S3:rhythm__rr_mlight_pre3h_m_light_max_next3_delta|subject_z|c0.2|w0.45,0.5710662326231513,0.5686672685853763,-0.0023989640377749533,-0.002709098297014478,1.0,-0.0060911800121568275,0.0,0.0,0.0,-0.0059461468253771245,-0.006926361241567147,0.0,True
rhythm_q3off650_q3_hr_irregular,Q3:rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev|subject_z|c0.5|w0.45,0.5710662326231513,0.5688694230646811,-0.0021968095584701253,-0.0017052264840866527,0.9,0.0,0.0,-0.011936585388606303,0.0,0.0,0.0,0.0,True
