candidate,file,weighted_mean_score,mean_score,p10_score,p50_score,p90_score,worst_score,weighted_delta_vs_a2c8,win_rate_vs_a2c8,weighted_win_rate_vs_a2c8,p10_delta_vs_a2c8,p50_delta_vs_a2c8,p90_delta_vs_a2c8,worst_delta_vs_a2c8,weighted_delta_vs_b01_ladder,win_rate_vs_b01_ladder,weighted_win_rate_vs_b01_ladder,p10_delta_vs_b01_ladder,p50_delta_vs_b01_ladder,p90_delta_vs_b01_ladder,worst_delta_vs_b01_ladder,weighted_delta_vs_898_ladder,win_rate_vs_898_ladder,weighted_win_rate_vs_898_ladder,p10_delta_vs_898_ladder,p50_delta_vs_898_ladder,p90_delta_vs_898_ladder,worst_delta_vs_898_ladder,weighted_delta_vs_blockorth_3a28,win_rate_vs_blockorth_3a28,weighted_win_rate_vs_blockorth_3a28,p10_delta_vs_blockorth_3a28,p50_delta_vs_blockorth_3a28,p90_delta_vs_blockorth_3a28,worst_delta_vs_blockorth_3a28
direns_c4af,submission_direns_c4af1fd8.csv,0.5776023711902951,0.5776007023907404,0.5771133021733259,0.5779373185432751,0.5780032043029812,0.5780553777973696,-0.0001817892860671895,0.46875,0.4652483607335006,-0.0008146949754066041,0.00026690368258641683,0.00030153634726988075,0.0003397845117167897,-1.1240969750694998e-05,0.63125,0.6344034752563792,-2.6260322413262926e-05,-2.0809392369285544e-05,6.80478532451755e-06,3.4864494666830836e-05,-9.343904777297092e-06,0.5395833333333333,0.5423111143676362,-7.151689019019856e-05,-6.095942295443125e-05,7.070239072050519e-05,0.0001075457308872263,-1.6813348986952533e-05,0.94375,0.9444533911973529,-3.632889779114912e-05,-1.1718312819925725e-05,-2.0691106246320926e-06,1.6990931722915548e-05
direns_c0fd,submission_direns_c0fdb76b.csv,0.5776032231737488,0.577601632135923,0.5771293386040309,0.5779274287392501,0.5779922243974179,0.5780439223893545,-0.00018093730261349865,0.46875,0.4652483607335006,-0.0007994880061925091,0.0002581330205730925,0.00029084250146775705,0.00032914115903093233,-1.0388986297004127e-05,0.5666666666666667,0.5732726205406138,-3.6847669014239415e-05,-2.9094419129998415e-05,2.1731122991567816e-05,5.851617694085931e-05,-8.491921323606222e-06,0.5354166666666667,0.5384483699359119,-8.19775993866957e-05,-6.975447058130335e-05,8.674391092743698e-05,0.0001319574280802538,-1.5961365533261664e-05,0.9166666666666666,0.9184875637613418,-2.98296803867018e-05,-1.632304710375429e-05,-1.2806500333920515e-06,3.132711143516431e-05
direns_24a9,submission_direns_24a92ca1.csv,0.5776037026939724,0.5776021827499986,0.5771284407354426,0.577927464863804,0.5779926722238481,0.5780462178591848,-0.0001804577823898148,0.46875,0.4652483607335006,-0.0007997421887275094,0.000258217191004384,0.00029183384531748986,0.0003314930563744767,-9.909466073320274e-06,0.5729166666666666,0.57950412643376,-3.680495266777939e-05,-2.714091763689444e-05,2.302843382609314e-05,7.125534620588958e-05,-8.012401099922368e-06,0.5354166666666667,0.5384483699359119,-8.167612839216076e-05,-6.967053828107068e-05,8.687455440982969e-05,0.0001381619452669458,-1.548184530957781e-05,0.9083333333333333,0.9096862327918199,-2.9754073075816123e-05,-1.539385748676863e-05,-4.888082283025788e-07,3.8537797546256414e-05
direns_1e0f,submission_direns_1e0f159d.csv,0.5776042003564872,0.5776025941827321,0.5771350009572296,0.5779216991650102,0.5779853178858787,0.578039720711756,-0.00017996011987510635,0.46875,0.4652483607335006,-0.0007905078449548899,0.00025363815486745267,0.00028468880025966925,0.00031982911855754637,-9.411803558611847e-06,0.54375,0.546409132010288,-4.331166267919189e-05,-3.455022610692973e-05,3.088410386554866e-05,6.961451474785108e-05,-7.5147385852139435e-06,0.5354166666666667,0.5384483699359119,-8.907199060261684e-05,-7.459567581825661e-05,9.589533083198484e-05,0.00015521953895913931,-1.4984182794869382e-05,0.8020833333333334,0.8057591198024624,-2.7796289118895575e-05,-1.985665416260011e-05,4.34029501628823e-06,3.452314360097297e-05
direns_81cc,submission_direns_81cca594.csv,0.5776043707100027,0.5776027277442249,0.5771336591130475,0.5779232559423669,0.5779872205986762,0.57804053279874,-0.00017978976635945931,0.46875,0.4652483607335006,-0.0007920009170695198,0.00025654432898325474,0.00028611542086909303,0.00032138879660914554,-9.241450042964794e-06,0.5395833333333333,0.5423111143676362,-4.1146348241051015e-05,-3.360791497227498e-05,2.8794540284365775e-05,6.105985959692362e-05,-7.344385069566888e-06,0.5395833333333333,0.5423111143676362,-8.710806687739492e-05,-7.315530156417631e-05,9.375996621454322e-05,0.00014666488380821185,-1.4813829279222329e-05,0.8354166666666667,0.8388261742432981,-2.6438380475113377e-05,-1.8451905448866946e-05,2.685860159371918e-06,2.70635404300279e-05
direns_2a96,submission_direns_2a96ae73.csv,0.5776046853845318,0.5776032994515546,0.5771516702461729,0.5779115640417348,0.5779780803370786,0.5780338069935849,-0.0001794750918304747,0.46875,0.4652483607335006,-0.0007750863419111481,0.00024468768991336987,0.00027587328211977914,0.0003151161251553347,-8.926775513980167e-06,0.5541666666666667,0.5623969207111592,-5.206227352760884e-05,-4.3434650013551845e-05,4.395143912328909e-05,0.00010130823254761445,-7.029710540582262e-06,0.53125,0.5347516392664995,-9.78408066259572e-05,-8.309298043860012e-05,0.00011021729555787413,0.0001869132567589027,-1.44991547502377e-05,0.6541666666666667,0.6596746979522083,-3.5432076743280305e-05,-2.8581032090770074e-05,1.732947894513024e-05,5.624280969485085e-05
898_ladder,submission_sparseladder_89817541.csv,0.5776117150950724,0.5776097019932779,0.5770418521078974,0.5780006950370062,0.5780735256195991,0.5781332185336512,-0.00017244538128989242,0.46875,0.4652483607335006,-0.0008855279592468918,0.00032911730467910933,0.00037328316468276945,0.00041527475233316125,-1.8970649733979063e-06,0.46458333333333335,0.4615516300640882,-6.482180264003685e-05,3.658988558608023e-05,4.795083008841099e-05,5.5646886262472606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.469444209655437e-06,0.46458333333333335,0.4613856163017763,-9.931794483699148e-05,4.8156333215088054e-05,6.763556378440454e-05,8.086952790664625e-05
b01_ladder,submission_sparseladder_b01acaa1.csv,0.5776136121600458,0.5776117259283421,0.5771071993358656,0.5779604798405172,0.5780285706907102,0.5780775716473887,-0.00017054831631649456,0.46875,0.4652483607335006,-0.0008196953659037093,0.0002917946231285322,0.00032658324516665616,0.0003625556468298541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8970649733979063e-06,0.5354166666666667,0.5384483699359119,-4.798012725748535e-05,-3.659144419497525e-05,6.463568094710558e-05,8.560502421128824e-05,-5.572379236257534e-06,0.45416666666666666,0.45143524944512103,-3.938208889768212e-05,1.0640289640567376e-05,2.0801522409838722e-05,3.0777879626686655e-05
blockorth_3a28,submission_blockorth_3a28f87f.csv,0.5776191845392821,0.577617268604388,0.5771413108342982,0.5779437905346296,0.5780117680659524,0.5780641363069692,-0.000164975937080237,0.46458333333333335,0.4615516300640882,-0.0007864346289013676,0.0002774645276828081,0.00030800166383149197,0.0003452271834307741,5.572379236257534e-06,0.5416666666666666,0.5444044767614382,-2.0924985498549376e-05,-1.0683756549223489e-05,3.903469897155616e-05,0.00010290134350432467,7.469444209655437e-06,0.5354166666666667,0.5386143836982238,-6.802407131324975e-05,-4.8510299756221053e-05,9.905611405660957e-05,0.00017697686972839577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direns_652c,submission_direns_652cd2ca.csv,0.577619495704092,0.5776178001858224,0.5770866237557982,0.5779848470339898,0.5780555168949989,0.5781163996509859,-0.00016466477227025634,0.46458333333333335,0.4615516300640882,-0.0008392985649838619,0.00031272767813283846,0.00035383185256837195,0.00040274553297425797,5.88354404623818e-06,0.4125,0.4138819811816228,-2.607937762404966e-05,2.155690531746579e-05,3.0128586662625523e-05,6.690026742894872e-05,7.780609019636086e-06,0.54375,0.5462066549736446,-2.135400633207496e-05,-1.0468975740529629e-05,4.4982209629029654e-05,9.813879136721937e-05,3.111648099806452e-07,0.46041666666666664,0.4576888856323639,-5.80082305237056e-05,3.559733479030491e-05,4.7507292734744476e-05,6.622028487734966e-05
