role,family,basename,file,local_mean,local_p90,local_bad_axis,public_analog_survival_score,public_analog_risk_score,e347_gate,e347_rank_score,candidate_group,full_state_corr_abs,full_state_corr_col,full_state_corr_signed,q1_state_corr_abs,q1_state_corr_signed,q1_state_enrich_abs,q1_state_enrich_signed,own_state_corr_abs,own_state_corr_col,own_state_corr_signed,nonq1_residual_corr_abs,nonq1_residual_corr_col,nonq1_residual_corr_signed,calendar_corr_abs,calendar_corr_col,calendar_corr_signed,signed_mean_q1_state_corr_abs,q1_target_q1_state_corr_abs,random_corr_p95,random_corr_max,permuted_q1_corr_p95,permuted_q1_corr_max,negative_control_max_corr,broader_control_max_corr,q1_specificity_margin,q1_broader_specificity_margin,q1_specificity_pass,broad_state_not_specific,state_specificity_score,row_l2_entropy,row_l2_q80,row_l2_max,e348_gate,e348_rank_score,selected_uploadsafe_file
e344_nullsafe_top5,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_e131968c.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_e131968c.csv,-0.0002490491022177,-5.011627886457851e-05,0.0146711325183864,0.5280612244897959,0.0448185703416572,True,3.291274711467938,e347_family,0.4323298612777804,rs01_Q1_jepa_resid_dateblock,0.4323298612777804,0.4323298612777804,0.4323298612777804,0.8525842069414464,0.8525842069414464,0.13743541496663944,ownlife_pc4,0.13743541496663944,0.16055796092737482,rs03_S2_jepa_resid_dateblock,0.16055796092737482,0.0532132631570117,subject_order,-0.0532132631570117,0.4057520280324484,0.5582846445543129,0.13498403494455907,0.17805251284020543,0.11414544232707718,0.191382902126434,0.13498403494455907,0.16055796092737482,0.2973458263332213,0.27177190035040555,True,False,1.0,0.8370786451518463,0.013174531583273053,0.030970513427761304,True,3.4399476246345486,analysis_outputs/submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv
e344_nullsafe_top3,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_bdadf4e2.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_bdadf4e2.csv,-0.0002497195224705,-5.018126641484368e-05,0.0146974855620184,0.4885204081632653,0.044910026762186,True,3.2106846760690546,e347_family,0.4709415629854842,rs01_Q1_jepa_resid_dateblock,0.4709415629854842,0.4709415629854842,0.4709415629854842,0.853817025424279,0.853817025424279,0.13187367585227366,ownlife_cluster_distance,-0.13187367585227366,0.14763172551171588,rs03_S2_jepa_resid_dateblock,0.14763172551171588,0.06655489062452727,subject_order,-0.06655489062452727,0.48218024099006185,0.7042698242753059,0.13164020677929225,0.17377093564004903,0.1251421997361509,0.18343017539847722,0.13164020677929225,0.14763172551171588,0.33930135620619195,0.3233098374737683,True,False,1.0,0.8293136257939475,0.013228756555322763,0.030914218873706455,True,3.380335354172151,
e344_nullsafe_top6,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9fdf1eb9.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_9fdf1eb9.csv,-0.0002496450485156,-5.0106014816578314e-05,0.0146817231410287,0.4821428571428571,0.0448172543362525,True,3.1991761072140497,e347_family,0.43239283828541253,rs01_Q1_jepa_resid_dateblock,0.43239283828541253,0.43239283828541253,0.43239283828541253,0.8525842069414464,0.8525842069414464,0.1374285028560457,ownlife_pc4,0.1374285028560457,0.16004262468199493,rs03_S2_jepa_resid_dateblock,0.16004262468199493,0.05308766596729332,subject_order,-0.05308766596729332,0.4084631114097825,0.5582846445543129,0.12078456295300721,0.17431075697211154,0.11964122305956885,0.16864205827293235,0.12078456295300721,0.16004262468199493,0.3116082753324053,0.2723502136034176,True,False,1.0,0.8370820646143299,0.013174531583273053,0.030970513427761304,True,3.3549802448802524,
e344_nullsafe_top4,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,-0.0002503154716311,-5.017100584605437e-05,0.0147080761846608,0.4744897959183673,0.0449087115810045,False,3.1823615772562244,e347_family,0.4709415629854842,rs01_Q1_jepa_resid_dateblock,0.4709415629854842,0.4709415629854842,0.4709415629854842,0.853817025424279,0.853817025424279,0.13187367585227366,ownlife_cluster_distance,-0.13187367585227366,0.14763172551171588,rs03_S2_jepa_resid_dateblock,0.14763172551171588,0.06655489062452727,subject_order,-0.06655489062452727,0.4844303572309915,0.7042698242753059,0.12118950368412336,0.17635764155622252,0.11973631502205535,0.15694929287282586,0.12118950368412336,0.14763172551171588,0.34975205930136083,0.3233098374737683,True,False,1.0,0.8293174043772286,0.013228756555322763,0.030914218873706455,False,3.3572376069069048,
e344_nullsafe_top2,e344,submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_8de06933.csv,analysis_outputs/submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_8de06933.csv,-0.0002457578448317,-5.350930631163162e-05,0.014839096175915,0.4808673469387755,0.0511307884798795,False,3.1329587109925123,e347_family,0.4774198397495971,rs01_Q1_jepa_resid_dateblock,0.4774198397495971,0.4774198397495971,0.4774198397495971,0.853817025424279,0.853817025424279,0.1224235366162546,ownlife_cluster_distance,-0.1224235366162546,0.15496763692576512,rs03_S2_jepa_resid_dateblock,0.15496763692576512,0.07242949514929191,subject_order,-0.07242949514929191,0.4780163608911212,0.7042698242753059,0.12321817762099187,0.16711574607499816,0.12100052096250218,0.18131021037158013,0.12321817762099187,0.15496763692576512,0.35420166212860527,0.322452202823832,True,False,1.0,0.8275069300633385,0.013228756555322763,0.030914218873706455,False,3.310059542056815,
e345_nullsafe_top3,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_joint_cellveto_61d91c4c.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_joint_cellveto_61d91c4c.csv,-0.0002465802797464,-5.188773301777056e-05,0.0146558258772986,0.4783163265306122,0.0511441751002572,False,3.130682988143959,e347_family,0.47306056966054144,rs01_Q1_jepa_resid_dateblock,0.47306056966054144,0.47306056966054144,0.47306056966054144,0.8330926543902464,0.8330926543902464,0.12623622333920487,ownlife_cluster_distance,-0.12623622333920487,0.156874288854279,rs03_S2_jepa_resid_dateblock,0.156874288854279,0.06913491324746715,subject_order,-0.06913491324746715,0.47770747791984347,0.7043023046511596,0.11258657317366035,0.2083770873150878,0.12400591833841335,0.1572592564342895,0.12400591833841335,0.156874288854279,0.3490546513221281,0.31618628080626243,True,False,1.0,0.8285743322827427,0.013890194383088653,0.03120298749433188,False,3.305210313805023,
e345_nullsafe_top6,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_45_q1s1_counter_20f213b3.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_45_q1s1_counter_20f213b3.csv,-0.0002480507395766,-5.163148529846474e-05,0.0146439782717327,0.4795918367346939,0.0508383486358823,False,3.136332215615712,e347_family,0.47311580783427365,rs01_Q1_jepa_resid_dateblock,0.47311580783427365,0.47311580783427365,0.47311580783427365,0.8330926543902464,0.8330926543902464,0.12643932985492787,ownlife_cluster_distance,-0.12643932985492787,0.15683349758752294,rs03_S2_jepa_resid_dateblock,0.15683349758752294,0.06896533784705074,subject_order,-0.06896533784705074,0.47988045349769504,0.7042922879339333,0.14231444105833652,0.2069846604280079,0.1179138701211015,0.15484662296927887,0.14231444105833652,0.15683349758752294,0.33080136677593713,0.3162823102467507,True,False,1.0,0.8291528303743527,0.013890194383088653,0.03120298749433188,False,3.3017328990036803,
e345_nullsafe_top1,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1q2s1_counter_61d91c4c.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_q1q2s1_counter_61d91c4c.csv,-0.0002465802797464,-5.188773301777247e-05,0.0146558258772985,0.4668367346938775,0.0511441751002576,False,3.107723804470489,e347_family,0.47306056966054144,rs01_Q1_jepa_resid_dateblock,0.47306056966054144,0.47306056966054144,0.47306056966054144,0.8330926543902464,0.8330926543902464,0.12623622333920487,ownlife_cluster_distance,-0.12623622333920487,0.156874288854279,rs03_S2_jepa_resid_dateblock,0.156874288854279,0.06913491324746715,subject_order,-0.06913491324746715,0.47770747791984347,0.7043023046511596,0.10778979639401409,0.13756684749876338,0.10814846210514746,0.19692366444623235,0.10814846210514746,0.156874288854279,0.364912107555394,0.31618628080626243,True,False,1.0,0.8285743322827427,0.013890194383088653,0.03120298749433188,False,3.290179858248186,
E345_upload,e345,submission_e345_counterrefine_lifestyle_61d91c4c_uploadsafe.csv,analysis_outputs/submission_e345_counterrefine_lifestyle_61d91c4c_uploadsafe.csv,-0.0002465802797464,-5.188773301777247e-05,0.0146558258772985,0.4617346938775509,0.0511441751002576,False,3.0975197228378355,e347_family,0.47306056966054144,rs01_Q1_jepa_resid_dateblock,0.47306056966054144,0.47306056966054144,0.47306056966054144,0.8330926543902464,0.8330926543902464,0.12623622333920487,ownlife_cluster_distance,-0.12623622333920487,0.156874288854279,rs03_S2_jepa_resid_dateblock,0.156874288854279,0.06913491324746715,subject_order,-0.06913491324746715,0.47770747791984347,0.7043023046511596,0.12120372827588219,0.18507125199941898,0.12713516088034196,0.15970503280353943,0.12713516088034196,0.156874288854279,0.3459254087801995,0.31618628080626243,True,False,1.0,0.8285743322827427,0.013890194383088653,0.03120298749433188,False,3.270482427227935,
e345_nullsafe_top4,e345,submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_preserve_q2_cellve_61d91c4c.csv,analysis_outputs/submission_e345_counterrefine_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_105_v0_35_preserve_q2_cellve_61d91c4c.csv,-0.0002465802797464,-5.188773301777056e-05,0.0146558258772986,0.4540816326530613,0.0511441751002572,False,3.0822136003888563,e347_family,0.47306056966054144,rs01_Q1_jepa_resid_dateblock,0.47306056966054144,0.47306056966054144,0.47306056966054144,0.8330926543902464,0.8330926543902464,0.12623622333920487,ownlife_cluster_distance,-0.12623622333920487,0.156874288854279,rs03_S2_jepa_resid_dateblock,0.156874288854279,0.06913491324746715,subject_order,-0.06913491324746715,0.47770747791984347,0.7043023046511596,0.11832887876944166,0.13564370923482574,0.11196197814690934,0.1847483211376,0.11832887876944166,0.156874288854279,0.3547316908910998,0.31618628080626243,True,False,1.0,0.8285743322827427,0.013890194383088653,0.03120298749433188,False,3.2595794458344063,
