split,target,axis,e95_axis,fit_rows,val_rows,val_prevalence,subject_prior_logloss,raw_coverage_logloss,raw_plus_prior_logloss,raw_delta_vs_subject_prior,raw_plus_prior_delta_vs_subject_prior,raw_auc,raw_plus_prior_auc
temporal_last25_by_subject,Q1,Q,False,333,117,0.5641025641025641,0.6783447351582341,0.7190189930925818,0.7422694856208046,0.040674257934347646,0.06392475046257051,0.6194295900178253,0.6161616161616162
temporal_last25_by_subject,Q2,Q,True,333,117,0.6324786324786325,0.671772049771321,0.6820365789796398,0.7019541599263659,0.010264529208318773,0.030182110155044906,0.5983658076681333,0.5920804525455687
temporal_last25_by_subject,Q3,Q,False,333,117,0.6581196581196581,0.7004056946398932,0.7000433569930814,0.7227121755382832,-0.0003623376468118167,0.022306480898389935,0.6042207792207792,0.575974025974026
temporal_last25_by_subject,S1,S,True,333,117,0.7008547008547008,0.5576530816497826,0.6740288820222375,0.6794024433487366,0.11637580037245498,0.121749361698954,0.6024390243902439,0.6278745644599304
temporal_last25_by_subject,S2,S,True,333,117,0.5982905982905983,0.6176683881259221,0.7473820447847018,0.7099033926329568,0.12971365665877976,0.0922350045070347,0.5243161094224924,0.6492401215805471
temporal_last25_by_subject,S3,S,True,333,117,0.6239316239316239,0.6240033721508808,0.6847261144349585,0.6193607926283671,0.0607227422840777,-0.004642579522513679,0.5909090909090908,0.7169987546699875
temporal_last25_by_subject,S4,S,False,333,117,0.5213675213675214,0.653445503553029,0.7399023525381073,0.678237734866492,0.08645684898507833,0.024792231313462976,0.5690866510538641,0.6615925058548009
random_within_subject,Q1,Q,False,333,117,0.5213675213675214,0.648044060349387,0.6850921543896539,0.6740436070284115,0.03704809404026688,0.025999546679024488,0.6276346604215456,0.6387587822014051
random_within_subject,Q2,Q,True,333,117,0.5555555555555556,0.6495917856401255,0.6570041761978676,0.6414705463883196,0.00741239055774201,-0.008121239251805967,0.6532544378698225,0.6748520710059172
random_within_subject,Q3,Q,False,333,117,0.6324786324786325,0.6198664872554243,0.6282030590443706,0.6254860365303858,0.008336571788946312,0.005619549274961555,0.6876178504085482,0.6819610307982401
random_within_subject,S1,S,True,333,117,0.6837606837606838,0.5773435484034639,0.6152455441882864,0.6148180243131616,0.03790199578482245,0.03747447590969766,0.6466216216216216,0.6652027027027028
random_within_subject,S2,S,True,333,117,0.6666666666666666,0.5981441599507116,0.602575872763968,0.6246687982634307,0.004431712813256383,0.026524638312719118,0.688034188034188,0.6610782380013148
random_within_subject,S3,S,True,333,117,0.7008547008547008,0.5151803503242978,0.6007178687999906,0.5160377091525208,0.0855375184756928,0.0008573588282230205,0.6574912891986063,0.7536585365853659
random_within_subject,S4,S,False,333,117,0.5555555555555556,0.6381266037967477,0.6604413297977104,0.6392588026857229,0.022314726000962737,0.0011321988889752,0.6514792899408284,0.7014792899408284
