policy,expected_delta_focus_mean,moved_cells,moved_rows,targets_moved,cells_to_flip_expected,top1_over_abs_expected,top5_over_abs_expected,cells_for_2e6_guard,cells_for_e95_edge,support_prob_swing_weighted,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,entropy_delta_vs_e95,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,e168_expected_abs_share_vs_all,e168_benefit_share_vs_all_focus,e168_top_benefit_focus_cells_kept,e168_edge_like_rate,e168_between_train_runs_rate,e168_all_veto_null_rate,e168_all_safe_density_mean,e168_e72_active_rate,e168_decoupling_pass,stress_gate,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad
context_high__veto,-0.00012045673036518367,904,193,"Q1,Q2,Q3,S1,S2,S3,S4",32,0.04841537487014631,0.19776916523998583,1,4,0.4599066764002027,0.29532636060968254,0.9553964311891895,q2_bad,0.2223813605484257,0.00010127576694838326,0.0010959280847877646,0.010205926073456162,0.34777476718904526,0.08717950318804804,-0.02189595763702857,-0.020672273103378776,0.3627377809790067,1.2656086577151304,19.0,0.6106194690265486,0.8196902654867256,1.0,0.346150416414107,0.2688053097345133,True,True,0.12078966672852709,0.11160031167962851,0.1460677104394809,-0.05916715129754462,0.003807785471178283,0.01811184015570247,0.2223813605484257,0.03139306346383787,0.20941683024731075
context_high__high_density_p50,-0.00011907987592431485,894,193,"Q1,Q2,Q3,S1,S2,S3,S4",32,0.048975174948697436,0.20005586021102076,1,4,0.4607017817925092,0.29585645199468397,0.9552324114125931,q2_bad,0.2224640735814093,9.990941300469564e-05,0.0010858512532442581,0.010205926073456162,0.341722037793722,0.0875089206658167,-4.988746905793038e-16,-0.006441673679126037,0.3585915857178714,1.2522161801532858,19.0,0.610738255033557,0.8176733780760627,1.0,0.3492182425483609,0.2606263982102908,True,True,0.12198572212735934,0.11257802813569327,0.1456969038579908,-0.0587991680873228,0.003273734826971565,0.02364829390265096,0.2224640735814093,0.031282555372844176,0.2091177469414448
all_e166,-0.0003320766037661634,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",74,0.023369627333927886,0.10406302386412898,1,3,0.4657468361940843,0.45074244083409304,0.8926540494676112,q2_bad,0.2685385822251398,0.00023838570526070512,0.0022439863912539324,0.013580886333580455,0.25071858545881676,0.061661852337916254,-0.09914567450239818,-0.13768348927188997,1.0,3.232203713426995,74.0,0.472,0.624,0.6714285714285714,0.2333683662155042,0.5102857142857142,False,False,0.17935029875212993,0.14719398498158495,0.2534640287805273,-0.02830015452051284,0.16325455744036166,0.10870561427492931,0.2685385822251398,0.0839168335733853,0.23938867906935052
context_high,-0.00027107182945758606,1351,193,"Q1,Q2,Q3,S1,S2,S3,S4",58,0.028628967059618194,0.1274824300687586,1,3,0.46586467565533823,0.4154391375585829,0.9096209776520003,q2_bad,0.2527076281304256,0.00019003513168432468,0.0017889570075548308,0.013580886333580455,0.25638684176680865,0.07066955143544043,-0.10748782801266533,-0.1474225305072682,,,,,,,,,,False,0.1529615821131464,0.12284820540105022,0.23034456214828097,-0.014593900426943144,0.1529029404613677,0.07270546760911702,0.2527076281304256,0.07011106677409647,0.223601976431506
safety_veto_null,-0.0001539448619422829,1175,250,"Q1,Q2,Q3,S1,S2,S3,S4",41,0.03788341931443626,0.15474778898948913,1,4,0.45840060062777244,0.30819179175835726,0.9513242451933902,q2_bad,0.22563504948357557,0.0001319014126742273,0.0013976430067993348,0.010205926073456162,0.3367886700087654,0.07417777956991062,-0.02214886629839367,-0.0013582142902343638,0.4635823788738961,1.5922767220037355,22.0,0.4697872340425532,0.6306382978723404,1.0,0.3475699071294743,0.2706382978723404,False,False,0.14065680341579323,0.13415818178579358,0.16346633186696827,-0.092654437113508,0.003411540971982736,0.04837387756882232,0.22563504948357557,0.044196111261107125,0.20953159638097618
safety_high_density_p50,-0.00015260710100797268,1164,250,"Q1,Q2,Q3,S1,S2,S3,S4",41,0.03821550712740309,0.15610431529405605,1,4,0.459025353549252,0.3090906299695463,0.9510325874884779,q2_bad,0.22545696872581578,0.00013052673319181803,0.0013868651106624652,0.010205926073456162,0.3316345834458509,0.07443907249316264,-5.344155068947473e-16,0.013101462651685415,0.459553907975499,1.5788842444418911,22.0,0.4690721649484536,0.6280068728522337,1.0,0.3501879366977509,0.2637457044673539,False,False,0.1417061618723298,0.13498965154080675,0.16278926559995494,-0.09230814942419441,0.002964696056508497,0.05392292522606101,0.22545696872581578,0.04396311467873318,0.20905593496783573
safety_not_e72_active,-0.00011156815136291264,857,250,"Q1,Q2,Q3,S1,S2,S3,S4",31,0.05227260365094798,0.19934863245819917,1,4,0.4570276313104121,0.3169635046098007,0.9484377347751786,q2_bad,0.2749383608884683,9.649204112822776e-05,0.0009975659745092358,0.010205926073456162,0.4610546520458456,0.11827318488391991,-4.516934669801165e-16,-0.028099847818133145,0.3359711286419789,1.1410319448755657,12.0,0.4527421236872812,0.6336056009334889,1.0,0.3049818395085704,0.0,False,False,0.16922704536669855,0.16959712978109892,0.205348176370719,-0.04317194661920302,-0.014499999789992482,-0.026082546092463476,0.2749383608884683,0.10305987010185086,0.26575209036332376
context_high__veto_not_e72,-8.883440748004977e-05,661,193,"Q1,Q2,Q3,S1,S2,S3,S4",25,0.06564976253792465,0.2500358226701768,1,4,0.4608453328761848,0.31579193684218765,0.9488284632247597,q2_bad,0.2727616446904707,7.380496207903993e-05,0.0007853180598512537,0.010205926073456162,0.47249556831760203,0.12064135676348797,-3.8585016568004215e-16,-0.04122740762594061,0.2675117923772935,0.916240917037552,10.0,0.5869894099848714,0.8214826021180031,1.0,0.3055947694835512,0.0,False,False,0.15228132199222624,0.14806467888786468,0.18775254079684695,-0.031319292878431014,-0.005695937282198701,-0.038267672004345804,0.2727616446904707,0.08729172487501008,0.25698690276641717
context_high__veto__s_only,-7.95649212158862e-05,501,192,"S1,S2,S3,S4",22,0.07329810257008179,0.2810057828331812,1,4,0.41063415087738936,0.1727226101602032,0.9849705071419379,resid_bad,0.11998484535732594,7.955411980252932e-05,0.0006258736637307578,0.010205926073456162,0.2903991839304841,0.11185899864420416,-0.02961836688741188,-0.027610527998594498,0.2395980936733284,0.7879572493538128,12.0,0.6087824351297405,0.8143712574850299,1.0,0.3573154918632498,0.2954091816367265,False,False,0.09349739489865631,0.09413052385141008,0.1150707406464953,-0.04876555698582212,-0.0068208834940882805,0.0037147676645784443,0.0635950020028041,0.059100021697164766,0.11998484535732594
context_high__veto__no_q2s3,-7.864917213970208e-05,571,191,"Q1,Q3,S1,S2,S4",20,0.07415154664188173,0.3028973651438446,1,4,0.464422737499378,0.21898308635502692,0.9757286548474567,stage2,0.0983574426571398,6.391769279055137e-05,0.0007147919502447633,0.010205926073456162,0.0,0.07053074105925831,-2.1018414635420206e-16,-0.007745831960608636,0.2368404496062624,0.838009036469392,16.0,0.6164623467600701,0.8126094570928196,1.0,0.4422164291535494,0.4080560420315236,False,False,0.0883669598597577,0.06939236440937983,0.0983574426571398,-0.04753184596951773,0.039451353519023145,0.02843604315421253,0.0543582297952473,-0.019432493813591422,0.07783881569988066
