strategy,mask_name,keep_factor,rollback_cells,rollback_q2s3_cells,rollback_s_cells,all_minus_base,relaxed_structural_tol1e12,gate_active_q2s3_not_more_than_e101,gate_strict_actionable,original_strict_submit,relaxed_submit,e101_active_delta95_l1,q2s3_delta95_l1,e72_plausible_gap_vs_e95,post101_mean_vs_e95_e101_sensor,post101_p95_vs_e95_e101_sensor,post101_beat_e95_rate_e101_sensor,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,survival_score,tag
active_q2s3_repair,top_q2s3_weighted_21,0.0,21,21,21,-9.551357769921331e-06,True,True,True,True,True,0.00080000000000022,0.001040000000000016,2.8189256484623115e-18,-1.3131201275026826e-05,-3.368914796177015e-06,1.0,0.0018742857142857647,164,0.971693316627712,0.2436718036084944,13.00000955135777,e143_top_q2s3_weighted_21_68ca656f
active_q2s3_repair,s3_non_e101,0.5,43,43,43,-9.491752851142898e-06,True,True,True,True,True,0.0016000000000002252,0.0010200000000000328,2.8189256484623115e-18,-1.3064491096644027e-05,-3.3478911995706826e-06,1.0,0.0018685714285714837,185,0.971693316627712,0.2436718036084944,13.00000949175285,e143_s3_non_e101_1fe623d9
active_q2s3_repair,top_tension_21,0.0,21,21,21,-9.469925475680263e-06,True,True,True,True,True,2.34257058195908e-16,0.0010400000000000175,2.8189256484623115e-18,-1.30400617686526e-05,-3.3401923393741396e-06,1.0,0.0018742857142857651,164,0.971693316627712,0.2436718036084944,13.000009469925475,e143_top_tension_21_73020281
active_q2s3_repair,q2s3,0.5,47,47,47,-9.367025505468973e-06,True,True,True,True,True,0.0008000000000002355,0.0009400000000000339,2.8189256484623115e-18,-1.2924895512090843e-05,-3.303897894068924e-06,1.0,0.0018457142857143411,185,0.971693316627712,0.2436718036084944,13.000009367025505,e143_q2s3_6c7d8202
active_q2s3_repair,top_tension_55,0.5,55,47,49,-9.296705911210346e-06,True,True,True,True,True,0.0008000000000002355,0.0009400000000000339,2.8189256484623115e-18,-1.196026831511047e-05,-3.2790950621296695e-06,1.0,0.001800000000000055,185,0.9892141497334059,0.14839813246784395,13.000009296705912,e143_top_tension_55_b08cb982
active_q2s3_repair,top_tension_34,0.25,34,34,34,-9.186942921401986e-06,True,True,True,True,True,0.00040000000000021854,0.000860000000000022,2.8189256484623115e-18,-1.2723346016630563e-05,-3.2403799213773797e-06,1.0,0.0018228571428571948,185,0.971693316627712,0.2436718036084944,13.000009186942922,e143_top_tension_34_de8f6df4
active_q2s3_repair,top_q2s3_weighted_34,0.25,34,34,34,-9.162810564400381e-06,True,True,True,True,True,0.0007000000000002133,0.0008600000000000212,2.8189256484623115e-18,-1.26963369396388e-05,-3.2318680577735105e-06,1.0,0.0018228571428571946,185,0.971693316627712,0.2436718036084944,13.000009162810564,e143_top_q2s3_weighted_34_a27b919a
active_q2s3_repair,s3_non_e101,0.25,43,43,43,-8.729660864292832e-06,True,True,True,True,True,0.0016000000000002252,0.0005900000000000348,2.8189256484623115e-18,-1.221155322794476e-05,-3.079089314813294e-06,1.0,0.0017457142857143413,185,0.971693316627712,0.2436718036084944,13.000008729660864,e143_s3_non_e101_925d98ca
active_q2s3_repair,top_tension_34,0.0,34,34,34,-8.4918402979417e-06,True,True,True,True,True,2.34257058195908e-16,0.0005200000000000206,2.8189256484623115e-18,-1.194538304049166e-05,-2.9952062435144082e-06,1.0,0.0017257142857143373,151,0.971693316627712,0.2436718036084944,13.000008491840298,e143_top_tension_34_79703811
active_q2s3_repair,q2s3,0.25,47,47,47,-8.472868633480068e-06,True,True,True,True,True,0.00040000000000021854,0.0004700000000000342,2.8189256484623115e-18,-1.1924149841178719e-05,-2.988514637707938e-06,1.0,0.0017114285714286267,185,0.971693316627712,0.2436718036084944,13.000008472868634,e143_q2s3_58c7c775
