candidate,role,submission_file,expected_focus,adverse_delta,support_prob_focus_swing_weighted,expected_loss_vs_e224,adverse_reduction_vs_e224,support_gain_vs_e224,q3_top1_over_abs_expected,q3_adverse_delta,q3_expected_focus,q3_cells_changed_vs_e224,source,actual_expected_delta_vs_e224,actual_adverse_reduction_vs_e224,actual_support_gain_vs_e224,e230_q3_risk_top21_overlap,e230_q3_swing_top25_overlap,e237_score
e224_clean,clean_unpruned_jepa,submission_e224_e224_q3s0p625_s4closer_e154_a0p5_10aed60b.csv,-0.0006233515948739,0.0034007745695143,0.4659841320799344,0.0,0.0,0.0,0.8751204894745688,0.0022156369320114,-0.0001123713701138,0,E224 selected,,,,,,
e230_q3_swingtop25_drop,hand_q3_prune,submission_e230_q3_swingtop25_drop_e0918606.csv,-0.000600043582365,0.0027676065500832,0.4758576027786534,2.330801250893116e-05,0.000633168019431,0.0098734706987191,0.4903959906554339,0.0015824689125803,-8.906335760491954e-05,25,E230 selected,,,,,,
e230_q3_risktop21_drop,hand_q3_prune,submission_e230_q3_risktop21_drop_7d95c14a.csv,-0.0006912439252666,0.0029560441634944,0.4870611027133177,-6.789233039270891e-05,0.0004447304060198,0.0210769706333834,0.4695249789927824,0.0017709065259915,-0.0001802637005065,21,E230 selected,,,,,,
e230_q3_risktop13_drop,hand_q3_prune,submission_e230_q3_risktop13_drop_9704f7c9.csv,-0.0006745316245128,0.0030739078912737,0.4807035644791366,-5.118002963882672e-05,0.0003268666782405,0.0147194323992023,0.5175028175943083,0.0018887702537708,-0.0001635513997526,13,E230 selected,,,,,,
e237_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top25,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top25_426424f2.csv,-0.0006289631026221,0.0028243748291616,0.4724343906710675,-5.611507748198071e-06,0.0005763997403527,0.0064502585911332,0.7471398112170139,0.0016392371916586,-0.000117982877862,25,E237 selected,-5.61150774819818e-06,0.0005532808665571,0.0054390670041465,11.0,13.0,0.0589416058073127
e237_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top13,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top13_ef0a90e1.csv,-0.0006253631585831,0.0030805650454564,0.4719891826806958,-2.011563709131679e-06,0.0003202095240579,0.0060050506007615,0.7706543462953171,0.0018954274079534,-0.0001143829338229,13,E237 selected,-2.0115637091318956e-06,0.0003186135061935,0.0050054774300049,8.0,9.0,0.0327829753731331
e237_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_p05,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_p05_3f356850.csv,-0.0006215181780965,0.0030952805226554,0.4713441921290281,1.8334167774543663e-06,0.0003054940468589,0.0053600600490938,0.7974609845039201,0.0019101428851525,-0.0001105379533363,12,E237 selected,1.8334167774541495e-06,0.0003038980289944,0.0044712458468443,7.0,9.0,0.0307215311409739
e237_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top10,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_no_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top10_290b1835.csv,-0.0006332114603809,0.0031363675532556,0.4696895633803527,-9.859865506998836e-06,0.0002644070162587,0.0037054313004184,0.8045283017673088,0.0019512299157526,-0.0001222312356208,10,E237 selected,-9.859865506998944e-06,0.0002628109983943,0.0031016350628727,5.0,8.0,0.028117517300888
e237_all3_latent_no_targetid_hgb_shallow_row5_risk_q0p10_drop_q3_top10,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_no_targetid_hgb_shallow_row5_risk_q0p10_drop_q3_top10_290b1835.csv,-0.0006332114603809,0.0031363675532556,0.4696895633803527,-9.859865506998836e-06,0.0002644070162587,0.0037054313004184,0.8045283017673088,0.0019512299157526,-0.0001222312356208,10,E237 selected,-9.859865506998944e-06,0.0002628109983943,0.0031016350628727,5.0,8.0,0.028117517300888
e237_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top10,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p10_drop_q3_top10_4f11397a.csv,-0.0006145571377998,0.0031386962722922,0.4718511488987554,8.794457074107957e-06,0.0002620782972221,0.0058670168188211,0.8510555345366179,0.0019535586347892,-0.0001035769130397,10,E237 selected,8.794457074107849e-06,0.0002620782972221,0.0048931089569513,7.0,9.0,0.0254459670773443
e237_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p20_drop_q3_top10,learned_cell_q3_prune,submission_e237_cell_decisive_all3_latent_with_targetid_hgb_shallow_subject5_risk_q0p20_drop_q3_top10_1abccfd1.csv,-0.0006287654320198,0.0031634182569706,0.4718433628411049,-5.413837145884092e-06,0.0002373563125436,0.0058592307611706,0.8348967642440026,0.0019782806194677,-0.0001177852072597,10,E237 selected,-5.4138371458843084e-06,0.0002373563125436,0.0048966520505465,6.0,6.0,0.024962306915685
