basename,source_path,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,q_abs_share,s_abs_share,best_abs_semantic_z,best_signed_semantic_z,semantic_abs_hits_z2,semantic_signed_hits_z2,semantic_abs_hits_dom97,semantic_signed_hits_dom97,abs_delta_Q1,abs_delta_Q2,abs_delta_Q3,abs_delta_S1,abs_delta_S2,abs_delta_S3,abs_delta_S4,highrep_actual_p90,highrep_actual_mean,highrep_null_strict_rate,highrep_worst_mode_p90_dominance
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,249,640,0.025398939457299263,0.3500000000000001,0.25856439607137577,0.7414356039286242,2.3163295059344358,2.8715461323350517,2,9,539,546,11.492707522852537,0.0,8.881784197001252e-16,11.704289870918254,0.0,21.251146656502918,0.0,-5.374669127956009e-05,-0.0009521445193922,0.0503875968992248,0.859375
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,249,640,0.020513043996189077,0.3500000000000001,0.256120405839332,0.7438795941606681,2.1571111010988058,2.63459173339197,2,12,537,551,9.194166018282035,0.0,4.440892098500626e-16,9.528160673507394,0.0,17.17550030154146,0.0,-7.560917621505604e-05,-0.0007611038277911,0.0813953488372093,0.796875
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,249,643,0.02962692344326264,0.3500000000000003,0.26151683171852136,0.7384831682814786,2.0969490468312024,3.2145365994825785,1,10,537,548,13.558893516786156,0.0,1.4432899320127035e-15,13.48155688116732,0.0,24.806665627756153,0.0,-0.0001092214223475,-0.0011850879889902,0.0930232558139534,0.8125
