q3_scale,s4_mode,s4_scale,delta,ungated_delta,delta_vs_ungated,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,ungated_geometry_delta,geometry_vs_ungated_delta,keep_abs_share
1.0,raw,0.5,-0.0011235188614504565,-0.0012727238597273205,0.00014920499827686395,-0.0011329563147167991,0.9307692307692308,-0.0008828785737716033,0.875,-0.0010582560495632637,0.0001753774757916604,0.7438042757459958
1.0,raw,0.75,-0.0012168376923141766,-0.0012727238597273205,5.5886167413143895e-05,-0.0012336816062714993,0.926923076923077,-0.0009899696698271038,0.875,-0.0010582560495632637,6.828637973615992e-05,0.8719021378729951
1.0,raw,1.0,-0.0012727238597273205,-0.0012727238597273205,0.0,-0.0012971056932321538,0.9,-0.0010582560495632637,0.875,-0.0010582560495632637,0.0,0.9999999999999944
1.0,toward,0.5,-0.0011118312637456995,-0.0012727238597273205,0.00016089259598162098,-0.0011141739934852734,0.9692307692307692,-0.0006530010403978798,0.875,-0.0010582560495632637,0.00040525500916538393,0.619823285054933
1.0,toward,0.75,-0.0012250930738485488,-0.0012727238597273205,4.7630785878771675e-05,-0.0012310407418934905,0.9692307692307692,-0.0006678883322173562,0.875,-0.0010582560495632637,0.00039036771734590747,0.6859306518364008
1.0,toward,1.0,-0.0013179843780894984,-0.0012727238597273205,-4.5260518362177926e-05,-0.0013275006339354817,0.9653846153846154,-0.0006590239231062806,0.875,-0.0010582560495632637,0.00039923212645698314,0.7520380186178688
1.0,closer,0.5,-0.001108177816795397,-0.0012727238597273205,0.00016454604293192343,-0.0011083059638469092,0.9692307692307692,-0.0006293663228942731,0.875,-0.0010582560495632637,0.0004288897266689906,0.6120970473694227
1.0,closer,0.75,-0.0012212586853403984,-0.0012727238597273205,5.146517438692211e-05,-0.0012238447439251168,0.9615384615384616,-0.0006354576121064132,0.875,-0.0010582560495632637,0.00042279843745685053,0.6743412953081354
1.0,closer,1.0,-0.001315063973121755,-0.0012727238597273205,-4.234011339443455e-05,-0.00132004497509272,0.9615384615384616,-0.0006198400634343793,0.875,-0.0010582560495632637,0.00043841598612888444,0.7365855432468479
1.0,soft_toward,0.5,-0.0010713067057908088,-0.0012727238597273205,0.00020141715393651172,-0.0010712674696619795,0.9538461538461539,-0.0007046627130767313,0.875,-0.0010582560495632637,0.00035359333648653235,0.6167588781464369
1.0,soft_toward,0.75,-0.00117017682347198,-0.0012727238597273205,0.00010254703625534045,-0.001172470574673272,0.9538461538461539,-0.0007536201840400297,0.875,-0.0010582560495632637,0.00030463586552323396,0.6813340414736572
1.0,soft_toward,1.0,-0.0012526154320217087,-0.0012727238597273205,2.010842770561183e-05,-0.0012571524346124624,0.95,-0.0007844166082468379,0.875,-0.0010582560495632637,0.0002738394413164258,0.7459092048008771
1.0,anti_toward_control,0.5,-0.0008367321963209662,-0.0012727238597273205,0.0004359916634063543,-0.0008388662349084803,0.8846153846153846,-0.0007830209613091943,0.75,-0.0010582560495632637,0.0002752350882540694,0.6115895421830604
1.0,anti_toward_control,0.75,-0.0008167892170817259,-0.0012727238597273205,0.0004559346426455946,-0.0008227247780549588,0.8538461538461538,-0.0008752247655452045,0.75,-0.0010582560495632637,0.00018303128401805924,0.6735800375285917
1.0,anti_toward_control,1.0,-0.0007797840802539202,-0.0012727238597273205,0.0004929397794734003,-0.0007896889729736302,0.8269230769230769,-0.0009523755543924262,0.75,-0.0010582560495632637,0.00010588049517083753,0.7355705328741234
1.0,zero,1.0,-0.0008250445986160981,-0.0012727238597273205,0.00044767926111122236,-0.0008200839136769513,0.9307692307692308,-0.0005531434279354291,0.75,-0.0010582560495632637,0.0005051126216278345,0.4876085514919975
