q3_scale,s4_mode,s4_scale,delta,ungated_delta,delta_vs_ungated,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,ungated_geometry_delta,geometry_vs_ungated_delta,keep_abs_share
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967
0.75,raw,1.0,-0.001141069449752008,-0.0012727238597273205,0.00013165440997531253,-0.001166067068545624,0.9,-0.0009945545307303016,0.875,-0.0010582560495632637,6.370151883296205e-05,0.878097862126996
0.75,toward,0.5,-0.000980176853770387,-0.0012727238597273205,0.0002925470059569335,-0.0009831353687987372,0.9807692307692307,-0.0005892995215648761,0.875,-0.0010582560495632637,0.0004689565279983876,0.4979211471819347
0.75,toward,0.75,-0.0010934386638733473,-0.0012727238597273205,0.00017928519585397318,-0.001100002117206965,0.9807692307692307,-0.0006041868133843525,0.875,-0.0010582560495632637,0.00045406923617891115,0.5640285139634025
0.75,toward,1.0,-0.001186329968114297,-0.0012727238597273205,8.639389161302358e-05,-0.0011964620092489579,0.9807692307692307,-0.0005953224042733046,0.875,-0.0010582560495632637,0.00046293364528995906,0.6301358807448703
0.75,closer,0.5,-0.0009765234068200845,-0.0012727238597273205,0.00029620045290723596,-0.000977267339160387,0.9730769230769231,-0.0005656648040613388,0.875,-0.0010582560495632637,0.0004925912455019249,0.4901949094964243
0.75,closer,0.75,-0.0010896042753651969,-0.0012727238597273205,0.0001831195843621236,-0.0010928061192385864,0.9769230769230769,-0.0005717560932734511,0.875,-0.0010582560495632637,0.0004864999562898126,0.5524391574351369
0.75,closer,1.0,-0.0011834095631464425,-0.0012727238597273205,8.931429658087797e-05,-0.0011890063504061922,0.9653846153846154,-0.0005561385446014172,0.875,-0.0010582560495632637,0.0005021175049618465,0.6146834053738496
0.75,soft_toward,0.5,-0.0009396522958156073,-0.0012727238597273205,0.0003330715639117132,-0.0009402288449754518,0.9692307692307692,-0.0006409611942437554,0.875,-0.0010582560495632637,0.0004172948553195083,0.49485674027343857
0.75,soft_toward,0.75,-0.0010385224134967785,-0.0012727238597273205,0.00023420144623054195,-0.0010414319499867431,0.9653846153846154,-0.0006899186652070538,0.875,-0.0010582560495632637,0.0003683373843562099,0.5594319036006586
0.75,soft_toward,1.0,-0.0011209610220463961,-0.0012727238597273205,0.00015176283768092436,-0.0011261138099259353,0.9538461538461539,-0.0007207150894138759,0.875,-0.0010582560495632637,0.00033754096014938784,0.6240070669278787
0.75,anti_toward_control,0.5,-0.0007050777863456537,-0.0012727238597273205,0.0005676460733816668,-0.0007078276102219522,0.8884615384615384,-0.0007193194424762323,0.875,-0.0010582560495632637,0.00033893660708703144,0.4896874043100619
0.75,anti_toward_control,0.75,-0.0006851348071064134,-0.0012727238597273205,0.0005875890526209071,-0.0006916861533684358,0.8615384615384616,-0.0008115232467122702,0.875,-0.0010582560495632637,0.0002467328028509935,0.5516778996555934
0.75,anti_toward_control,1.0,-0.0006481296702786077,-0.0012727238597273205,0.0006245941894487128,-0.0006586503482870996,0.8153846153846154,-0.0008886740355594641,0.875,-0.0010582560495632637,0.00016958201400379957,0.613668395001125
0.75,zero,1.0,-0.0006933901886407856,-0.0012727238597273205,0.0005793336710865349,-0.0006890452889904252,0.9423076923076923,-0.0004894419091024671,0.75,-0.0010582560495632637,0.0005688141404607966,0.36570641361899914
