scenario_id,scenario,pool_size,top_variant,top_basename,top3_variants,top_score,worst_lambda,s3_bonus,risk_cap,l1_min,l1_max,p90_min,bad_min,support_min,q1_min,scale_max,bad_poscos_max,w_p90_pct,w_risk_pct,w_bad_margin_pct,w_q1_specificity_pct,w_support_pct,w_compat_e349_pct,w_micro_scale_pct
1,random,2,compact_t85_s1.005_s3a0.00,submission_e350_compactplateau_compact_t85_s1_005_s3a0_00_68311340.csv,compact_t85_s1.005_s3a0.00|compact_t35_s1.000_s3a0.50,1.0735937370309863,1.7020690326034296,-0.03168847169479955,3.8806091758654834e-05,0.0013563003184631462,0.007512531929540646,4.729812542854212e-08,0.00020118909132682764,31.0,0.006781994920299647,0.0051,1e-09,0.21908903543709418,0.31544815337476495,0.10777242171540084,0.22302047652191442,0.010820992644881181,0.11253113355561715,0.011317786750327385
2,random,2,compact_t55_s1.000_s3a1.00,submission_e350_compactplateau_compact_t55_s1_000_s3a1_00_5e75b324.csv,compact_t55_s1.000_s3a1.00|compact_t40_s1.000_s3a0.50,0.8559953443181623,0.7973664603461554,0.0008174210738635868,4.3622795266751734e-05,0.00340565814996604,0.007113319011424108,2.540430703185785e-08,0.00030046684214016467,33.0,-0.0033626119042431102,0.0051,1e-09,0.03884443714675974,0.3723499805441166,0.13332648347851722,0.11321531591637321,0.07588480571456786,0.03331025873892043,0.23306871846074506
4,random,23,compact_t55_s1.005_s3a0.25,submission_e350_compactplateau_compact_t55_s1_005_s3a0_25_68cd3099.csv,compact_t55_s1.005_s3a0.25|compact_t50_s1.005_s3a0.25|compact_t55_s1.005_s3a0.50,1.0738049435637709,0.8712047758742562,0.06335364246933725,4.066642265474929e-05,0.0018928218893434177,0.010744421571346688,8.073174580355678e-08,0.00023693919390317916,28.0,-0.010394593983143135,0.0051,1e-09,0.0158099132390056,0.37402575204487487,0.04911674088738128,0.03145375474673985,0.009319645212217686,0.43520726728637465,0.08506692658340606
7,random,9,compact_t75_s1.005_s3a0.25,submission_e350_compactplateau_compact_t75_s1_005_s3a0_25_58e03127.csv,compact_t75_s1.005_s3a0.25|compact_t60_s1.005_s3a0.25|compact_t70_s1.005_s3a0.25,1.4872982199123472,1.8904083319550937,-0.008248668889926314,4.4768659033584055e-05,0.003067297621726699,0.00746933038165939,7.219982193461513e-08,0.00025279724686912315,35.0,-0.027599499886725855,0.0101,1e-09,0.23920535752085567,0.15490576857983593,0.005965034636647356,0.3772787241677819,0.004953131960516838,0.11409554468299453,0.10359643845136796
8,random,1,compact_t75_s1.005_s3a0.50,submission_e350_compactplateau_compact_t75_s1_005_s3a0_50_ed7a68ac.csv,compact_t75_s1.005_s3a0.50,0.7116745495346719,0.5071704675181044,-0.046690903973392,4.969868331270006e-05,0.003997092101868795,0.009650195949615352,1.6289193277385662e-07,0.00021038634773352946,35.0,-0.001971450169431527,0.0101,1e-09,0.10051448839488868,0.09183124201174282,0.09924253964936017,0.08590404333862472,0.29838499907137644,0.06127424722420347,0.26284844030980375
9,random,24,compact_t45_s1.005_s3a0.50,submission_e350_compactplateau_compact_t45_s1_005_s3a0_50_0ace76e5.csv,compact_t45_s1.005_s3a0.50|compact_t55_s1.005_s3a0.50|compact_t60_s1.005_s3a0.25,1.430770839270049,1.6316258055599457,-0.03477635410358038,2.7095386903660152e-05,0.0012461092861891121,0.008875876644421656,4.6842053899546876e-08,0.000245256015043851,30.0,-0.0327239835428654,0.0101,1e-09,0.17017412554421948,0.21828700635266993,0.05238757213995334,0.07696460759926549,0.46267227994653154,0.011266225674672682,0.008248182742687817
10,random,2,compact_t45_s1.000_s3a1.00,submission_e350_compactplateau_compact_t45_s1_000_s3a1_00_ce85e5c5.csv,compact_t45_s1.000_s3a1.00|compact_t45_s1.000_s3a0.75,1.2376208739836703,2.2286270056663633,0.019693365885184607,5.554853171431934e-05,0.0019526622975552061,0.00713224172401936,3.6820303322616905e-08,0.0002688378170170172,37.0,-0.018994741575147665,0.0101,1e-09,0.1732002662374122,0.1575963511489286,0.15327698346779012,0.18419121205807726,0.058078333139082304,0.15089865689020562,0.12275819705850365
12,random,2,compact_t45_s1.000_s3a1.00,submission_e350_compactplateau_compact_t45_s1_000_s3a1_00_ce85e5c5.csv,compact_t45_s1.000_s3a1.00|compact_t40_s1.000_s3a0.50,1.3971345964978532,1.834728714689313,0.03674037712343949,5.522509885310439e-05,0.0015373852882203459,0.008713639896918163,6.113352302763399e-08,0.00031169892453629166,32.0,-0.011325240434671435,0.0051,1e-09,0.07230815286007086,0.024178041992144537,0.023652621934065414,0.007188634049184763,0.6015257205078101,0.11511594640831278,0.1560308822484115
15,random,8,compact_t60_s1.005_s3a0.25,submission_e350_compactplateau_compact_t60_s1_005_s3a0_25_de9919ff.csv,compact_t60_s1.005_s3a0.25|compact_t70_s1.005_s3a0.00|compact_t75_s1.005_s3a0.00,1.6055344273741206,2.577326224803459,-0.012245989573857982,2.066088278236275e-05,0.0019255582783379711,0.007557794384227314,7.828730552722823e-08,0.00023482523097797427,33.0,-0.010922592277980998,0.0051,1e-09,0.17312741672707466,0.27442235540696563,0.15959793972410988,0.15357029965814498,0.08186578565097304,0.00835490224509936,0.14906130058763245
16,random,2,compact_t40_s1.000_s3a0.50,submission_e350_compactplateau_compact_t40_s1_000_s3a0_50_41a14c1d.csv,compact_t40_s1.000_s3a0.50|compact_t35_s1.000_s3a0.50,0.8256567659148961,0.5826087276194016,-0.021708607481094905,4.809310865303937e-05,0.003559711722981594,0.009658647084712186,7.722487955373937e-08,0.0002756679014734256,28.0,-0.006220212096841094,0.0101,1e-09,0.06799071816516733,0.22073492700662578,0.2183202356332195,0.04513592389134579,0.04833826250641231,0.10302766210597306,0.2964522706912562
