variant_kind,variant_name,pool_size,asym_all_delta,sym16_all_delta,sym20_all_delta,asym_minus_sym16,asym_minus_sym20,asym_strict,asym_deployable,sym16_deployable,sym20_deployable,asym_beats_sym16,asym_beats_sym20,asym_hidden_q2s3,asym_world,asym_block_win,best_pair_name,best_dominant_axis,best_all_delta,best_deployable_pair_name,best_deployable_axis,best_deployable_all_delta
bootstrap8,bootstrap8_051,8,-1.2206040286399933e-05,-1.0408458640420726e-05,-1.0578450351017565e-05,-1.7975816459792071e-06,-1.6275899353823675e-06,True,True,True,True,True,True,-0.00038087803891379696,-0.00022441368850122947,0.75,asym8_28_e75,s3_higher,-1.2206040286399933e-05,asym8_28_e75,s3_higher,-1.2206040286399933e-05
bootstrap8,bootstrap8_004,8,-1.2297076165790344e-05,-1.0472591577825874e-05,-1.0674908738184108e-05,-1.82448458796447e-06,-1.6221674276062359e-06,False,False,True,True,True,True,-0.0003891980764540101,-0.00020687198500495842,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2353826138955526e-05,q2a8_s3a26,s3_higher,-1.2198223685588871e-05
bootstrap8,bootstrap8_027,8,-1.2298278920130912e-05,-1.041573518445471e-05,-1.0669498981541459e-05,-1.882543735676201e-06,-1.628779938589453e-06,False,False,True,True,True,True,-0.00036126577579745356,-0.00022466406316160037,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2435083142858794e-05,q2a8_s3a26,s3_higher,-1.2182750074862803e-05
jackknife,drop_cell_099,12,-1.2169305919740303e-05,-1.0376800818057141e-05,-1.0552247010409133e-05,-1.7925051016831617e-06,-1.6170589093311705e-06,True,True,True,True,True,True,-0.00036172996714759625,-0.00020329685369000492,0.7222222222222222,asym8_28_e75,s3_higher,-1.2169305919740303e-05,asym8_28_e75,s3_higher,-1.2169305919740303e-05
bootstrap8,bootstrap8_036,8,-1.2160113924464255e-05,-1.0239005079126784e-05,-1.0414713219497607e-05,-1.9211088453374714e-06,-1.7454007049666487e-06,True,True,True,True,True,True,-0.00036541771512065,-0.0001966481373856298,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2194354897632209e-05,asym8_28_e75,s3_higher,-1.2160113924464255e-05
bootstrap8,bootstrap8_025,8,-1.2246885433997434e-05,-1.0426800176599471e-05,-1.0666044246265827e-05,-1.8200852573979631e-06,-1.5808411877316075e-06,False,False,True,True,True,True,-0.0003705710074766999,-0.00022382032684543636,0.7222222222222222,q2a8_s3a32,s3_higher,-1.234511078940237e-05,q2a8_s3a26,s3_higher,-1.214655846770718e-05
rank_keep,world_support_minus_base_top8,8,-1.221221108682613e-05,-1.0488604508696042e-05,-1.0660216442026638e-05,-1.723606578130088e-06,-1.5519946447994926e-06,False,False,True,True,True,True,-0.00039816608796103964,-0.00021398177827886564,0.75,asym8_28_e75,s3_higher,-1.221221108682613e-05,q2a8_s3a26,s3_higher,-1.2142297866057916e-05
bootstrap8,bootstrap8_022,8,-1.2225873302185164e-05,-1.0404503241634444e-05,-1.0629836639797219e-05,-1.82137006055072e-06,-1.5960366623879452e-06,False,False,True,True,True,True,-0.0003834006565661269,-0.00022817294625321902,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2304649467775874e-05,q2a8_s3a26,s3_higher,-1.2128977747494218e-05
bootstrap8,bootstrap8_020,8,-1.2286167363040335e-05,-1.0276726996383267e-05,-1.0503287904195524e-05,-2.009440366657067e-06,-1.7828794588448105e-06,False,False,True,True,True,True,-0.0003631183003195218,-0.0002023232116409035,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2447869468079631e-05,q2a8_s3a26,s3_higher,-1.2121716699509122e-05
bootstrap8,bootstrap8_058,8,-1.21202122405073e-05,-1.0225961074694645e-05,-1.0390537860116567e-05,-1.8942511658126548e-06,-1.7296743803907333e-06,True,True,True,True,True,True,-0.0003594812263098754,-0.00019059422670004707,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2157791426492537e-05,asym8_28_e75,s3_higher,-1.21202122405073e-05
bootstrap8,bootstrap8_007,8,-1.2116682950424895e-05,-1.0259906565890375e-05,-1.041930488365761e-05,-1.8567763845345198e-06,-1.6973780667672855e-06,True,True,True,True,True,True,-0.0003552401926135082,-0.00018217387014467516,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2172346948169377e-05,asym8_28_e75,s3_higher,-1.2116682950424895e-05
bootstrap8,bootstrap8_005,8,-1.2205007937193812e-05,-1.0426995484591473e-05,-1.0586339134976974e-05,-1.77801245260234e-06,-1.6186688022168383e-06,False,False,True,False,True,True,-0.0003840181364607037,-0.00019790653538449008,0.7222222222222222,asym8_28_e75,s3_higher,-1.2205007937193812e-05,q2a8_s3a26,s3_higher,-1.2113906486366233e-05
bootstrap8,bootstrap8_026,8,-1.222050711446876e-05,-1.042026702124943e-05,-1.0626880479591705e-05,-1.8002400932193297e-06,-1.5936266348770545e-06,False,False,True,True,True,True,-0.00037924988638399215,-0.00019918137432175533,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2299257280856679e-05,q2a8_s3a26,s3_higher,-1.2112507778772041e-05
jackknife,drop_cell_100,12,-1.2210988214800267e-05,-1.038350626048068e-05,-1.0568910802977172e-05,-1.8274819543195875e-06,-1.6420774118230952e-06,False,False,True,True,True,True,-0.0003676664559583778,-0.00020949364707749103,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2239114244971816e-05,q2a8_s3a26,s3_higher,-1.2107900276392414e-05
rank_keep,world_support_minus_base_top10,10,-1.210515065241946e-05,-1.0345884959850338e-05,-1.0544942773083044e-05,-1.759265692569123e-06,-1.5602078793364171e-06,True,True,True,True,True,True,-0.00036584955235403893,-0.0001934771563405326,0.7222222222222222,asym8_28_e75,s3_higher,-1.210515065241946e-05,asym8_28_e75,s3_higher,-1.210515065241946e-05
bootstrap8,bootstrap8_038,8,-1.2151837610163696e-05,-1.0451697552538164e-05,-1.0644267972370614e-05,-1.7001400576255321e-06,-1.5075696377930825e-06,False,False,True,True,True,True,-0.00037665190136464133,-0.0002190065292456023,0.7222222222222222,asym8_28_e75,s3_higher,-1.2151837610163696e-05,q2a8_s3a26,s3_higher,-1.2093692846271153e-05
bootstrap8,bootstrap8_029,8,-1.2183002813026533e-05,-1.0333442233778634e-05,-1.0495495710638458e-05,-1.8495605792478997e-06,-1.687507102388075e-06,False,False,True,True,True,True,-0.00038289559629882397,-0.00019605719663065005,0.7222222222222222,asym8_28_e75,s3_higher,-1.2183002813026533e-05,q2a8_s3a26,s3_higher,-1.2086629586849362e-05
rank_keep,hidden_q2s3_mean_minus_base_top10,10,-1.2042225440156429e-05,-1.042726993316645e-05,-1.0555317667026998e-05,-1.614955506989979e-06,-1.4869077731294311e-06,True,True,True,True,True,True,-0.00037377499307763434,-0.00019729401169635286,0.6944444444444444,q2a8_s3a32,s3_higher,-1.2141613721872169e-05,asym8_28_e75,s3_higher,-1.2042225440156429e-05
bootstrap8,bootstrap8_033,8,-1.210924969097249e-05,-1.0383399788316261e-05,-1.0573130234781125e-05,-1.725849902656229e-06,-1.536119456191365e-06,False,False,True,True,True,True,-0.00037244597456739803,-0.00022078497119503706,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2120626771805476e-05,q2a8_s3a26,s3_higher,-1.2026576100554465e-05
bootstrap8,bootstrap8_043,8,-1.2126236651699429e-05,-1.0256772732364361e-05,-1.0425516237200227e-05,-1.8694639193350682e-06,-1.7007204144992016e-06,False,False,True,True,True,True,-0.0003745232775636889,-0.00019741731487967775,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2127682704310416e-05,q2a8_s3a26,s3_higher,-1.202482564477414e-05
bootstrap8,bootstrap8_003,8,-1.2102391154455994e-05,-1.0381387060887093e-05,-1.0529470050535394e-05,-1.7210040935689008e-06,-1.5729211039205993e-06,False,False,True,False,True,True,-0.00036881540641699184,-0.00019490981650414083,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2111447237672657e-05,q2a8_s3a26,s3_higher,-1.2006242513851184e-05
