experiment,basename,target_norm,family,outcome_quadrant,failure_mode,readiness_defects,readiness_distance,actual_mean,actual_p90,actual_beats_current_rate,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,selector_visible,old_ready_rule,source_governor_file
e297,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s010_c5e3baaf.csv,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,1,0.8047619047619048,-0.0002725858522838,-9.636906240105196e-05,0.9411764705882352,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.7142857142857143,True,False,analysis_outputs/e297_episode_state_materializer_governor.csv
e297,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,1,0.8523809523809525,-0.0008381817482133,-0.0003524736247902,0.9411764705882352,0.9523809523809524,0.9047619047619048,0.8571428571428571,0.7142857142857143,True,False,analysis_outputs/e297_episode_state_materializer_governor.csv
e291,submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025_f0ca188e.csv,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,visible_but_null_common,matched_null_hallucination,1,0.9,-0.0002289351063784,-0.0001567812157629,1.0,1.0,0.9333333333333332,0.7333333333333333,0.8,True,False,analysis_outputs/e291_lifestyle_block_state_governor_summary.csv
e292,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lo_f83c007a.csv,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70,visible_but_null_not_rare,matched_null_not_rare,2,0.2666666666666666,-0.000165051665852,-5.258217398978411e-05,0.9117647058823528,0.1333333333333333,0.8666666666666667,0.4666666666666667,0.6,True,False,analysis_outputs/e292_contrastive_lifestyle_governor_summary.csv
e292,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contr_0ddd0196.csv,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,visible_but_null_not_rare,matched_null_not_rare,2,0.3999999999999999,-0.0001935691077546,-5.143677301359792e-05,0.9411764705882352,0.2,1.0,0.4,1.0,True,False,analysis_outputs/e292_contrastive_lifestyle_governor_summary.csv
e297,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s006_7e48318e.csv,S1,routine_fragmentation,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5011237569384,-0.0001485899724344,-4.887624306160008e-05,0.9411764705882352,0.0952380952380952,0.9047619047619048,0.8095238095238095,0.7142857142857143,False,False,analysis_outputs/e297_episode_state_materializer_governor.csv
e297,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s006_55330ee9.csv,S1,routine_fragmentation,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5288118448059459,-0.0001153904979058,-2.118815519405413e-05,0.9411764705882352,0.0,0.8571428571428571,0.7619047619047619,0.7142857142857143,False,False,analysis_outputs/e297_episode_state_materializer_governor.csv
e285,submission_e285_e247resid_add_e247like_z_diary_state_pc6_top5_f0p25_6f3cde41.csv,multi,human_boundary_add,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.546519458030528,-5.761412318489865e-06,-3.480541969471926e-06,1.0,0.0,0.9523809523809524,0.8095238095238095,0.8571428571428571,False,False,analysis_outputs/e285_e247_residual_human_state_governor_summary.csv
e279,submission_e269_phonebed_e247only_top8_amp015_bd6b7fee.csv,multi,unknown,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5475403942248959,-3.809943046702433e-06,-2.459605775104158e-06,1.0,0.0,1.0,1.0,1.0,False,False,analysis_outputs/e279_public_free_governor_summary.csv
e279,submission_e269_phonebed_e247only_top5_amp025_d487a8ab.csv,multi,unknown,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5480921900032241,-4.243508898191794e-06,-1.907809996775985e-06,1.0,0.0,0.8571428571428571,0.9523809523809524,0.7142857142857143,False,False,analysis_outputs/e279_public_free_governor_summary.csv
e279,submission_e269_e247only_all_amp006_control_2cef7c9d.csv,multi,unknown,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5485399544776847,-2.100108240803483e-06,-1.4600455223153755e-06,1.0,0.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,False,False,analysis_outputs/e279_public_free_governor_summary.csv
e279,submission_e271_calendar_only_control_top8_36405aed.csv,multi,unknown,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5486878954464581,-2.617157373890961e-06,-1.3121045535419162e-06,1.0,0.0,0.9523809523809524,0.9523809523809524,0.8571428571428571,False,False,analysis_outputs/e279_public_free_governor_summary.csv
e279,submission_e271_cashflow_top6_amp014_ecc2b44c.csv,multi,unknown,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5492367597251451,-1.4678550870809134e-06,-7.632402748549305e-07,1.0,0.0,0.9523809523809524,0.8095238095238095,0.8571428571428571,False,False,analysis_outputs/e279_public_free_governor_summary.csv
e285,submission_e285_e247resid_add_e247like_amp_z_top3_f0p25_aa6c6b32.csv,multi,human_boundary_add,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,2,0.5503645609949391,2.732998696412747e-07,3.6456099493913474e-07,0.0,0.0,0.9523809523809524,0.7619047619047619,0.8571428571428571,False,False,analysis_outputs/e285_e247_residual_human_state_governor_summary.csv
