prior,expected_delta_active_sum,expected_delta_per_all_cells,beat_e95_probability,match_e95_mixmin_edge_probability,p05_active_delta,p50_active_delta,p95_active_delta,mean_support_probability,q2_support_probability,s3_support_probability,top10_flip_support_probability
edge_endpoint_beta,0.005275281437251212,3.0144465355721214e-06,0.43778,0.120745,-0.03846192050351521,0.004309780911338629,0.05176968781818956,0.5917905423732492,0.5339832757809518,0.608095156027487,0.8769185760039419
both_equal_beta,0.008259444912665212,4.719682807237264e-06,0.392225,0.10236,-0.036477573567042496,0.007562511722443349,0.055368814451443205,0.6014285156918799,0.611323233802728,0.5986376977631793,0.8440356306972159
nearest_beta,0.010067707886231536,5.75297593498945e-06,0.37061,0.093965,-0.03527908546446328,0.009369560066291562,0.05814138619656266,0.5917905423732492,0.5642863060839821,0.5995481474804784,0.8435852426706084
next_beta,0.012523853911631726,7.156487949503843e-06,0.34772,0.09535,-0.03627474586387446,0.011857212487191827,0.06371268298860658,0.5845335529964278,0.5031990097950453,0.6074740651814332,0.8259494946044444
subject,0.013742315856811512,7.852751918178007e-06,0.337185,0.0936,-0.03602011850676485,0.012954245779222853,0.06590344123420112,0.5876858135598737,0.528247640944155,0.6044504263489225,0.8153778640059128
conflict_flat,0.016662100623739018,9.521200356422295e-06,0.297985,0.072895,-0.032272518062353255,0.01596716547337234,0.06776776466191128,0.5844709628783205,0.545204904951533,0.5955460048576707,0.8054833125382848
both_distance_beta,0.01668039449001417,9.531653994293812e-06,0.297125,0.07051,-0.03164358052338219,0.015823001072079623,0.06686024279200004,0.5761460107836315,0.5119968849014076,0.5942393539811817,0.8290963661513382
prev_beta,0.01898239758436423,1.0847084333922417e-05,0.27268,0.062235,-0.02993755080693951,0.018234633274771397,0.06985994519667559,0.5770269670249357,0.5369608484908605,0.5883276671242903,0.8168301098082111
nearest_hard085,0.03208992758511265,1.833710147720723e-05,0.146745,0.02107,-0.01637009052722294,0.03102534508817326,0.08474413369033504,0.57,0.5954545454545453,0.5628205128205129,0.7799999999999999
global,0.08566229777108941,4.894988444062252e-05,0.01592,0.00215,0.019275965552569895,0.08520905977131524,0.15327878597130937,0.49800000000000005,0.5056565656565657,0.49584045584045583,0.5973333333333335
