file,target,mean_delta,mean_abs_delta,p90_abs_delta,mean_logit_delta,positive_move_rate
submission_public_entropyproj_public2d0_g050.csv,Q1,-0.0011154825416993608,0.011686835203790356,0.02466872668425928,-0.006447331393652682,0.416
submission_public_entropyproj_public2d0_g050.csv,Q3,-0.0026042599010320184,0.011147624032828526,0.022937453322300794,-0.011505657122796022,0.488
submission_public_entropyproj_public2d0_g050.csv,S3,0.007363083252393403,0.01006140508351774,0.02426268867576428,0.036299351711572864,0.716
submission_public_entropyproj_public2d0_g050.csv,S4,-0.0006194077895217093,0.009408786387820403,0.018320294668922564,-0.005825572631398942,0.4
submission_public_entropyproj_public2d0_g050.csv,S2,0.0004005042362100375,0.008698288511832054,0.020443413262718108,-0.0026953018633686563,0.464
submission_public_entropyproj_public2d0_g050.csv,Q2,0.00026263445219836836,0.006266676084405167,0.011284533012245912,0.0005461785296776567,0.484
submission_public_entropyproj_public2d0_g050.csv,S1,0.0006388219612293437,0.004281902310969714,0.0074035079014463205,-0.0036243137383022784,0.444
submission_public_entropyproj_public2d0_g075.csv,Q1,-0.0016451243049634332,0.017613482440109015,0.037273782464000635,-0.009670997090478986,0.416
submission_public_entropyproj_public2d0_g075.csv,Q3,-0.003964169740919213,0.016751619191064004,0.034717631550349834,-0.01725848568419409,0.488
submission_public_entropyproj_public2d0_g075.csv,S3,0.01097453698633271,0.015051178562994217,0.03634044831646818,0.05444902756735932,0.716
submission_public_entropyproj_public2d0_g075.csv,S4,-0.0009293415189559353,0.01418387230626575,0.027580852613359113,-0.00873835894709837,0.4
submission_public_entropyproj_public2d0_g075.csv,S2,0.0005632254233772378,0.013089918304589977,0.03094287035597973,-0.004042952795053069,0.464
submission_public_entropyproj_public2d0_g075.csv,Q2,0.000385548908284832,0.009406547962574579,0.016958981152734354,0.0008192677945165571,0.484
submission_public_entropyproj_public2d0_g075.csv,S1,0.0009331992452276396,0.006428980338133936,0.011108028111238526,-0.0054364706074533815,0.444
submission_public_entropyproj_public2d0_g100.csv,Q1,-0.0021583274629848378,0.023588606981920144,0.050023036216301504,-0.0128946627873053,0.416
submission_public_entropyproj_public2d0_g100.csv,Q3,-0.005358263978607545,0.022369487992717485,0.046579536901179316,-0.023011314245592086,0.488
submission_public_entropyproj_public2d0_g100.csv,S3,0.014536514281810338,0.02001123836917873,0.04854507080905184,0.07259870342314584,0.716
submission_public_entropyproj_public2d0_g100.csv,S4,-0.0012468223274475978,0.018997404856712176,0.036829496315576735,-0.01165114526279783,0.4
submission_public_entropyproj_public2d0_g100.csv,S2,0.0007010911162794691,0.017506847491425687,0.041338450667360006,-0.005390603726737338,0.464
submission_public_entropyproj_public2d0_g100.csv,Q2,0.0005027868396745174,0.012550172716136829,0.022633933222667223,0.001092357059355415,0.484
submission_public_entropyproj_public2d0_g100.csv,S1,0.0012107721774690715,0.00857978867876081,0.014813860635178797,-0.00724862747660454,0.444
