method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
struct_raw_subject_fbraw_k16_a4_w0.35,36.0,9.591497034466298e-05,-0.000201514497410708,0.0007715038918460883,0.5277777777777778
struct_raw_calendar_subject_fbraw_k16_a12_w0.65,36.0,9.941880947846565e-05,-0.00026171551028949836,0.0007609902266631102,0.5
struct_raw_calendar_subject_fbraw_k8_a12_w0.65,36.0,0.00010474993383105599,-0.0002123106120380026,0.0007594339304295426,0.5
struct_raw_calendar_fbraw_k8_a4_w1.00,36.0,0.00010639722286050871,-0.00044511099037443787,0.0007448689731974705,0.5
struct_raw_subject_fbsubject_k16_a12_w0.65,36.0,0.00011018098765016973,-0.00014048483641717211,0.0008186996980071385,0.5555555555555556
struct_raw_subject_fbraw_k4_a4_w0.35,36.0,0.00011122133397227075,-0.00015463230154303287,0.0007526048445270707,0.5277777777777778
struct_raw_subject_fbraw_k16_a24_w0.65,36.0,0.00011126375135958388,-0.00018470170063277544,0.0007675526748547539,0.5277777777777778
struct_raw_calendar_subject_fbraw_k8_a24_w1.00,36.0,0.00011267485578191544,-0.00020284233244114938,0.0007577705813348466,0.5
struct_raw_calendar_fbraw_k4_a4_w0.65,36.0,0.00011503455568008136,-0.000258012866782457,0.0007270406539181881,0.5277777777777778
struct_raw_calendar_fbraw_k16_a4_w1.00,36.0,0.00011681006977049312,-0.0003946262634911511,0.000743957848697094,0.4444444444444444
struct_raw_subject_fbraw_k4_a12_w0.65,36.0,0.00012547680329950674,-0.0001411682330413654,0.000750003559487102,0.5277777777777778
struct_raw_calendar_subject_fbraw_k8_a4_w0.35,36.0,0.0001258830590333575,-0.00018706186644638537,0.0007549983328436869,0.5
struct_raw_subject_fbsubject_k4_a12_w1.00,36.0,0.0001264310909870488,-7.089107269610269e-05,0.0008029736397163573,0.5277777777777778
struct_raw_calendar_subject_fbraw_k4_a4_w0.35,36.0,0.0001320997012518947,-0.00014183515234161555,0.0007477704212774321,0.5
struct_raw_calendar_fbsubject_k16_a4_w1.00,36.0,0.0001436747259376159,-0.00035075280051538723,0.0007532274657034738,0.4444444444444444
struct_raw_calendar_subject_fbraw_k4_a12_w0.65,36.0,0.00014486385863059982,-0.00012928516592575667,0.0007455144521838589,0.5277777777777778
struct_raw_subject_fbraw_k8_a24_w0.65,36.0,0.00014561840104460844,-0.00014085443905424298,0.0007484503834148189,0.5277777777777778
struct_raw_subject_fbsubject_k8_a12_w0.65,36.0,0.00014591004509071636,-8.335392213796638e-05,0.0008021061061551789,0.5
struct_raw_subject_fbraw_k4_a24_w1.00,36.0,0.0001478782550994636,-0.00012001041111015382,0.000745915825852867,0.5277777777777778
struct_raw_calendar_fbsubject_k8_a4_w1.00,36.0,0.000151171676810501,-0.0003719885168783423,0.0007603183404135774,0.5
struct_raw_calendar_subject_fbraw_k16_a4_w0.35,36.0,0.00015145058672772288,-0.00018895731514615027,0.0007499617041534269,0.5
struct_raw_calendar_subject_fbsubject_k4_a12_w1.00,36.0,0.0001562573299686477,-5.2609430879648066e-05,0.0007960673207898216,0.5277777777777778
struct_raw_subject_fbraw_k16_a12_w0.35,36.0,0.00015731009440435152,-0.00013426331029897393,0.0007556990238807881,0.5277777777777778
struct_raw_subject_fbsubject_k8_a24_w1.00,36.0,0.00015741817244327007,-7.040830212451899e-05,0.0008005841393784972,0.5
struct_raw_calendar_fbraw_k4_a12_w1.00,36.0,0.00016021071311243462,-0.00019065651502949546,0.0007245359308526415,0.5
struct_raw_calendar_subject_fbraw_k16_a24_w0.65,36.0,0.000162832538000986,-0.0001730414599585453,0.0007475492148544361,0.5
struct_raw_calendar_subject_fbsubject_k16_a24_w1.00,36.0,0.00016375293608145118,-0.000152831936945933,0.0007922455076166782,0.5277777777777778
struct_raw_calendar_subject_fbraw_k4_a24_w1.00,36.0,0.0001649218202256749,-0.00010956375870085055,0.0007419693578939665,0.5277777777777778
