gate_class,target,rows,mean_share,median_share,rest_mean_share,mean_lift_vs_rest,top_target_rate
missing_actionable,S3,102,0.15837734894353897,0.15865527060640683,0.13560325279534266,0.02277409614819631,0.0
missing_actionable,S4,102,0.1251504661530388,0.12431961158078834,0.10420121490268286,0.020949251250355932,0.0
missing_actionable,S2,102,0.13870948425938975,0.13860817458010374,0.11990958375754823,0.01879990050184152,0.0
missing_actionable,S1,102,1.268504210242804e-14,1.2741420886700175e-14,4.436670124893124e-14,-3.1681659146503204e-14,0.0
missing_actionable,Q2,102,1.3715786943691078e-15,1.3776746882726117e-15,0.002486649458468987,-0.002486649458467615,0.0
missing_actionable,Q3,102,0.3444401776931838,0.3484223092308062,0.3742414653087406,-0.029801287615556782,1.0
missing_actionable,Q1,102,0.23332252295083478,0.23259098228872258,0.2635578337771723,-0.030235310826337514,0.0
missing_relaxed,Q1,1,0.34649484688156945,0.34649484688156945,0.2624578203289643,0.08403702655260514,1.0
missing_relaxed,S2,1,0.13767633980244606,0.13767633980244606,0.12056947368291916,0.0171068661195269,0.0
missing_relaxed,S1,1,3.3298686927017016e-14,3.3298686927017016e-14,4.3248097143817863e-14,-9.949410216800847e-15,0.0
missing_relaxed,Q2,1,3.8060489643142746e-15,3.8060489643142746e-15,0.0023994137532570275,-0.0023994137532532215,0.0
missing_relaxed,S4,1,0.10229630101531297,0.10229630101531297,0.10494408692123917,-0.0026477859059262088,0.0
missing_relaxed,S3,1,0.12013391227472131,0.12013391227472131,0.136415488692403,-0.016281576417681687,0.0
missing_relaxed,Q3,1,0.29339860002591295,0.29339860002591295,0.37321371662117414,-0.07981511659526119,0.0
other,Q3,2777,0.37427057689148563,0.3639438259482419,0.34394462839544326,0.030325948496042365,0.9290601368383147
other,Q1,2777,0.2635279680900623,0.24598381642558276,0.23442128337734675,0.029106684712715547,0.07093986316168527
other,Q2,2777,0.0024875449029985023,2.3896095677395793e-15,1.3952143280578959e-15,0.002487544902997107,0.0
other,S1,2777,4.437068685005545e-14,1.2333728906783347e-14,1.2885174576453176e-14,3.1485512273602275e-14,0.0
other,S2,2777,0.11990318593398144,0.12642192865464016,0.13869945373068157,-0.018796267796700128,0.0
other,S4,2777,0.1042019008637514,0.10859234633389016,0.12492858105461425,-0.02072668019086285,0.0
other,S3,2777,0.13560882331767635,0.146246162039336,0.15800605344189994,-0.022397230124223594,0.0
