candidate_id,family_group,agg_mode,target_mask,gamma,included_masks,mean_inclusion,mean_abs_logit_delta,max_abs_logit_delta,mean_probability_move,p90_probability_move,oof_loss,expected_public_anchor,expected_public_stage2,expected_public_ordinal,posterior_mean_expected,posterior_p90_expected,conservative_mean_expected,conservative_p90_expected,posterior_mean_regret,conservative_mean_regret,p90_regret,p95_regret,max_regret,posterior_mean_delta_vs_stage2,conservative_mean_delta_vs_stage2,posterior_mean_delta_vs_prior,conservative_mean_delta_vs_prior,win_rate_vs_stage2_all,win_rate_vs_prior_all,robust_score_t35,robust_score_t50,robust_score_t65,robust_score_t80
all_struct_random|conditional|all|g0.75,all_struct_random,conditional,all,0.75,395,0.436253164556962,0.09072948321977128,0.7182314185827349,0.013071337060430762,0.028621737687357162,0.5531213445930238,0.5777614396846105,0.5759767490019371,0.577134784213396,0.5755021320274997,0.5814799018660819,0.5758234761692237,0.583872594982171,7.610004519513311e-05,0.0010934066030854957,0.0013447714197728166,0.001565590055077564,0.00215687202765269,-0.0014902564970330435,-5.249128868701772e-05,-0.0007097699971541756,-0.0001499982675888472,0.7440119760479041,0.7,0.577802533402258,0.577525437805474,0.57724834220869,0.5769712466119062
subject_contig|conditional|all|g0.75,subject_contig,conditional,all,0.75,160,0.44000000000000006,0.08951226239403196,0.7108818571125647,0.012899225268533375,0.028568633528725417,0.5532117741282818,0.5779709310600203,0.5761225527641489,0.5772968099416673,0.5755000761991222,0.5814856713678577,0.5758216405142482,0.5838952441245189,7.404421681772627e-05,0.0010915709481101445,0.0013617366380801797,0.0015555292145016607,0.0021362623354250765,-0.0014923123254104505,-5.432694366236881e-05,-0.0007118258255315825,-0.00015183392256419828,0.7568862275449102,0.7,0.5778042220541312,0.5775270438923216,0.5772498657305118,0.5769726875687022
subject_struct|conditional|all|g0.75,subject_struct,conditional,all,0.75,168,0.44,0.08964991198487822,0.7110872071297093,0.01292503986153258,0.028584433835193754,0.5532615368468707,0.5779466611554589,0.5761073273679511,0.5772784567178871,0.5755002004765126,0.5814845907213131,0.5758229012440598,0.5838969560155743,7.41684942080059e-05,0.0010928316779215852,0.0013631537576205609,0.0015598059211124893,0.00214209856701586,-0.001492188048020171,-5.3066213850928214e-05,-0.0007117015481413029,-0.0001505731927527577,0.7547904191616767,0.7,0.5778079433838839,0.5775303390524162,0.5772527347209485,0.576975130389481
random_all|conditional|all|g0.75,random_all,conditional,all,0.75,200,0.44,0.09137558790415291,0.7140419470163348,0.013185647724271944,0.02903982518199171,0.5530448422746145,0.5777763130892798,0.5760369168075846,0.5771868473932059,0.5755016843850268,0.5814737011853014,0.5758269763028432,0.5838348066369785,7.565240272222718e-05,0.0010969067367050524,0.001349808448507461,0.0015854225919542215,0.0021667789398931436,-0.0014907041395059496,-4.899115506746101e-05,-0.0007102176396270815,-0.0001464981339692904,0.7383233532934131,0.7,0.5778143144539687,0.5775357384411501,0.5772571624283315,0.5769785864155129
random50|conditional|all|g0.75,random50,conditional,all,0.75,40,0.5,0.09158044736584241,0.7045447930218004,0.013163546254517225,0.028886775153808428,0.5532823958682528,0.578136004367193,0.5763665207650736,0.577529506548736,0.5755019746441439,0.5814758000321592,0.5758310453759335,0.5838567619580545,7.594266183932846e-05,0.001100975809795399,0.0013589420574174553,0.001582518799066651,0.002166482632536826,-0.0014904138803888483,-4.4922081977114185e-05,-0.0007099273805099802,-0.00014242906087894367,0.7407185628742515,0.7,0.5778251667203452,0.5775451736522866,0.5772651805842283,0.5769851875161697
structured|conditional|all|g0.75,structured,conditional,all,0.75,195,0.4324102564102564,0.09129488852804724,0.7251601600194735,0.01308154019230429,0.028616045400032795,0.5532939356639351,0.5776542972944215,0.5758220293871278,0.5769852093942519,0.5755121834381044,0.5814972403855696,0.5758272386197023,0.5838907860598648,8.615145579978635e-05,0.0010971690535641163,0.0013515648308184303,0.001553878124418756,0.0021645157171114038,-0.0014802050864283905,-4.872883820839703e-05,-0.0006997185865495223,-0.0001462358171102265,0.7479041916167665,0.7,0.5778184966879559,0.5775437594512193,0.5772690222144826,0.576994284977746
random50|marginal|all|g1.25,random50,marginal,all,1.25,40,0.5,0.045873945010312826,0.3698860163364452,0.01096617215259561,0.023826679755908093,0.5538161040577724,0.5780383301417816,0.5756546497517806,0.5772014964459814,0.5755217200921305,0.5815428536804425,0.5757635917683775,0.5842096862528784,9.568810982597939e-05,0.001033522202239341,0.001439095227636622,0.0015609867569394307,0.0022460767775048796,-0.0014706684324021974,-0.00011237568953317247,-0.0006901819325233293,-0.00020988266843500192,0.8754491017964072,0.7,0.5777686020517392,0.5775213086295092,0.5772740152072792,0.5770267217850491
rowmod|conditional|all|g0.75,rowmod,conditional,all,0.75,14,0.2857142857142857,0.09285193789500006,0.6688925401482796,0.013317652920555848,0.029047627282299864,0.5531770224520643,0.578129493196916,0.576378281467877,0.5775315704353947,0.5755107906860937,0.5814830110224103,0.575834827290028,0.58385009082535,8.47587037891159e-05,0.0011047577238898361,0.00135096407445735,0.0015875047835871012,0.0021397710512158774,-0.0014815978384390609,-4.114016788267729e-05,-0.0007011113385601928,-0.00013864714678450685,0.73562874251497,0.7,0.577836034572879,0.5775579293027662,0.5772798240326533,0.5770017187625406
random_all|marginal|all|g1.25,random_all,marginal,all,1.25,200,0.44,0.04027457800273986,0.31786446922545514,0.009688651918523226,0.021255664089892278,0.5542547695285053,0.5777053411781132,0.5749782504951232,0.5767597961769971,0.5755324285904091,0.5815271948595683,0.5757063724735583,0.5843305485070278,0.00010639660810455341,0.0009763029074201537,0.0014826723136004193,0.0017210364577284751,0.0025321920028902323,-0.0014599599341236233,-0.00016959498435235973,-0.0006794734342447554,-0.0002671019632541892,0.8997005988023952,0.7,0.5777387891167914,0.5775169686169731,0.5772951481171548,0.5770733276173363
random_all|conditional|noq2|g0.75,random_all,conditional,noq2,0.75,200,0.44,0.09137558790415291,0.7140419470163348,0.011843226052615848,0.02903982518199171,0.5531558729401492,0.5777813859116179,0.5758467373315868,0.5770708259425991,0.5755016809955091,0.5815054763397266,0.5758452942815143,0.5839469907406155,7.564901320457786e-05,0.0011152247153762124,0.0014090647108060516,0.001565047073191755,0.0021485341577409667,-0.001490707529023599,-3.067317639630095e-05,-0.0007102210291447309,-0.00012818015529813043,0.7589820359281437,0.7,0.577869631230878,0.5775841847049886,0.5772987381790993,0.5770132916532098
all_struct_random|conditional|noq2|g0.75,all_struct_random,conditional,noq2,0.75,395,0.436253164556962,0.09072948321977128,0.7182314185827349,0.011739687257809956,0.028621737687357162,0.5532581655938881,0.5777710714208897,0.5757927429845214,0.5770234249109701,0.5755024246200421,0.5815075083930378,0.5758418984905036,0.5839691162085845,7.639263773758278e-05,0.0011118289243655134,0.0014205745112817025,0.0015514934199818138,0.0021379252492417233,-0.001489963904490594,-3.406896740699994e-05,-0.000709477404611726,-0.0001315759463088294,0.7679640718562875,0.7,0.5778678079115478,0.5775839136664874,0.5773000194214268,0.5770161251763664
subject_contig|conditional|noq2|g0.75,subject_contig,conditional,noq2,0.75,160,0.44000000000000006,0.08951226239403196,0.7108818571125647,0.011593823939219797,0.028568633528725417,0.553372653414228,0.5779579405581866,0.5759196260534254,0.5771662332688211,0.5755009419562571,0.5815067026160977,0.575840325757758,0.5840179619429529,7.490997395257232e-05,0.001110256191619874,0.0014350759542306913,0.001551215430016989,0.002119720585983309,-0.0014914465682756045,-3.56417001526393e-05,-0.0007109600683967364,-0.00013314867905446878,0.7784431137724551,0.7,0.577871150013506,0.5775872895443056,0.5773034290751055,0.5770195686059051
