variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p08_s11p06_9d81bf7d.csv,e372_generated,98,40.3469387755102,41.0,12.0,0,0,0,7.333452408878166,0.4430046403925792,0.00035438085802190044,0.0001393408034076934,1.0,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp1p08_s11p0_57c5c194.csv,e372_generated,97,42.23711340206186,43.0,17.0,0,0,0,7.319287491747498,0.43909406342586504,0.00035569086427204426,0.00014088431486956936,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p65_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p65_amp0p85_s11p0_0584582e.csv,e372_generated,98,42.57142857142857,42.0,19.0,0,0,0,7.320842911877396,0.446238505762453,0.0003544300622462844,0.00013988551442944953,1.0,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p45_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p45_amp1p08_s11p0_7172ed92.csv,e372_generated,98,43.19387755102041,43.0,16.0,0,0,0,7.31900349630821,0.4476534514198395,0.0003527852098963338,0.00013950258516669392,1.0,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p0_s11p06_97ffd71c.csv,e372_generated,98,44.724489795918366,45.0,20.0,0,0,0,7.305337846140097,0.4399811036223512,0.00035418810426904567,0.0001402475672939991,1.0,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p45_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p45_amp1p0_s11p0_e11c68a2.csv,e372_generated,98,46.857142857142854,46.0,22.0,0,0,0,7.288535683567352,0.4454913800716497,0.00035403672807545535,0.00013987471071287043,1.0,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp0p85_s11p06_c79b1881.csv,e372_generated,97,47.123711340206185,49.0,6.0,0,0,1,7.280938612676971,0.43378658081413024,0.00035651502669132516,0.00014113646881119127,0.9897959183673469,0.0,0.0,0.01020408163265306
e372_agreegate_Q2_family_subject_floor0p45_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p45_amp0p85_s11p06_bc48135d.csv,e372_generated,98,47.59183673469388,48.0,23.0,0,0,0,7.283032181673983,0.43544255083926175,0.00035451403479350624,0.0001405728757607524,1.0,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p08_s11p0_ed2556ff.csv,e372_generated,98,48.63265306122449,48.0,26.0,0,0,0,7.277499972074217,0.44868219450323965,0.0003538147071548728,0.00013975773956115863,1.0,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p08_s11p06_aee15b6d.csv,e372_generated,97,51.44329896907217,53.0,14.0,0,0,0,7.245435421709862,0.42957424387606175,0.0003570359823061213,0.00014173685270680295,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp0p85_s11p06_59a017fa.csv,e372_generated,98,51.45918367346939,52.0,32.0,0,0,0,7.24960434748612,0.4347342283908202,0.00035500438352789804,0.00014085261193808323,1.0,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p45_amp1p0_s11p0_8240e086.csv,e372_generated,98,52.826530612244895,52.0,35.0,0,0,0,7.242275504618924,0.44665334065522344,0.0003542761823249462,0.00014011766479322024,1.0,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp1p08_s11p06_c746a4c5.csv,e372_generated,98,52.96938775510204,53.0,34.0,0,0,0,7.2392562805089185,0.43461078556698857,0.0003540405392238912,0.00014059457057768798,1.0,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp1p0_s11p06_31b3f891.csv,e372_generated,97,55.11340206185567,56.0,20.0,0,0,0,7.219154097472618,0.4286845095856714,0.0003574948115775915,0.0001419633335606444,0.9897959183673469,0.0,0.0,0.0
