unit,field,value,active,total_in_group,n_active,n_total,expected_active,lift,z
cell,target,S3,39,250,50,500,25.0,1.56,3.959797974644666
row,subject_id,id06,9,24,48,250,4.6080000000000005,1.953125,2.151898986427478
cell,subject_id,id04,10,54,50,500,5.4,1.851851851851852,2.0959384486195978
row,hidden_block_id,id04_b6,4,8,48,250,1.536,2.6041666666666665,2.0207259421636903
cell,subject_id,id06,9,48,50,500,4.8,1.875,2.016250353186743
cell,hidden_block_id,id04_b6,4,16,50,500,1.6,2.5,1.928473039599675
row,hidden_block_id,id06_b6,1,1,48,250,0.192,5.208333333333333,1.8476983764931207
cell,hidden_block_id,id04_b14,2,6,50,500,0.6,3.3333333333333335,1.8183351671314587
cell,hidden_block_id,id06_b6,1,2,50,500,0.2,5.0,1.7924428597928834
cell,pos_bin,near_edge,15,100,50,500,10.0,1.4999999999999998,1.7677669529663687
cell,hidden_block_id,id04_b8,3,12,50,500,1.2,2.5,1.6632478596477889
row,pos_bin,near_edge,14,50,48,250,9.600000000000001,1.4583333333333333,1.58771324027147
cell,pos_bin,left_edge,10,64,50,500,6.4,1.5625,1.5238922883268415
row,hidden_block_id,id06_b8,2,4,48,250,0.768,2.6041666666666665,1.4172045846271972
cell,hidden_block_id,id06_b8,2,8,50,500,0.8,2.5,1.3525044520011484
cell,block_len_bin,6-10,14,102,50,500,10.2,1.3725490196078434,1.3336042684625615
row,subject_id,id04,8,27,48,250,5.184,1.5432098765432098,1.309536859023409
row,pos_bin,left_edge,9,32,48,250,6.144,1.46484375,1.2338840694283197
row,hidden_block_id,id06_b2,3,8,48,250,1.536,1.953125,1.200626127973881
row,block_len_bin,6-10,13,51,48,250,9.792,1.3276143790849673,1.1490584566569244
cell,hidden_block_id,id06_b2,3,16,50,500,1.6,1.875,1.1249426064331436
row,hidden_block_id,id05_b6,1,2,48,250,0.384,2.6041666666666665,0.9980660061780343
row,hidden_block_id,id08_b6,1,2,48,250,0.384,2.6041666666666665,0.9980660061780343
row,hidden_block_id,id08_b12,1,2,48,250,0.384,2.6041666666666665,0.9980660061780343
cell,hidden_block_id,id05_b6,1,4,50,500,0.4,2.5,0.9525009525014287
cell,hidden_block_id,id08_b6,1,4,50,500,0.4,2.5,0.9525009525014287
cell,hidden_block_id,id08_b12,1,4,50,500,0.4,2.5,0.9525009525014287
row,hidden_block_id,id04_b8,2,6,48,250,1.1520000000000001,1.736111111111111,0.7997324233755803
row,hidden_block_id,id06_b10,2,6,48,250,1.1520000000000001,1.736111111111111,0.7997324233755803
cell,hidden_block_id,id06_b10,2,12,50,500,1.2,1.6666666666666667,0.7392212709545729
row,hidden_block_id,id07_b4,4,15,48,250,2.88,1.3888888888888888,0.6807032936568413
row,hidden_block_id,id10_b4,3,11,48,250,2.112,1.4204545454545456,0.6249381863688971
cell,hidden_block_id,id07_b4,4,30,50,500,3.0,1.3333333333333335,0.5954913341754137
row,hidden_block_id,id04_b12,1,3,48,250,0.5760000000000001,1.736111111111111,0.5620515406286036
row,hidden_block_id,id04_b14,1,3,48,250,0.5760000000000001,1.736111111111111,0.5620515406286036
cell,hidden_block_id,id10_b4,3,22,50,500,2.1999999999999997,1.3636363636363638,0.5516323161744635
row,hidden_block_id,id02_b4,4,16,48,250,3.072,1.3020833333333333,0.5472672331698879
row,block_len_bin,1-2,4,16,48,250,3.072,1.3020833333333333,0.5472672331698879
cell,hidden_block_id,id04_b12,1,6,50,500,0.6,1.6666666666666667,0.5195243334661311
cell,block_len_bin,3-5,8,68,50,500,6.800000000000001,1.1764705882352942,0.4950737714883368
cell,hidden_block_id,id02_b4,4,32,50,500,3.2,1.25,0.46225016352102416
cell,block_len_bin,1-2,4,32,50,500,3.2,1.25,0.46225016352102416
row,subject_id,id01,6,27,48,250,5.184,1.1574074074074074,0.37946806710337416
