pred_index,filter,tag,strategy,fallback,selector,target_scope,graft_alpha,n_scenarios,local_delta,mean_pred_delta,median_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate
8,broad_plausible,e110_control_a3f7c96f,control,,,,,3452,-2.7705869828476004e-05,5.033944904413055e-06,5.69397556289017e-07,2.6675888816097644e-05,3.129572555627938e-05,2.0344644904461583e-05,1.5880097556337544e-05,4.198658881614617e-05,4.660642555632791e-05,0.00028968713789107763
8,broad_q2s3,e110_control_a3f7c96f,control,,,,,368,-2.7705869828476004e-05,2.487548290270845e-05,2.4745330519484917e-05,3.1627423929364886e-05,3.3868519919841326e-05,4.018618290275698e-05,4.0056030519533445e-05,4.693812392941341e-05,4.917921991988985e-05,0.0
8,broad_not_q2s3,e110_control_a3f7c96f,control,,,,,3084,-2.7705869828476004e-05,2.666342445472489e-06,-1.3980542630944137e-06,2.233022547243166e-05,2.9791524375192787e-05,1.7977042445521016e-05,1.3912645736954113e-05,3.764092547248019e-05,4.510222437524131e-05,0.00032425421530479895
8,tight_plausible,e110_control_a3f7c96f,control,,,,,2790,-2.7705869828476004e-05,3.170313020004565e-06,-9.558169352672918e-07,2.519468968462264e-05,3.06766958997831e-05,1.8481013020053092e-05,1.4354883064781236e-05,4.050538968467117e-05,4.598739589983163e-05,0.00035842293906810036
8,near_unit_tail,e110_control_a3f7c96f,control,,,,,2354,-2.7705869828476004e-05,1.977582109812559e-06,-1.51430275767488e-06,1.7441640169073203e-05,2.987065510688572e-05,1.7288282109861087e-05,1.3796397242373647e-05,3.275234016912173e-05,4.518135510693425e-05,0.0004248088360237893
44,broad_plausible,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e86,nonactive_all_e86,all,1.0,3452,-2.7599838071434846e-05,-5.659596721791367e-07,-3.6496398880887966e-06,1.839396241285309e-05,2.4865737617498842e-05,1.4744740327869392e-05,1.166106011195973e-05,3.370466241290162e-05,4.017643761754737e-05,0.08603707995365006
44,broad_q2s3,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e86,nonactive_all_e86,all,1.0,368,-2.7599838071434846e-05,1.5305971366103208e-05,1.49400464898889e-05,2.516536741669961e-05,2.829606898470372e-05,3.061667136615173e-05,3.0250746489937427e-05,4.047606741674814e-05,4.360676898475225e-05,0.0
44,broad_not_q2s3,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e86,nonactive_all_e86,all,1.0,3084,-2.7599838071434846e-05,-2.459886592441102e-06,-5.487752416840818e-06,1.4607372166553547e-05,2.3115364705605022e-05,1.2850813407607424e-05,9.82294758320771e-06,2.9918072166602074e-05,3.842606470565355e-05,0.0963035019455253
44,tight_plausible,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e86,nonactive_all_e86,all,1.0,2790,-2.7599838071434846e-05,-1.34136395506918e-06,-4.67912755893663e-06,1.745537496612107e-05,2.442723496182842e-05,1.3969336044979347e-05,1.0631572441111898e-05,3.27660749661696e-05,3.973793496187695e-05,0.06344086021505377
44,near_unit_tail,e110_nonactive_tail_graft_723a71da,nonactive_tail_graft,e86,nonactive_all_e86,all,1.0,2354,-2.7599838071434846e-05,-1.9733108076998616e-06,-4.9399299304750346e-06,1.3694116171476632e-05,2.3821992548927994e-05,1.3337389192348665e-05,1.0370770069573493e-05,2.900481617152516e-05,3.9132692548976524e-05,0.05055225148683093
43,broad_plausible,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e86,nonactive_all_e86,all,0.75,3452,-2.7394837141425654e-05,-4.778286009275581e-06,-6.9521644602518444e-06,9.1811165051121e-06,1.41451466674554e-05,1.0532413990772948e-05,8.358535539796683e-06,2.449181650516063e-05,2.9455846667503927e-05,0.09936268829663963
43,broad_q2s3,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e86,nonactive_all_e86,all,0.75,368,-2.7394837141425654e-05,6.801890469598129e-06,6.4710658707526725e-06,1.4398496785945035e-05,1.6825644270190877e-05,2.2112590469646652e-05,2.17817658708012e-05,2.970919678599356e-05,3.2136344270239404e-05,0.0
43,broad_not_q2s3,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e86,nonactive_all_e86,all,0.75,3084,-2.7394837141425654e-05,-6.16009695098295e-06,-8.27908335878912e-06,6.269930966762153e-06,1.2647646725896636e-05,9.150603049065578e-06,7.0316166412594075e-06,2.158063096681068e-05,2.7958346725945165e-05,0.11121919584954604
43,tight_plausible,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e86,nonactive_all_e86,all,0.75,2790,-2.7394837141425654e-05,-5.264058384187221e-06,-7.673390350467183e-06,8.52206839923694e-06,1.3898158768866979e-05,1.0046641615861305e-05,7.637309649581344e-06,2.383276839928547e-05,2.9208858768915506e-05,0.07741935483870968
43,near_unit_tail,e110_nonactive_tail_graft_9d0c45a1,nonactive_tail_graft,e86,nonactive_all_e86,all,0.75,2354,-2.7394837141425654e-05,-5.689781203247911e-06,-7.850463457880872e-06,6.022229201949999e-06,1.3407425869322243e-05,9.620918796800616e-06,7.460236542167655e-06,2.1332929201998526e-05,2.8718125869370772e-05,0.062446898895497024
42,broad_plausible,e110_nonactive_tail_graft_29a781b5,nonactive_tail_graft,e86,nonactive_all_e86,all,0.5,3452,-2.709395099798062e-05,-8.638135686639412e-06,-9.964657230544649e-06,4.840846290979395e-07,3.893606235762088e-06,6.672564313409115e-06,5.3460427695038785e-06,1.5794784629146467e-05,1.9204306235810616e-05,0.11819235225955968
42,broad_q2s3,e110_nonactive_tail_graft_29a781b5,nonactive_tail_graft,e86,nonactive_all_e86,all,0.5,368,-2.709395099798062e-05,-1.1328484186741386e-06,-1.399800844753134e-06,4.101996772049016e-06,5.757155613739391e-06,1.4177851581374388e-05,1.3910899155295393e-05,1.9412696772097542e-05,2.1067855613787916e-05,0.0
42,broad_not_q2s3,e110_nonactive_tail_graft_29a781b5,nonactive_tail_graft,e86,nonactive_all_e86,all,0.5,3084,-2.709395099798062e-05,-9.533708227045127e-06,-1.0835919437084282e-05,-1.3816005752000064e-06,2.751814373951911e-06,5.7769917730034004e-06,4.474780562964245e-06,1.392909942484852e-05,1.806251437400044e-05,0.13229571984435798
