prior,outcome,worlds,world_rate,mean_delta_vs_e95,p05_delta,p50_delta,p95_delta,support_segments_mean,support_flip_share_mean,support_flip_share_lift,top20_support_rate,inherited_body_support_rate,e154_adjustment_support_rate,e154_extra_support_rate
global,breakthrough_win,127828,0.63914,-8.78231182777648e-05,-0.00017904876392443557,-7.924281788742785e-05,-2.6118953515792893e-05,235.6836060956911,0.5014319833704818,0.019599465631977675,0.5089100197139906,0.5012263100162465,0.48955522158576265,0.48063323623228804
global,clean_win,13127,0.065635,-1.3614590923334293e-05,-1.9374275258090275e-05,-1.3662212029133631e-05,-7.677004013395376e-06,229.11731545669232,0.46681812751989726,-0.015014390218606843,0.46789060714557784,0.46626037937076253,0.4919886596431123,0.4756077361387657
global,micro_win,4755,0.023775,-4.496367081110043e-06,-6.725532036158414e-06,-4.4992832619583166e-06,-2.263977621003039e-06,228.48832807570977,0.46256501946156486,-0.019267498276939243,0.46216614090431124,0.4623082388382073,0.4924227697729275,0.47580817873990683
global,tie,3633,0.018165,-4.381839741848851e-09,-1.804189729558652e-06,5.640469723574729e-09,1.7913413857878946e-06,227.95761078998072,0.4604697760283532,-0.0213627417101509,0.461271676300578,0.4600159201315271,0.49260755387923016,0.4745162210824829
global,small_loss,6139,0.030695,5.464029876586122e-06,2.3547981015656042e-06,5.389605557605608e-06,8.695303016046878e-06,227.6406580876364,0.4579190878308018,-0.02391342990770229,0.4577455611663137,0.45711820307031253,0.4937497523586463,0.47458794801173426
global,branch_loss,5145,0.025725,1.2160766739962195e-05,9.369098026396629e-06,1.2133440454012576e-05,1.4987649182888807e-05,226.83304178814382,0.45479545914927455,-0.027037058589229557,0.4531195335276968,0.45401728258871116,0.4926724975704568,0.47427002255686024
global,hard_fail,39373,0.196865,5.510068957561405e-05,1.7855992210391445e-05,4.6665804866935e-05,0.00012118284109922761,223.1862189825515,0.434766543979329,-0.047065973759175095,0.42992024991745614,0.43375739033677213,0.49452217564375645,0.47205962638673127
subject,breakthrough_win,98706,0.49353,-7.249695725193057e-05,-0.00014933602074639985,-6.429133816227204e-05,-2.4067242747092404e-05,236.4590703705955,0.49428324255317185,0.024946463123056428,0.46457256904342187,0.4885438109679797,0.4888431437942106,0.5104815021980761
subject,clean_win,15663,0.078315,-1.3526862171359409e-05,-1.935974609706298e-05,-1.3500820903120903e-05,-7.674286244609834e-06,231.04079678222564,0.46677720728494493,-0.0025595721451704967,0.434393155844985,0.4611432347881304,0.4897494698299142,0.5057398754852053
subject,micro_win,5946,0.02973,-4.489983444437186e-06,-6.741059703429598e-06,-4.485264424128373e-06,-2.2835018125551196e-06,230.20332996972755,0.46256204187546424,-0.006774737554651189,0.43109653548604104,0.45672766611212623,0.4897273661148535,0.5055885230067549
subject,tie,4563,0.022815,-6.5417723536158225e-09,-1.8100706588132072e-06,-1.4776907540132405e-08,1.8141935853505715e-06,230.0685952224414,0.4604707835082041,-0.00886599592191134,0.4276572430418584,0.45450539296693143,0.49092879862110633,0.5060850438408661
