strategy,local_source,safe_source,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure
atom_combo,e86,mixmin,3360,487,445,125,0,0,-1.81279796207523e-06,2.3256733339390874e-06,8.204587039465275e-06,0.0009981865988446124
atom_combo,e90,mixmin,2520,159,155,83,0,0,-1.2738952178681373e-06,3.3205207205388887e-06,1.042069966332998e-05,0.0009223559258621712
risk_clipped_local,e86,,128,37,34,0,0,0,-1.441883152986101e-06,4.40033899198094e-06,1.1142841154324099e-05,0.0010171267523132305
atom_combo,e86,e85,160,11,11,0,0,0,-1.3426002596350628e-06,8.502237586747279e-06,2.079675422385288e-05,0.0009931427362797134
risk_clipped_local,e90,,96,4,4,0,0,0,-8.680565068974744e-07,6.770885179355724e-06,1.6638578697748012e-05,0.000922348686701753
atom_combo,e90,e85,120,2,2,0,0,0,-8.459594807996851e-07,9.846267871180724e-06,2.1869741263330706e-05,0.0009173147748584142
