group,view,methods,n_methods,weighted_mixmin_delta_vs_a2c8,mixmin_better_block_rate
method,transition_raw_residual_baseraw_k4_a24_w0.35,transition_raw_residual_baseraw_k4_a24_w0.35,1,0.00022982222090870265,0.5
method,transition_raw_residual_baseraw_k8_a24_w0.35,transition_raw_residual_baseraw_k8_a24_w0.35,1,0.00024257124744143455,0.5
method,raw_phone_base,raw_phone_base,1,0.00031079790455357655,0.5
method,edge_shrink050,edge_shrink050,1,-0.0003748346597357515,0.5277777777777778
method,transition_raw_residual_baseedge_shrink025_k8_a24_w1.00,transition_raw_residual_baseedge_shrink025_k8_a24_w1.00,1,-0.0002664035386045025,0.5
method,transition_topology_baseedge_shrink025_k16_a4_w0.35,transition_topology_baseedge_shrink025_k16_a4_w0.35,1,-0.000255723011370059,0.6111111111111112
method,transition_topology_baseedge_shrink025_k16_a24_w0.65,transition_topology_baseedge_shrink025_k16_a24_w0.65,1,-0.00024776053044191595,0.6111111111111112
method,transition_raw_residual_baseedge_shrink025_k8_a4_w0.35,transition_raw_residual_baseedge_shrink025_k8_a4_w0.35,1,-0.0002468992095334448,0.5
method,transition_raw_topology_baseedge_shrink025_k4_a4_w0.35,transition_raw_topology_baseedge_shrink025_k4_a4_w0.35,1,-0.00024601878440968334,0.5277777777777778
method,transition_topology_baseedge_shrink025_k4_a4_w0.35,transition_topology_baseedge_shrink025_k4_a4_w0.35,1,-0.0002359667908442372,0.5833333333333334
method,transition_raw_topology_baseedge_shrink025_k4_a12_w0.65,transition_raw_topology_baseedge_shrink025_k4_a12_w0.65,1,-0.00023035077518570134,0.5555555555555556
method,transition_raw_residual_baseedge_shrink025_k4_a4_w0.35,transition_raw_residual_baseedge_shrink025_k4_a4_w0.35,1,-0.0002288566314539167,0.5277777777777778
method,transition_topology_baseedge_shrink025_k4_a12_w0.65,transition_topology_baseedge_shrink025_k4_a12_w0.65,1,-0.00022318528633712042,0.5833333333333334
method,transition_raw_residual_baseedge_mid_k4_a4_w1.00,transition_raw_residual_baseedge_mid_k4_a4_w1.00,1,-0.0015688625942996577,0.6388888888888888
method,transition_raw_residual_baseedge_mid_k4_a4_w0.65,transition_raw_residual_baseedge_mid_k4_a4_w0.65,1,-0.0015027849646272622,0.6666666666666666
method,transition_raw_residual_baseedge_mid_k4_a12_w1.00,transition_raw_residual_baseedge_mid_k4_a12_w1.00,1,-0.0014454995616706367,0.6388888888888888
method,transition_full_transition_baseedge_mid_k16_a4_w1.00,transition_full_transition_baseedge_mid_k16_a4_w1.00,1,-0.0013991579572475816,0.6111111111111112
method,transition_full_transition_baseedge_mid_k16_a12_w1.00,transition_full_transition_baseedge_mid_k16_a12_w1.00,1,-0.001380638276820347,0.5277777777777778
method,transition_raw_residual_baseedge_mid_k4_a4_w0.35,transition_raw_residual_baseedge_mid_k4_a4_w0.35,1,-0.0013784022686176363,0.6111111111111112
method,transition_full_transition_baseedge_mid_k16_a4_w0.65,transition_full_transition_baseedge_mid_k16_a4_w0.65,1,-0.0013733494277984016,0.5277777777777778
method,transition_raw_residual_baseedge_mid_k4_a12_w0.65,transition_raw_residual_baseedge_mid_k4_a12_w0.65,1,-0.0013663938151308502,0.6111111111111112
aggregate,row_safe,transition_raw_residual_baseraw_k4_a24_w0.35;transition_raw_residual_baseraw_k8_a24_w0.35;raw_phone_base,3,0.00026079348731403396,0.5
aggregate,balanced_hidden_sign,edge_shrink050;transition_raw_residual_baseedge_shrink025_k8_a24_w1.00;transition_topology_baseedge_shrink025_k16_a4_w0.35;transition_topology_baseedge_shrink025_k16_a24_w0.65;transition_raw_residual_baseedge_shrink025_k8_a4_w0.35;transition_raw_topology_baseedge_shrink025_k4_a4_w0.35;transition_topology_baseedge_shrink025_k4_a4_w0.35;transition_raw_topology_baseedge_shrink025_k4_a12_w0.65;transition_raw_residual_baseedge_shrink025_k4_a4_w0.35;transition_topology_baseedge_shrink025_k4_a12_w0.65,10,-0.0002890373458691906,0.5555555555555556
aggregate,aggressive_hidden_sign,transition_raw_residual_baseedge_mid_k4_a4_w1.00;transition_raw_residual_baseedge_mid_k4_a4_w0.65;transition_raw_residual_baseedge_mid_k4_a12_w1.00;transition_full_transition_baseedge_mid_k16_a4_w1.00;transition_full_transition_baseedge_mid_k16_a12_w1.00;transition_raw_residual_baseedge_mid_k4_a4_w0.35;transition_full_transition_baseedge_mid_k16_a4_w0.65;transition_raw_residual_baseedge_mid_k4_a12_w0.65,8,-0.0014825572114799182,0.6111111111111112
