view,task,model,split,auc,logloss,brier,corr_benefit,support_rate,n
latent_no_targetid,q3_e224,hgb_shallow,stratified5,0.5719619152970923,0.7000177309411612,0.2522186032023734,0.016570073700841292,0.5022222222222222,450
latent_no_targetid,q3_e224,lr_l2_c0p10,stratified5,0.5571468078381796,0.8455445440740694,0.2931569415508944,0.009144848008181819,0.5022222222222222,450
latent_no_targetid,q3_e224,hgb_shallow,subject5,0.5510824905183311,0.7114008164893731,0.2577420090512659,-0.015533646430201813,0.5022222222222222,450
latent_no_targetid,q3_e224,lr_l2_c0p10,subject5,0.5235461441213654,0.9300510900691193,0.31934585704780816,-0.02147759560585933,0.5022222222222222,450
latent_no_targetid,s2_e216,hgb_shallow,stratified5,0.7294793995528585,0.6076215558343903,0.20846759941603343,-0.041537713749622895,0.5511111111111111,450
latent_no_targetid,s2_e216,hgb_shallow,subject5,0.6738062919195146,0.6434207500703082,0.22583979249349334,-0.018047036974358437,0.5511111111111111,450
latent_no_targetid,s2_e216,lr_l2_c0p10,stratified5,0.6106675183647396,0.8219498959466781,0.2731786444682282,-0.048267841421002315,0.5511111111111111,450
latent_no_targetid,s2_e216,lr_l2_c0p10,subject5,0.5482473650590866,0.9398824406591464,0.30761368901640823,-0.07670467891928327,0.5511111111111111,450
latent_no_targetid,s4_e224,hgb_shallow,stratified5,0.799905037984806,0.4411628442406685,0.15578272992049788,-0.017630170454284253,0.27111111111111114,450
latent_no_targetid,s4_e224,hgb_shallow,subject5,0.7774765093962416,0.4566893920781398,0.16292445301062197,0.008643221074355506,0.27111111111111114,450
latent_no_targetid,s4_e224,lr_l2_c0p10,stratified5,0.7607457017193122,0.5910434406911381,0.19085148378243255,0.04474028891903551,0.27111111111111114,450
latent_no_targetid,s4_e224,lr_l2_c0p10,subject5,0.6677578968412635,0.727888991006622,0.2258211208657412,0.054776598400832655,0.27111111111111114,450
latent_with_targetid,q3_e224,hgb_shallow,stratified5,0.5719619152970923,0.7000177309411612,0.2522186032023734,0.016570073700841292,0.5022222222222222,450
latent_with_targetid,q3_e224,lr_l2_c0p10,stratified5,0.5571468078381796,0.8455445440740694,0.29315694155089445,0.009144848008182837,0.5022222222222222,450
latent_with_targetid,q3_e224,hgb_shallow,subject5,0.5510824905183311,0.7114008164893731,0.2577420090512659,-0.015533646430201813,0.5022222222222222,450
latent_with_targetid,q3_e224,lr_l2_c0p10,subject5,0.5235461441213654,0.9300510900691334,0.3193458570478117,-0.02147759560585773,0.5022222222222222,450
latent_with_targetid,s2_e216,hgb_shallow,stratified5,0.7294793995528585,0.6076215558343903,0.20846759941603343,-0.041537713749622895,0.5511111111111111,450
latent_with_targetid,s2_e216,hgb_shallow,subject5,0.6738062919195146,0.6434207500703082,0.22583979249349334,-0.018047036974358437,0.5511111111111111,450
latent_with_targetid,s2_e216,lr_l2_c0p10,stratified5,0.6106675183647396,0.8219498959466782,0.2731786444682282,-0.04826784142100242,0.5511111111111111,450
latent_with_targetid,s2_e216,lr_l2_c0p10,subject5,0.5482473650590866,0.9398824406591401,0.30761368901640723,-0.0767046789192819,0.5511111111111111,450
latent_with_targetid,s4_e224,hgb_shallow,stratified5,0.799905037984806,0.4411628442406685,0.15578272992049788,-0.017630170454284253,0.27111111111111114,450
latent_with_targetid,s4_e224,hgb_shallow,subject5,0.7774765093962416,0.4566893920781398,0.16292445301062197,0.008643221074355506,0.27111111111111114,450
latent_with_targetid,s4_e224,lr_l2_c0p10,stratified5,0.7607457017193122,0.5910434406911373,0.19085148378243233,0.044740288919035455,0.27111111111111114,450
latent_with_targetid,s4_e224,lr_l2_c0p10,subject5,0.6677578968412635,0.7278889910066222,0.22582112086574133,0.054776598400830635,0.27111111111111114,450
movement,q3_e224,lr_l2_c0p10,subject5,0.60224399494311,0.6792889214828379,0.24294614496003925,-0.003439603270907071,0.5022222222222222,450
movement,q3_e224,hgb_shallow,subject5,0.5973550094816689,0.6934774014808851,0.24870158888418062,-0.053730590515303246,0.5022222222222222,450
movement,q3_e224,lr_l2_c0p10,stratified5,0.5936117256637168,0.6848739506342555,0.24546086018424157,-0.03512305473286404,0.5022222222222222,450
movement,q3_e224,hgb_shallow,stratified5,0.5856609513274336,0.6993934141689153,0.251519597223685,-0.07793440559976685,0.5022222222222222,450
movement,s2_e216,hgb_shallow,subject5,0.7474948099648675,0.5876824042446306,0.20108551241153622,-0.008037191180145236,0.5511111111111111,450
movement,s2_e216,hgb_shallow,stratified5,0.7457980677099969,0.589563774397107,0.20211030624493,-0.033224916422664036,0.5511111111111111,450
movement,s2_e216,lr_l2_c0p10,stratified5,0.6956443628233792,0.6357660009655731,0.22197764315406826,-0.08232414758093722,0.5511111111111111,450
movement,s2_e216,lr_l2_c0p10,subject5,0.6786969019482593,0.6412210097551914,0.22450041648311028,-0.050187223170342875,0.5511111111111111,450
movement,s4_e224,hgb_shallow,stratified5,0.8658161735305877,0.3861369979149682,0.13068024939857964,0.051505667710169144,0.27111111111111114,450
movement,s4_e224,hgb_shallow,subject5,0.8334916033586566,0.416348407179387,0.14363532946155652,0.06318422274114267,0.27111111111111114,450
movement,s4_e224,lr_l2_c0p10,stratified5,0.8026039584166333,0.5341672000844686,0.17580804739743258,0.06777247196583705,0.27111111111111114,450
movement,s4_e224,lr_l2_c0p10,subject5,0.8008796481407436,0.542722061389212,0.18031815899969564,0.07499692621945682,0.27111111111111114,450
