prior,outcome,n_worlds,world_rate,e101_delta_mean,e101_delta_p05,e101_delta_p50,e101_delta_p95,support_cells_mean,support_cells_p05,support_cells_p95,top10_support_rate,top23_support_rate,support_flip_share_mean,support_flip_share_p05,support_flip_share_p95,s3_support_rate,q2_support_rate,edge_support_rate,interior_support_rate,s3_label1_rate,q2_label1_rate
global,edge_or_stronger_win,827,0.004135,-1.7185669983109555e-05,-2.7514058971967545e-05,-1.5347241783384428e-05,-1.1396893801040392e-05,33.60822249093108,31.0,37.0,0.8590084643288997,0.81136638452237,0.7422032602304073,0.7234301951516112,0.7756983397685566,0.7032214057607045,0.5620534242057821,0.6806178570035496,0.65837204862216,0.6622949803119089,0.5683192261185006
global,small_win,1467,0.007335,-6.477300491312806e-06,-1.0327048185869794e-05,-6.2400991681696735e-06,-3.2690456881486226e-06,32.13087934560327,30.0,35.0,0.8257668711656442,0.7715538958537091,0.7074758997254378,0.6970714939728502,0.719960674008252,0.6675231153758762,0.5543161678131003,0.6499549222683995,0.6306461450148889,0.6710188243930575,0.5711098717233687
global,tie,2243,0.011215,2.92556604866119e-07,-2.625028218643345e-06,5.061870266650639e-07,2.7626294209217197e-06,31.172982612572447,28.0,34.0,0.8012929112795364,0.7468840256643858,0.685521178408973,0.6775107049916709,0.6949829382079282,0.6458269030716646,0.5441575811615936,0.6357125393697957,0.6034680995846727,0.6735141808704003,0.5700563368864751
global,small_loss,16836,0.08418,1.3126262147339822e-05,4.6305828019314075e-06,1.384856679446035e-05,1.946030027378921e-05,29.498515086718935,27.0,32.0,0.7494594915656926,0.6998641627155061,0.6439013296234481,0.6233599740381806,0.6714529115508958,0.6052628372656883,0.535751312123372,0.6007346009702711,0.5724074977179228,0.6755121808578687,0.5660219443184518
global,large_loss,178627,0.893135,5.366164746508665e-05,2.4804427192006163e-05,5.188812408749713e-05,8.906582051081343e-05,24.288147928364694,19.0,29.0,0.5769099856124774,0.5456721694295692,0.5124446274415136,0.3976285033171879,0.6060289114319264,0.4815380222905401,0.5007422780939662,0.49723455093033114,0.4670461499749699,0.6606532764952264,0.5616620107822445
subject,edge_or_stronger_win,28477,0.142385,-1.936555054922381e-05,-3.326728086821338e-05,-1.7598226029773806e-05,-1.156381941177101e-05,33.28145520946729,30.0,36.0,0.9169329634441831,0.829149687543418,0.7492726369768128,0.7239715367504228,0.7943561019058335,0.6939095248257028,0.5653621582968074,0.6891503839544534,0.6272522793094335,0.7136681604497737,0.5425973752342401
subject,small_win,26480,0.1324,-6.759433366290793e-06,-1.0521154328148813e-05,-6.664758573121752e-06,-3.3335757475389437e-06,31.41223564954683,29.0,34.0,0.8751510574018126,0.7886772625771706,0.7083908597543358,0.6972807656680018,0.7205901623710055,0.6511203423967774,0.5471402087338644,0.6557511451125622,0.5833657974240738,0.7260564334960106,0.5421484482285086
subject,tie,25103,0.125515,6.85364538707754e-08,-2.6753528372650944e-06,9.598313361358573e-08,2.7167404407813234e-06,30.421383898338846,28.0,33.0,0.8493486834242919,0.7658152758461226,0.6862476782323078,0.6776595234609781,0.6951461415018091,0.6289523062418733,0.5356585413550716,0.6382825340243359,0.5597171233465491,0.7302947752694795,0.5409277413420345
subject,small_loss,71070,0.35535,1.1157529455647065e-05,3.829500705819199e-06,1.0984847784084187e-05,1.8979780910357516e-05,28.87676938229914,26.0,32.0,0.8052258336850991,0.7282868696508648,0.6502859514815854,0.624918303639741,0.6740508296342305,0.592970094489723,0.5228123361090858,0.6101294952273315,0.5243555279079929,0.7328242649897356,0.5403724880719393
subject,large_loss,48870,0.24435,3.110268800922491e-05,2.071247290558955e-05,2.878538656516609e-05,4.9517534770158515e-05,26.17405361162267,23.0,29.0,0.7192183343564559,0.65792742057455,0.585603582055551,0.5258840306709445,0.6192991643666151,0.5304722628847859,0.498694123556002,0.559204472695829,0.46519552410799864,0.7297156768611649,0.539827371319084
