left,right,cos_left_right_vs_e95,logit_l1_left_minus_right,changed_cells_left_minus_right,changed_rows_left_minus_right,local_all_minus_delta_left_minus_right,post101_p95_delta_left_minus_right,e72_gap_delta_left_minus_right,local_delta_readable
e154,e155,0.9907694887202126,0.34486426791413727,294,139,-1.7955591461449316e-06,-9.068438850777312e-07,-1.7825588615348262e-06,False
e154,e157,0.9891929111915897,0.34719496934663713,294,139,-1.7536037510978986e-06,-8.457039636171223e-07,-1.1883246057303731e-06,False
e154,e156,0.9851229553553638,0.3939835203711679,294,139,-2.1544802908390875e-06,-9.407764955928582e-07,-5.941383175360562e-07,True
e154,e144,0.9835692989085755,0.45981902388551976,294,139,-2.4321200270405186e-06,-1.2225971385508555e-06,-2.859820270720726e-06,True
e155,e154,0.9907694887202126,0.34486426791413727,294,139,1.7955591461449316e-06,9.068438850777312e-07,1.7825588615348262e-06,False
e155,e157,0.999661514334067,0.04049134103580627,129,66,4.195539504703305e-08,6.11399214606089e-08,5.94234255804453e-07,False
e155,e156,0.9989910265115068,0.09187231822201558,190,121,-3.589211446941559e-07,-3.3932610515127036e-08,1.18842054399877e-06,False
e155,e144,0.9989627691580516,0.11495475597138248,294,139,-6.365608808955869e-07,-3.157532534731244e-07,-1.0772614091859e-06,False
e157,e154,0.9891929111915897,0.34719496934663713,294,139,1.7536037510978986e-06,8.457039636171223e-07,1.1883246057303731e-06,False
e157,e155,0.999661514334067,0.04049134103580627,129,66,-4.195539504703305e-08,-6.11399214606089e-08,-5.94234255804453e-07,False
e157,e156,0.9993546554212587,0.0681650839070404,168,119,-4.0087653974118895e-07,-9.507253197573594e-08,5.94186288194317e-07,False
e157,e144,0.9990415655466623,0.11262405453888263,238,137,-6.7851627594262e-07,-3.768931749337333e-07,-1.671495664990353e-06,False
e156,e154,0.9851229553553638,0.3939835203711679,294,139,2.1544802908390875e-06,9.407764955928582e-07,5.941383175360562e-07,True
e156,e155,0.9989910265115068,0.09187231822201558,190,121,3.589211446941559e-07,3.3932610515127036e-08,-1.18842054399877e-06,False
e156,e157,0.9993546554212587,0.0681650839070404,168,119,4.0087653974118895e-07,9.507253197573594e-08,-5.94186288194317e-07,False
e156,e144,0.9995157509777951,0.06583550351435183,143,100,-2.7763973620143104e-07,-2.8182064295799735e-07,-2.26568195318467e-06,False
e144,e154,0.9835692989085755,0.45981902388551976,294,139,2.4321200270405186e-06,1.2225971385508555e-06,2.859820270720726e-06,True
e144,e155,0.9989627691580516,0.11495475597138248,294,139,6.365608808955869e-07,3.157532534731244e-07,1.0772614091859e-06,False
e144,e157,0.9990415655466623,0.11262405453888263,238,137,6.7851627594262e-07,3.768931749337333e-07,1.671495664990353e-06,False
e144,e156,0.9995157509777951,0.06583550351435183,143,100,2.7763973620143104e-07,2.8182064295799735e-07,2.26568195318467e-06,False
