strategy,fallback,eligible,pareto_score,all_delta_vs_mixmin,e72_failed_contamination_index,world_support_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,tag
row_e72_fallback,e85,True,0.749619305025506,-2.6932385085221e-05,0.7157842012048675,-0.0002509993672111,-0.0002998384676441,0.7777777777777778,1.0,e89_row_e72_fallback_28925de5
row_e72_fallback,e85,True,0.6976753368838949,-2.6508278398118534e-05,0.6910789419915715,-0.0002063016309324,-0.0002492543696126,0.7222222222222222,0.9444444444444444,e89_row_e72_fallback_e6493417
row_e72_q2_remove,q2_zero,True,0.6415103947466514,-2.7137420319789385e-05,0.724875840825142,-0.0002027813782834,-0.0002610788871794,0.7222222222222222,0.9444444444444444,e89_row_e72_q2_remove_6b4585f5
row_e72_fallback,e85,True,0.6165172902843649,-2.6063755598548788e-05,0.6916665379518323,-0.0001789689454109,-0.0002303772768746,0.6388888888888888,0.9444444444444444,e89_row_e72_fallback_7c2e4987
row_e72_q2_remove,q2_zero,True,0.6129459170998576,-2.696017269754325e-05,0.7191953952779602,-0.0001883179979195,-0.0002437329543531,0.6388888888888888,0.9444444444444444,e89_row_e72_q2_remove_85f7ef06
cell_e72_fallback,e85,True,0.6026404995423601,-2.650401872417163e-05,0.6914901228749688,-0.0001604292779573,-0.0002160597950265,0.6388888888888888,0.9444444444444444,e89_cell_e72_fallback_8e24187e
row_e72_q2_remove,q2_zero,True,0.5938261045774712,-2.686920238970103e-05,0.7142456753105573,-0.0001653895396481,-0.000236832775211,0.6388888888888888,0.9444444444444444,e89_row_e72_q2_remove_ad12b148
cell_e72_fallback,e85,True,0.5895421209194367,-2.5895951955901e-05,0.6763613053595627,-0.000140452278719,-0.0002160597950265,0.6388888888888888,0.9444444444444444,e89_cell_e72_fallback_00d7807f
row_e72_fallback,e85,True,0.560326169468069,-2.553447162900735e-05,0.6853728269172263,-0.0001557813057712,-0.0002229976799523,0.6388888888888888,0.9444444444444444,e89_row_e72_fallback_3a92956a
cell_e72_fallback,e85,True,0.5044926599325934,-2.545577183554748e-05,0.6826125693748866,-0.0001281545591901,-0.0002160597950265,0.6388888888888888,0.9444444444444444,e89_cell_e72_fallback_f0e327cd
project_away_e72,,True,0.503999908334782,-2.6829761848201628e-05,0.728331692702302,-0.0001507289148806,-0.0002858915822997,0.7777777777777778,1.0,e89_project_away_e72_3a962fb0
project_away_e72,,True,0.45678119857562477,-2.6002038863381927e-05,0.697522645014786,-5.169847407477945e-05,-0.0002300967070798,0.7777777777777778,1.0,e89_project_away_e72_3e43e09e
cell_e72_fallback,e85,True,0.43952919347533276,-2.499787686482957e-05,0.6914922445529046,-0.000110085323183,-0.0002160597950265,0.6388888888888888,0.9444444444444444,e89_cell_e72_fallback_01dc4bf6
control,,False,0.7388888888888888,-2.7705869828476004e-05,0.7723793763446426,-0.0003074391775771,-0.0003775852972332,0.7777777777777778,1.0,e89_control_a3f7c96f
blend_e86_noq2,,False,0.7271813172541512,-2.770046995781428e-05,0.7653119194426167,-0.0002857581239302,-0.0003594139164004,0.7777777777777778,1.0,e89_blend_e86_noq2_4a5e962f
row_e72_fallback,noq2,False,0.7216084028570126,-2.7583786208151828e-05,0.7553579851711794,-0.000257110364897,-0.0003165129719829,0.7777777777777778,1.0,e89_row_e72_fallback_a1c511b2
blend_e86_noq2,,False,0.7175831531027663,-2.7681674358515096e-05,0.7606859767373721,-0.0002711380935134,-0.0003472338242142,0.7777777777777778,1.0,e89_blend_e86_noq2_95bb4241
row_e72_q2_remove,q2_zero,False,0.7113566851395212,-2.7459233683191364e-05,0.7407208733686281,-0.0002559121346789,-0.0003068778452606,0.7777777777777778,1.0,e89_row_e72_q2_remove_b4fb0071
blend_e86_noq2,,False,0.6996059442384189,-2.762084075391691e-05,0.7539313307313161,-0.0002491415523855,-0.0003288649745175,0.7777777777777778,1.0,e89_blend_e86_noq2_8952f93d
blend_e86_noq2,,False,0.6809885004875907,-2.755836464196637e-05,0.7495820971550797,-0.0002344518190502,-0.0003165532940645,0.75,0.9722222222222222,e89_blend_e86_noq2_b48ca4b0
