candidate_id,basename,source_path,parent_policy_id,rule,scale,parent_actual_delta,parent_dominance,parent_min_mode_dominance,base_block_frac,selected_blocks,selected_rows,selected_null_mean_rate,selected_null_max_rate,selected_score_rank,selected_rarity_score,selected_contrast_score,delta_mean,delta_p90_abs,delta_l1,promotion_decision,strict_promote_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_contrast_top28_bf70_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_7051b599.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_7051b599.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,contrast_top28,0.6,-0.014676205569045586,0.8055555555555556,0.6458333333333334,0.7,28,155,0.6947751322751322,0.8640873015873015,0.6792452830188679,-0.08044199860237597,-0.1395881889386907,0.022470883863014306,0.048,6.8208966993504525,promote_candidate,True,-0.0009382282950690455,-0.0017215196810431723,-0.00026762228381038217,0.9411764705882353,0.007111659295743922
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_top28_bf50_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_dc1a79ee.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_dc1a79ee.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,contrast_top28,0.6,-0.017607255895929153,0.9791666666666666,0.9583333333333334,0.5,28,165,0.5105820105820106,0.7093253968253966,0.6873315363881402,0.0582048018368773,0.06956506472773984,0.020453785898622588,0.048,7.317620981188795,promote_candidate,True,-0.0008533760388764244,-0.001565165831944536,-0.0002454462314389719,0.9411764705882353,0.009266620620628718
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_contrast_top28_bf70_raw_s055,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_9e00ce3f.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_9e00ce3f.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,contrast_top28,0.55,-0.014676205569045586,0.8055555555555556,0.6458333333333334,0.7,28,155,0.6947751322751322,0.8640873015873015,0.6792452830188679,-0.08044199860237597,-0.1395881889386907,0.02059831020776312,0.044000000000000004,6.252488641071249,promote_candidate,True,-0.0008639686600338423,-0.0015862662490368801,-0.0002433676636195987,0.9411764705882353,0.006519021021098581
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_top28_bf35_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_cdd3a936.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_cdd3a936.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,contrast_top28,0.6,-0.014382602498575037,0.9444444444444444,0.8958333333333334,0.35,28,168,0.3948412698412699,0.6061507936507936,0.7021563342318057,0.16051212938005394,0.21481294093291708,0.019296122525382486,0.048,7.392616676120295,promote_candidate,True,-0.000755266452770084,-0.0013768950296914144,-0.0002421217189029053,0.9117647058823529,0.008366862460518404
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_rarity_top28_bf20_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_rarity__4ac15201.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_rarity__4ac15201.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,rarity_top28,0.6,-0.013445320773193159,0.9930555555555556,0.9791666666666666,0.2,28,152,0.16170634920634921,0.2976190476190476,0.6280323450134772,0.38904237795747226,0.42523525315413485,0.018360228419609357,0.048,6.811891038846186,promote_candidate,True,-0.0007443355168516195,-0.0013603602125238931,-0.00022884065695892488,0.9117647058823529,0.009660179481136455
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_top28_bf20_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_4922127f.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_4922127f.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,contrast_top28,0.6,-0.013445320773193159,0.9930555555555556,0.9791666666666666,0.2,28,153,0.2037037037037037,0.3740079365079364,0.6907008086253369,0.36025881002296095,0.4427651830030279,0.018783405343126308,0.048,6.898096807966949,promote_candidate,True,-0.0007260041539592627,-0.001325706319976426,-0.00022673221290808265,0.9117647058823529,0.007462023594310863
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_top28_bf50_raw_s055,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_bfc29cdb.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_bfc29cdb.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,contrast_top28,0.55,-0.017607255895929153,0.9791666666666666,0.9583333333333334,0.5,28,165,0.5105820105820106,0.7093253968253966,0.6873315363881402,0.0582048018368773,0.06956506472773984,0.01874930374040404,0.044000000000000004,6.707819232756396,promote_candidate,True,-0.0007864432340025247,-0.0014434924397739013,-0.00022286383961823186,0.9411764705882353,0.008494402235576348
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_top28_bf35_raw_s055,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_ddb0c7e7.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_ddb0c7e7.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,contrast_top28,0.55,-0.014382602498575037,0.9444444444444444,0.8958333333333334,0.35,28,168,0.3948412698412699,0.6061507936507936,0.7021563342318057,0.16051212938005394,0.21481294093291708,0.017688112314933946,0.044000000000000004,6.776565286443605,promote_candidate,True,-0.0006967155600354835,-0.0012713164844768423,-0.00022036742693468347,0.9117647058823529,0.007669623922141905
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_contrast_top28_bf70_raw_s050,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_ee75984c.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_cont_ee75984c.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,contrast_top28,0.5,-0.014676205569045586,0.8055555555555556,0.6458333333333334,0.7,28,155,0.6947751322751322,0.8640873015873015,0.6792452830188679,-0.08044199860237597,-0.1395881889386907,0.018725736552511925,0.04,5.6840805827920455,promote_candidate,True,-0.0007893901066023595,-0.001450351830653923,-0.00021925438353152674,0.9411764705882353,0.00592638274645324
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_rarity_top28_bf35_raw_s060,submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_rarity_9763fd99.csv,analysis_outputs/submission_e293_s4lownull_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_rarity_9763fd99.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,rarity_top28,0.6,-0.014382602498575037,0.9444444444444444,0.8958333333333334,0.35,28,169,0.2939814814814815,0.46230158730158727,0.5444743935309974,0.22165818109214339,0.15470531712488503,0.01692999419128325,0.048,7.522672486709105,promote_candidate,True,-0.0006803154918246646,-0.001238851895537904,-0.00021861559491309607,0.9117647058823529,0.007845666760704528
