mask_kind,n,best_rank,best_score,mean_top_score,mean_rows,mean_subject_entropy
random_rows,1360,1,0.9738067534000155,1.412269333041702,114.66911764705883,0.9815883496006358
global_order,29,8,1.1026580097689007,1.3883189448799984,85.34482758620689,0.9839686371498554
subject_contiguous,638,11,1.1111589770020436,1.4089059704299642,110.64890282131661,0.9938224230553407
single_subject,12,28,1.1564396252090892,1.4055517896210252,27.75,0.0
subject_order,8,34,1.1606105603565915,1.299743487252499,110.0,0.9938181827728307
all,1,275,1.2452131521689065,1.2452131521689065,250.0,0.9943128109888364
