target_mask,n,anchor_beats_mixmin,best_anchor_delta,median_anchor_delta,best_hidden_core_delta,median_hidden_core_delta,best_anchor_q2_s3_contrib,median_anchor_q2_s3_contrib,best_candidate,best_anchor_mean_delta_Q1,best_hidden_core_delta_Q1,best_anchor_mean_delta_Q2,best_hidden_core_delta_Q2,best_anchor_mean_delta_Q3,best_hidden_core_delta_Q3,best_anchor_mean_delta_S1,best_hidden_core_delta_S1,best_anchor_mean_delta_S2,best_hidden_core_delta_S2,best_anchor_mean_delta_S3,best_hidden_core_delta_S3,best_anchor_mean_delta_S4,best_hidden_core_delta_S4
no_q2_s3,432,328,-5.9949435344819335e-06,-2.2824486393124843e-06,-0.0006740129233492598,-0.00021496737315263026,-4.459655896282403e-18,-4.459655896282403e-18,toward_teacher|all|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,-3.081419542777474e-06,-0.0013617448495518714,4.447945958336556e-19,0.0,4.6195245817877356e-07,-0.0006782728257036241,-5.191243294836635e-06,-0.0018412007481741766,3.1839817242997884e-07,-0.00029503064363634035,-4.90445049211606e-18,0.0,-2.0589966291837977e-06,-0.0005418413963788615
no_q2,432,300,-5.090377878991248e-06,-1.701224835115589e-06,-0.0005218640781482486,-0.00023053476729689715,-1.0123133538134808e-06,-2.6409523649077403e-07,toward_teacher|all|no_q2|raw_agree|grad_all_abs50|all|flat|s0.095|c0.120,-2.5334138806541315e-06,-0.0009971233147262337,4.447945958336556e-19,0.0,8.393407582810053e-08,-0.0004975020347128545,-4.102609135622918e-06,-0.0013476619017534497,8.089581164108234e-08,-0.00021665057406386468,-1.0123133538139257e-06,-0.0001967867918310634,-1.690951554674467e-06,-0.00039732392995051047
no_s3,432,287,-4.726392550225e-06,-1.861870028319057e-06,-0.000567622888373781,-0.00024873546950555936,5.537588556206276e-07,1.304097074172288e-07,toward_teacher|all|no_s3|raw_agree|grad_all_abs50|all|flat|s0.095|c0.120,-2.5334138806541315e-06,-0.0009971233147262337,5.537588556255321e-07,-0.0005170984634099152,8.393407582810053e-08,-0.0004975020347128545,-4.102609135622918e-06,-0.0013476619017534497,8.089581164108234e-08,-0.00021665057406386468,-4.90445049211606e-18,0.0,-1.690951554674467e-06,-0.00039732392995051047
all,432,274,-4.193235407901064e-06,-1.3573283671464154e-06,-0.0005438353215492242,-0.0002642424746520655,-5.12179784812786e-07,-1.0400015646404662e-07,toward_teacher|all|all|raw_agree|grad_all_abs50|all|flat|s0.130|c0.080,-2.3723192912741265e-06,-0.0009100909977213523,4.365595258198278e-07,-0.00047222820898770723,2.149497129283764e-08,-0.0004542612850577943,-3.8098146445102036e-06,-0.001229916839679157,4.082852804946372e-08,-0.00019787450425312603,-9.487393106326139e-07,-0.0001797085749484506,-1.5830680598995742e-06,-0.00036276684019739824
s3,432,2,-2.1438512076699112e-08,3.707194788926671e-07,-5.340894083244452e-06,-1.4444653638576166e-05,-3.4437618703084063e-07,-2.6409523649077403e-07,toward_teacher|all|s3|support60|grad_all_abs50|all|flat|s0.070|c0.080,-9.593018397283174e-20,0.0,4.447945958336556e-19,0.0,-4.447884174684989e-18,0.0,-2.6894590284863726e-18,0.0,3.630365023981559e-18,0.0,-3.443761870312854e-07,-3.7386258582627896e-05,2.8266764007350817e-18,-2.7755575615628914e-17
q2_s3,432,0,9.376106879788182e-08,7.67077537044969e-07,-3.702185771795041e-05,-4.807440738253954e-05,-4.477062806823882e-07,-1.0400015646404662e-07,toward_teacher|all|q2_s3|raw_agree|grad_all_abs50|all|core_gain|s0.070|c0.080,-9.593018397283174e-20,0.0,-4.396688722315687e-08,-0.0001785528482384502,-4.447884174684989e-18,0.0,-2.6894590284863726e-18,0.0,3.630365023981559e-18,0.0,-4.0373939345923126e-07,-8.060015578688351e-05,2.8266764007350817e-18,-2.7755575615628914e-17
q2,408,0,1.0225362068183586e-07,4.720577642114421e-07,-2.5507549748310376e-05,-3.3569834405278165e-05,-4.396688722806134e-08,1.323185195998379e-07,toward_teacher|all|q2|raw_agree|grad_all_abs50|all|core_gain|s0.070|c0.080,-9.593018397283174e-20,0.0,-4.396688722315687e-08,-0.0001785528482384502,-4.447884174684989e-18,0.0,-2.6894590284863726e-18,0.0,3.630365023981559e-18,0.0,-4.90445049211606e-18,0.0,2.8266764007350817e-18,-2.7755575615628914e-17
