strategy,selector,graft_alpha,rows,e103_pass,dominates_e101,best_broad_mean_vs_e95,best_broad_p95_vs_e95,best_beat_e95,min_active_cells_vs_e95,max_move_edge_rate
edge_q2s3_amplitude,active_all,0.375,1,1,0,-2.342506503864702e-05,-2.158902469491766e-06,0.9808806488991889,50,0.62
edge_q2s3_amplitude,edge_or_active,0.375,1,1,0,-2.342506503864702e-05,-2.158902469491766e-06,0.9808806488991889,50,0.62
edge_q2s3_amplitude,active_topgap40,0.375,1,1,0,-2.2798453721390938e-05,-1.537695799877258e-06,0.9716106604866744,40,0.625
edge_q2s3_amplitude,active_s3_all,0.375,1,1,0,-2.275588567874527e-05,-1.4904587421891122e-06,0.9710312862108922,39,0.6410256410256411
edge_q2s3_amplitude,active_all,0.25,1,1,0,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,50,0.62
edge_q2s3_amplitude,edge_or_active,0.25,1,1,0,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,50,0.62
edge_q2s3_amplitude,active_topgap40,0.25,1,1,0,-1.576194796981069e-05,-1.219496391781683e-06,0.973638470451912,40,0.625
edge_q2s3_amplitude,active_s3_all,0.25,1,1,0,-1.5727718731460097e-05,-1.1945263639024126e-06,0.9733487833140209,39,0.6410256410256411
edge_q2s3_amplitude,active_all,0.125,1,1,0,-8.37746627337732e-06,-8.483202233632977e-07,0.984936268829664,50,0.62
edge_q2s3_amplitude,edge_or_active,0.125,1,1,0,-8.37746627337732e-06,-8.483202233632977e-07,0.984936268829664,50,0.62
edge_q2s3_amplitude,active_topgap40,0.125,1,1,0,-8.149091142925612e-06,-6.710329688034431e-07,0.9762456546929317,40,0.625
edge_q2s3_amplitude,active_s3_all,0.125,1,1,0,-8.130850054203648e-06,-6.660452949941953e-07,0.9756662804171495,39,0.6410256410256411
edge_q2s3_amplitude,active_all,1.0,1,0,0,-5.080068902374397e-05,-2.0207058485386766e-06,0.962630359212051,50,0.62
edge_q2s3_amplitude,edge_or_active,1.0,1,0,0,-5.080068902374397e-05,-2.0207058485386766e-06,0.962630359212051,50,0.62
edge_q2s3_amplitude,active_topgap40,1.0,1,0,0,-4.942675354359154e-05,-4.4221788525491224e-07,0.9522016222479722,40,0.625
edge_q2s3_amplitude,active_s3_all,1.0,1,0,0,-4.942308608114444e-05,-1.416216279272468e-07,0.9510428736964078,39,0.6410256410256411
edge_q2s3_amplitude,active_all,0.75,1,0,0,-4.138832323407831e-05,-2.722708811522527e-06,0.9724797219003476,50,0.62
edge_q2s3_amplitude,edge_or_active,0.75,1,0,0,-4.138832323407831e-05,-2.722708811522527e-06,0.9724797219003476,50,0.62
edge_q2s3_amplitude,active_topgap30,1.0,1,0,0,-4.1164769040731705e-05,4.567331352759181e-06,0.902954808806489,30,0.6333333333333333
edge_q2s3_amplitude,active_topgap40,0.75,1,0,0,-4.028501829269684e-05,-1.603681636152645e-06,0.9632097334878331,40,0.625
edge_q2s3_amplitude,active_s3_all,0.75,1,0,0,-4.02768472656277e-05,-1.414067703912728e-06,0.9629200463499421,39,0.6410256410256411
edge_q2s3_amplitude,active_topgap30,0.75,1,0,0,-3.391715315112824e-05,2.349576232121807e-06,0.9162804171494786,30,0.6333333333333333
edge_q2s3_amplitude,active_all,0.5,1,0,0,-2.9942366768144978e-05,-2.496942970351932e-06,0.9779837775202781,50,0.62
edge_q2s3_amplitude,edge_or_active,0.5,1,0,0,-2.9942366768144978e-05,-2.496942970351932e-06,0.9779837775202781,50,0.62
edge_q2s3_amplitude,active_topgap40,0.5,1,0,0,-2.914027434264572e-05,-1.6907547732007508e-06,0.9690034762456546,40,0.625
edge_q2s3_amplitude,active_s3_all,0.5,1,0,0,-2.9124428089863164e-05,-1.5938714496280512e-06,0.9687137891077636,39,0.6410256410256411
edge_q2s3_amplitude,active_interior,1.0,1,0,0,-2.770390777556333e-05,6.857917475585228e-06,0.8143105446118193,19,0.0
edge_q2s3_amplitude,interior_all,1.0,1,0,0,-2.770390777556333e-05,6.857917475585228e-06,0.8143105446118193,19,0.0
edge_q2s3_amplitude,active_s3_interior,1.0,1,0,0,-2.7045354210993936e-05,7.166028140441655e-06,0.7963499420625724,14,0.0
edge_q2s3_amplitude,interior_s3_all,1.0,1,0,0,-2.7045354210993936e-05,7.166028140441655e-06,0.7963499420625724,14,0.0
edge_q2s3_amplitude,active_topgap30,0.5,1,0,0,-2.4696438572960275e-05,8.697391596766484e-07,0.9290266512166859,30,0.6333333333333333
edge_q2s3_amplitude,active_topgap20,1.0,1,0,0,-2.3672845412383535e-05,1.1428481157611514e-05,0.7471031286210892,20,0.65
edge_q2s3_amplitude,active_edge,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_all,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_topgap100,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_topgap40,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_topgap50,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_topgap75,1.0,1,0,0,-2.2843443339923378e-05,7.795143744132695e-06,0.8224217844727694,31,1.0
edge_q2s3_amplitude,edge_topgap30,1.0,1,0,0,-2.2787039550045907e-05,7.778427108148325e-06,0.8209733487833141,30,1.0
edge_q2s3_amplitude,active_interior,0.75,1,0,0,-2.2493945946849784e-05,3.924722336055054e-06,0.8287949015063731,19,0.0
edge_q2s3_amplitude,interior_all,0.75,1,0,0,-2.2493945946849784e-05,3.924722336055054e-06,0.8287949015063731,19,0.0
edge_q2s3_amplitude,active_s3_edge,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_all,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_topgap100,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_topgap30,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_topgap40,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_topgap50,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,edge_s3_topgap75,1.0,1,0,0,-2.2068704955711688e-05,8.239183597861881e-06,0.8079374275782155,25,1.0
edge_q2s3_amplitude,active_s3_interior,0.75,1,0,0,-2.192832544233441e-05,4.327316645111469e-06,0.8099652375434531,14,0.0
edge_q2s3_amplitude,interior_s3_all,0.75,1,0,0,-2.192832544233441e-05,4.327316645111469e-06,0.8099652375434531,14,0.0
edge_q2s3_amplitude,active_topgap20,0.75,1,0,0,-2.0277571811275676e-05,6.662447335571456e-06,0.7694090382387022,20,0.65
edge_q2s3_amplitude,active_edge,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_all,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_topgap100,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_topgap40,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_topgap50,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_topgap75,0.75,1,0,0,-1.9327995144737468e-05,4.0829996281142694e-06,0.8511008111239861,31,1.0
edge_q2s3_amplitude,edge_topgap30,0.75,1,0,0,-1.927704104656107e-05,4.1383710571852465e-06,0.8502317497103129,30,1.0
edge_q2s3_amplitude,active_topgap30,0.375,1,0,0,-1.9194787881644407e-05,4.5670071790646275e-07,0.9353997682502897,30,0.6333333333333333
edge_q2s3_amplitude,active_s3_edge,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_all,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_topgap100,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_topgap30,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_topgap40,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_topgap50,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_s3_topgap75,0.75,1,0,0,-1.871554847773144e-05,4.600032533651635e-06,0.8374855156431055,25,1.0
edge_q2s3_amplitude,edge_topgap20,1.0,1,0,0,-1.719250757018699e-05,1.1032300690010265e-05,0.7294322132097335,20,1.0
