variant,source_id,gate_id,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,row_l1_p90,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4,renorm,source_l1,gated_l1_ratio
e349_compact_core__risk_top70_damp0p25_renorm110,e349_compact_core,risk_top70_damp0p25_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p25_renorm110_0fcbe1d5.csv,submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p25_renorm110_0fcbe1d5.csv,216,356,3.9251288805707603,0.41022040755106415,0.038649433807438294,1.9055441133804518,0.4854730051827911,0.8277307499951359,0.21087989087246833,0.21108684071638223,0.053778320951766476,0.9807671764787907,0.2498687829929741,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.8532489285190709
e349_compact_core__risk_top70_damp0p5,e349_compact_core,risk_top70_damp0p5,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p5_8ad74d81.csv,submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p5_8ad74d81.csv,216,356,3.9122711292009145,0.38764987453667943,0.035173299644067145,1.8979457994883364,0.48512634651576264,0.8432324999951648,0.2155352919436839,0.20402541166385413,0.052150120716589136,0.9670674180535583,0.24718824082396434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.8504538960721642
e349_compact_core__risk_top70_damp0p5_renorm110,e349_compact_core,risk_top70_damp0p5_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p5_renorm110_85f71c3a.csv,submission_e359_rowplacement_e349_compact_core__risk_top70_damp0p5_renorm110_85f71c3a.csv,216,356,4.303498242121005,0.4264148619903474,0.038690629608473866,2.0877403794371707,0.48512634651576275,0.9275557499946812,0.21553529194368387,0.22442795283023953,0.05215012071658913,1.063774159858914,0.24718824082396432,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.9354992856793805
e349_compact_core__risk_top80_damp0p0,e349_compact_core,risk_top80_damp0p0,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p0_2bb0bab7.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p0_2bb0bab7.csv,174,291,3.577838755199516,0.39083922903757545,0.03524400102927698,1.8308048421329972,0.5117069178906871,0.7277324999960502,0.2034000271640158,0.20141845526175303,0.05629612429264466,0.8178829578087163,0.22859693065265246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.7777546106572892
e349_compact_core__risk_top80_damp0p0_renorm110,e349_compact_core,risk_top80_damp0p0_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p0_renorm110_6c493fcb.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p0_renorm110_6c493fcb.csv,174,291,3.935622630719469,0.429923151941333,0.03876840113220468,2.013885326346297,0.5117069178906871,0.8005057499956553,0.20340002716401584,0.22156030078792832,0.056296124292644655,0.8996712535895881,0.22859693065265252,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.8555300717230184
e349_compact_core__risk_top80_damp0p25,e349_compact_core,risk_top80_damp0p25,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p25_ed9f719d.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p25_ed9f719d.csv,216,356,3.833432922131796,0.39420739799364607,0.03524400102927698,1.9304065660430678,0.5035712389535062,0.8019824999956223,0.20920739094337273,0.20813433623221345,0.05429450324553186,0.8929095198608922,0.2329268668575893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.8333159579929671
e349_compact_core__risk_top80_damp0p25_renorm110,e349_compact_core,risk_top80_damp0p25_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p25_renorm110_32cfca22.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p25_renorm110_32cfca22.csv,216,356,4.216776214344977,0.43362813779301074,0.03876840113220468,2.123447222647375,0.5035712389535061,0.8821807499951846,0.2092073909433727,0.22894776985543477,0.054294503245531846,0.9822004718469814,0.23292686685758926,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.916647553792264
e349_compact_core__risk_top80_damp0p5,e349_compact_core,risk_top80_damp0p5,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p5_52827bdb.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p5_52827bdb.csv,216,356,4.089027089064075,0.4041435161766478,0.0354328528666716,2.0300082899531384,0.49645263915768795,0.8762324999951943,0.2142887491106723,0.21485021720267383,0.05254311417434269,0.9679360819130679,0.2367154975572969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.8888773053286447
e349_compact_core__risk_top80_damp0p5_renorm110,e349_compact_core,risk_top80_damp0p5_renorm110,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p5_renorm110_cc99902f.csv,submission_e359_rowplacement_e349_compact_core__risk_top80_damp0p5_renorm110_cc99902f.csv,216,356,4.497929797970483,0.4445578677943126,0.03897613815333877,2.233009118948453,0.496452639157688,0.9638557499947138,0.21428874911067228,0.23633523892294123,0.05254311417434268,1.0647296901043748,0.23671549755729687,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.600215422928633,0.9777650358615092
e349_compact_core__risk_top90_damp0p0,e349_compact_core,risk_top90_damp0p0,analysis_outputs/submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p0_f812dd65.csv,submission_e359_rowplacement_e349_compact_core__risk_top90_damp0p0_f812dd65.csv,195,323,4.0181477303232445,0.4119571542124994,0.03671631771872313,1.9300663696537776,0.480337334311626,0.8927324999941137,0.22217513140620562,0.20141845526175303,0.0501271901333378,0.9939304054136,0.2473603441488305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600215422928633,0.8734694706460449
