method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,median_support,median_dist
calendar_count_strict,36.0,-0.0001787942188531561,-0.00043353666822282163,0.0008406271661630442,0.5277777777777778,5.5,
night_light_rawctx_strict_k8_a24,36.0,0.00015296926167697347,-0.00013904533207871156,0.0007677039871126693,0.5,8.0,1.0083129783195766
night_coverage_rawctx_strict_k8_a24,36.0,0.00016487549365531398,-0.00012897453671658913,0.000771110396720192,0.4722222222222222,8.0,1.0839462573668526
night_watch_rawctx_strict_k8_a24,36.0,0.0002032401994796064,-0.00018065094768706183,0.0007780799965948109,0.5555555555555556,8.0,1.0320813284421462
calendar_count_local,36.0,0.00024980476322520294,-9.46863391416501e-05,0.0007788267211961752,0.4444444444444444,6.0,
night_light_rawctx_local_k8_a24,36.0,0.0002588389469454899,9.409937255458077e-08,0.0007422834683714565,0.4722222222222222,8.0,0.8885804303035875
night_phone_rawctx_local_k8_a24,36.0,0.00030371160894151616,4.9095093210546754e-05,0.0007434300206867299,0.5,8.0,0.9268344206546875
night_phone_rawctx_strict_k8_a24,36.0,0.00031079790455357655,3.386465748035595e-05,0.0007161868539675224,0.5,8.0,1.1024090210323347
night_all_rawctx_local_k8_a24,36.0,0.00031399922249278366,1.533322270128628e-05,0.0007640710448401467,0.4722222222222222,8.0,0.90127240628911
night_mobility_rawctx_local_k8_a24,36.0,0.0003160634751808482,7.331403608834627e-05,0.0007344885815063353,0.4722222222222222,8.0,0.8958646444290954
night_coverage_rawctx_local_k8_a24,36.0,0.00032379538265013465,1.1877083781602116e-05,0.0007573562856042189,0.4722222222222222,8.0,0.9338203214301111
night_watch_rawctx_local_k8_a24,36.0,0.00032661843377991816,5.302260543451503e-05,0.0007431830224425142,0.4722222222222222,8.0,0.8876032609154489
night_usage_ambience_rawctx_local_k8_a24,36.0,0.000350861802878061,7.10683343348051e-05,0.0007539619753236367,0.4722222222222222,8.0,0.9168106032094322
night_context_rawctx_local_k8_a24,36.0,0.00037745220667619175,0.00013515142510232305,0.0007529461484249653,0.4444444444444444,8.0,0.8768996745084754
subject_mean,36.0,0.00044515850591159774,0.0002532671273690718,0.0007625430577150217,0.4166666666666667,,
