filter,n_scenarios,alpha_median,lambda_median,e101_residual_mean,e101_abs_residual_median,e101_order_match_rate,winner_live_mode,winner_future_mode
solved_all,3894,3.6367764333677752,1.3792166138603328,-2.8026857954673535e-05,2.4731118341485013e-05,0.014637904468412942,e95,e89
broad_plausible,3452,3.310469909858937,1.3451917412313135,-2.5241491750634995e-05,2.332432248668744e-05,0.016512166859791424,e95,e89
tight_plausible,2790,2.716776748911234,1.283285733454492,-2.2233095099080722e-05,2.1162357618135678e-05,0.01756272401433692,e95,e89
e101_order_match,57,0.7919850496590788,1.082582444717836,-8.443797094133332e-06,8.569755153633956e-06,1.0,e95,e85
e101_close_pm10e6,121,0.839337993413649,1.087520065524595,-9.037832614217833e-06,9.13513990620196e-06,0.47107438016528924,e95,e89
e101_close_pm5e6,0,,,,,,,
e101_sensor_plausible,57,0.7919850496590788,1.082582444717836,-8.443797094133332e-06,8.569755153633956e-06,1.0,e95,e85
