family,rows,broad_edge_gate,low_e72_axis_gate,candidate_gate,best_broad_edge_score,best_expected_delta_vs_e95,median_e72_axis_cos
jepa,1943,190,1943,189,0.09354461236653668,-0.025880911848844675,-0.13967326841666905
other,18,6,13,3,0.16799560960560284,-0.0512430974186555,-0.17360751828976007
q2s3_sparse,5,2,2,0,0.0017027719587273812,-0.0009135623270601155,0.2073514336196812
repaired_branch,5,0,5,0,4.3052335151002525e-05,-3.105569521052047e-05,-0.02741391536222523
block,1,0,1,0,0.0,0.0003412375954910368,-0.25600658557009076
e101_q2s3,3,0,0,0,0.0,4.639793716350395e-05,0.2011340720337496
hardtail,1,0,1,0,0.0,0.0,0.0
mixmin,1,0,0,0,0.0,0.00014454265478081838,0.6719025345729499
