variant,family,gate_name,q2_scale,s1_scale,q2_weight_mean,q2_weight_min,q2_weight_p10,q2_weight_p90,q2_weight_max,q2_weight_transfer_spearman,q2_weight_risk_spearman,q2_l1,s1_l1,all_l1,all_cos_e323_bad_vs_e365,all_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_transfer_signed_spearman,s1_transfer_signed_spearman,q2_bad_positive_contrib,q2_bad_negative_contrib,q2_bad_positive_share,q2_bad_signed_sum,file,basename
e371_identity_q20p85_s11p0,q2_rowwise_safety_lifestyle_gate,identity,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.06580250179223064,0.10927604031376492,0.17507854210599558,-0.0018944815730693484,-0.026535801114698197,0.5917345466273781,-0.014615330996669661,-0.06320046219866256,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0021264780491463187,0.000156641880769919,0.9313913037818135,0.0019698361683764005,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q20p85_s11p0_60c51354.csv,submission_e371_q2rowsafe_e371_identity_q20p85_s11p0_60c51354.csv
e371_identity_q20p85_s11p06,q2_rowwise_safety_lifestyle_gate,identity,0.85,1.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.06580250179223064,0.11583260273259083,0.18163510452482148,-0.003110105406305198,-0.027229963223202747,0.5917345466273781,-0.014615330996669661,-0.06320046219876742,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0021264780491463187,0.000156641880769919,0.9313913037818135,0.0019698361683764005,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q20p85_s11p06_501e8885.csv,submission_e371_q2rowsafe_e371_identity_q20p85_s11p06_501e8885.csv
e371_identity_q20p85_s11p15,q2_rowwise_safety_lifestyle_gate,identity,0.85,1.15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.06580250179223064,0.12566744636082963,0.1914699481530603,-0.004788034259871968,-0.028152948871085125,0.5917345466273781,-0.014615330996669661,-0.06320046219890421,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0021264780491463187,0.000156641880769919,0.9313913037818135,0.0019698361683764005,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q20p85_s11p15_a39f6623.csv,submission_e371_q2rowsafe_e371_identity_q20p85_s11p15_a39f6623.csv
e371_identity_q21p0_s11p0,q2_rowwise_safety_lifestyle_gate,identity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07741470799085957,0.10927604031376492,0.1866907483046245,0.0015200532656084995,-0.024472313789835304,0.5917345466540413,-0.014661258237123236,-0.06320046219866256,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0025017388813486103,0.0001842845656116694,0.9313913038430054,0.0023174543157369414,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p0_s11p0_3717116c.csv,submission_e371_q2rowsafe_e371_identity_q21p0_s11p0_3717116c.csv
e371_identity_q21p0_s11p06,q2_rowwise_safety_lifestyle_gate,identity,1.0,1.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07741470799085957,0.11583260273259083,0.19324731072345042,0.0002960467465213047,-0.025231259432069955,0.5917345466540413,-0.014661258237123236,-0.06320046219876742,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0025017388813486103,0.0001842845656116694,0.9313913038430054,0.0023174543157369414,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p0_s11p06_6f085645.csv,submission_e371_q2rowsafe_e371_identity_q21p0_s11p06_6f085645.csv
e371_identity_q21p0_s11p15,q2_rowwise_safety_lifestyle_gate,identity,1.0,1.15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07741470799085957,0.12566744636082963,0.20308215435168925,-0.0014173690044431571,-0.026257535106499454,0.5917345466540413,-0.014661258237123236,-0.06320046219890421,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0025017388813486103,0.0001842845656116694,0.9313913038430054,0.0023174543157369414,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p0_s11p15_3b8f8737.csv,submission_e371_q2rowsafe_e371_identity_q21p0_s11p15_3b8f8737.csv
e371_identity_q21p08_s11p0,q2_rowwise_safety_lifestyle_gate,identity,1.08,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08360788463012836,0.10927604031376492,0.19288392494389328,0.0031255000307376635,-0.023444174589886072,0.5917345466652331,-0.01468062245963541,-0.06320046219866256,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0027018779918564994,0.00019902733086060297,0.931391303868691,0.002502850660995896,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p0_bc7c6a80.csv,submission_e371_q2rowsafe_e371_identity_q21p08_s11p0_bc7c6a80.csv
e371_identity_q21p08_s11p06,q2_rowwise_safety_lifestyle_gate,identity,1.08,1.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08360788463012836,0.11583260273259083,0.1994404873627192,0.001911512644312566,-0.024225044889039662,0.5917345466652331,-0.01468062245963541,-0.06320046219876742,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0027018779918564994,0.00019902733086060297,0.931391303868691,0.002502850660995896,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p06_3135ce56.csv,submission_e371_q2rowsafe_e371_identity_q21p08_s11p06_3135ce56.csv
e371_identity_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,identity,1.08,1.15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08360788463012836,0.12566744636082963,0.209275330990958,0.0002007121404410017,-0.025289468689745048,0.5917345466652331,-0.01468062245963541,-0.06320046219890421,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,0.0027018779918564994,0.00019902733086060297,0.931391303868691,0.002502850660995896,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv,submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv
e371_transfer_floor0.35_g0.7_q20p85_s11p0,q2_rowwise_safety_lifestyle_gate,transfer_floor0.35_g0.7,0.85,1.0,0.7321161458491745,0.35,0.4796900456322199,0.953785990057001,1.0,0.9999999999999998,0.25945112009434684,0.06332047444821035,0.10927604031376492,0.1725965147619753,-0.0023160607469391806,-0.026467004923284847,0.5758645099011039,-0.016667141536512324,-0.06320046219866256,0.429653721262495,0.197475314012705,-0.058607130477817904,0.005292888391400691,0.0020864438580431586,0.00015856470056427216,0.9293701126948046,0.0019278791574788862,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_35_g0_7_q20p85_s11p0_59cc4bfd.csv,submission_e371_q2rowsafe_e371_transfer_floor0_35_g0_7_q20p85_s11p0_59cc4bfd.csv
