selector_id,rule_family,reference,selected_n,reference_n,intersection,jaccard,selector_recall,reference_recall
control_e230_risk21,control,e230_risk21,21,21,21,1.0,1.0,1.0
control_e230_risk21,control,e230_swing25,21,25,11,0.3142857142857143,0.5238095238095238,0.44
control_e230_risk21,control,e237,21,25,11,0.3142857142857143,0.5238095238095238,0.44
control_e230_swing25,control,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
control_e230_swing25,control,e230_swing25,25,25,25,1.0,1.0,1.0
control_e230_swing25,control,e237,25,25,13,0.35135135135135137,0.52,0.52
control_e237_learned_cell25,control,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
control_e237_learned_cell25,control,e230_swing25,25,25,13,0.35135135135135137,0.52,0.52
control_e237_learned_cell25,control,e237,25,25,25,1.0,1.0,1.0
global_amp_resid_combo25,combined,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
global_amp_resid_combo25,combined,e230_swing25,25,25,13,0.35135135135135137,0.52,0.52
global_amp_resid_combo25,combined,e237,25,25,12,0.3157894736842105,0.48,0.48
global_e215_e208_combo25,combined,e230_risk21,25,21,12,0.35294117647058826,0.48,0.5714285714285714
global_e215_e208_combo25,combined,e230_swing25,25,25,14,0.3888888888888889,0.56,0.56
global_e215_e208_combo25,combined,e237,25,25,13,0.35135135135135137,0.52,0.52
global_e239_combo25,combined,e230_risk21,25,21,12,0.35294117647058826,0.48,0.5714285714285714
global_e239_combo25,combined,e230_swing25,25,25,14,0.3888888888888889,0.56,0.56
global_e239_combo25,combined,e237,25,25,12,0.3157894736842105,0.48,0.48
simple_nn_dist_top25,simple,e230_risk21,25,21,4,0.09523809523809523,0.16,0.19047619047619047
simple_nn_dist_top25,simple,e230_swing25,25,25,6,0.13636363636363635,0.24,0.24
simple_nn_dist_top25,simple,e237,25,25,8,0.19047619047619047,0.32,0.32
simple_pc10_top25,simple,e230_risk21,25,21,13,0.3939393939393939,0.52,0.6190476190476191
simple_pc10_top25,simple,e230_swing25,25,25,18,0.5625,0.72,0.72
simple_pc10_top25,simple,e237,25,25,14,0.3888888888888889,0.56,0.56
simple_resid_abs_top25,simple,e230_risk21,25,21,5,0.12195121951219512,0.2,0.23809523809523808
simple_resid_abs_top25,simple,e230_swing25,25,25,6,0.13636363636363635,0.24,0.24
simple_resid_abs_top25,simple,e237,25,25,6,0.13636363636363635,0.24,0.24
top50_amp_then_nn25,top50_residual,e230_risk21,25,21,12,0.35294117647058826,0.48,0.5714285714285714
top50_amp_then_nn25,top50_residual,e230_swing25,25,25,15,0.42857142857142855,0.6,0.6
top50_amp_then_nn25,top50_residual,e237,25,25,16,0.47058823529411764,0.64,0.64
top50_amp_then_resid_abs25,top50_residual,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
top50_amp_then_resid_abs25,top50_residual,e230_swing25,25,25,15,0.42857142857142855,0.6,0.6
top50_amp_then_resid_abs25,top50_residual,e237,25,25,14,0.3888888888888889,0.56,0.56
top50_amp_then_resid_combo25,top50_residual,e230_risk21,25,21,13,0.3939393939393939,0.52,0.6190476190476191
top50_amp_then_resid_combo25,top50_residual,e230_swing25,25,25,15,0.42857142857142855,0.6,0.6
top50_amp_then_resid_combo25,top50_residual,e237,25,25,13,0.35135135135135137,0.52,0.52
