target,feature,mode,corr,c_value,base_loss,corrected_loss,best_weight,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,geometry_delta_mean,geometry_win_rate,geometry_target_delta,geometry_target_win_rate,passes_e215_probe
Q1,e215_pred_pc06,subject_rank,0.17194869758103448,0.2,0.5746308240745168,0.5723883285059741,0.45,0.5696657742774233,-0.004965049797093557,-0.004677688758951913,-0.004662780477302841,-0.006525028879820427,-0.0032059097324047547,0.9769230769230769,0.43423076923076925,0.0,-0.0007549836979570401,0.875,-0.00528488588569892,0.875,True
Q1,e215_pred_pc06,subject_rank,0.17194869758103448,0.1,0.5746308240745168,0.5724638785073712,0.45,0.5701771369949362,-0.004453687079580604,-0.004172957509822347,-0.004316934281888396,-0.005767032959382079,-0.002669688950299287,0.9730769230769231,0.43326923076923085,0.0,-0.0005857902367374518,0.625,-0.004100531657162065,0.625,True
S2,e215_resid_pc10,subject_rank,0.14583883639495,0.2,0.5389534496173579,0.5352734118236511,0.45,0.534583024919902,-0.004370424697455966,-0.003752832635153627,-0.004223265428848544,-0.005517016665824354,-0.002366963271256489,0.926923076923077,0.4071153846153847,0.0,-0.00018485287251718274,0.625,-0.0012939701076202653,0.625,True
S2,e215_resid_pc10,subject_rank,0.14583883639495,0.1,0.5389534496173579,0.5362927679794053,0.45,0.5352180796899163,-0.003735369927441612,-0.002968855116538445,-0.0035178077243569472,-0.004838813226755334,-0.0016866842808939964,0.8884615384615384,0.39257692307692316,0.0,1.7216709947517894e-05,0.625,0.00012051696963279179,0.625,False
S4,e215_deep_resid_abs_mean,subject_rank,0.1545588812483789,0.2,0.6034040622125061,0.60170678281766,0.45,0.6000915052948724,-0.0033125569176336578,-0.002048868053203448,-0.002351810030875201,-0.003973191591984171,-0.00048815347529093667,0.7923076923076923,0.37500000000000006,0.046153846153846156,-0.00027503841319248545,0.625,-0.0019252688923473565,0.625,True
Q1,e215_pred_pc06,subject_rank,0.17194869758103448,0.05,0.5746308240745168,0.5745446965475947,0.45,0.5714328482393517,-0.0031979758351651233,-0.0025456458939475167,-0.0030535399994779944,-0.003961725564932905,-0.0015424959455567766,0.9038461538461539,0.3921153846153847,0.0,-0.00025427647592564384,0.5,-0.0017799353314794375,0.5,True
S4,e215_hidden_z01,subject_z,0.1375450425742939,0.2,0.6034040622125061,0.6023663657102315,0.45,0.6003786742050075,-0.0030253880074986306,-0.00113492489899935,-0.0014831577613597657,-0.0031497333111166204,0.0,0.65,0.3314615384615385,0.10384615384615385,-7.758714782896137e-05,0.625,-0.0005431100348025492,0.625,True
S4,e215_hidden_z01,subject_center,0.14153655762393666,0.2,0.6034040622125061,0.6021736089373351,0.45,0.6003855516021191,-0.0030185106103869375,-0.0010180404381362699,-0.0009749743560781288,-0.0031537218291265157,0.00016551494589592264,0.5846153846153846,0.32584615384615384,0.15,-9.972760341747655e-05,0.625,-0.0006980932239222248,0.625,False
S4,e215_deep_resid_abs_mean,subject_rank,0.1545588812483789,0.1,0.6034040622125061,0.6018610542220287,0.45,0.6004059303807909,-0.002998131831715156,-0.0019748252693507088,-0.002373912279986068,-0.0037314130546979296,-0.0005855202669629023,0.8192307692307692,0.3799615384615385,0.03076923076923077,-0.00011055461112212395,0.5,-0.0007738822778547705,0.5,True
S4,e215_deep_resid_abs_mean,subject_z,0.14776922422544883,0.2,0.6034040622125061,0.6022877647706413,0.45,0.6004376057882382,-0.0029664564242678493,-0.0018133892506191774,-0.0020725097385880797,-0.003579147663973048,-0.00039376008955083197,0.7807692307692308,0.3665000000000001,0.046153846153846156,-0.00026333083784740863,0.625,-0.0018433158649317216,0.625,True
S2,e215_resid_pc10,subject_z,0.1276116340860516,0.2,0.5389534496173579,0.5377210595959597,0.45,0.5361253798134861,-0.0028280698038718466,-0.002137631344891266,-0.0024103669038352815,-0.003633819209391015,-0.0009278207225971169,0.8961538461538462,0.385423076923077,0.0,0.00010283287079014547,0.625,0.0007198300955311016,0.625,False
S4,e215_hidden_z01,subject_z,0.1375450425742939,0.1,0.6034040622125061,0.6024736155712016,0.45,0.6005968671038762,-0.002807195108629923,-0.0010658605285663878,-0.0014666037651506203,-0.002979059849418708,0.00012239953818693472,0.6615384615384615,0.33153846153846156,0.08076923076923077,6.68661278170335e-05,0.375,0.0004680628947191512,0.375,False
S4,e215_hidden_z01,subject_center,0.14153655762393666,0.1,0.6034040622125061,0.6022650972642571,0.45,0.6005970338200642,-0.002807028392441846,-0.0009612632046752257,-0.0009865799110379547,-0.0030367252536808165,1.5529515073886557e-05,0.6230769230769231,0.32603846153846155,0.12692307692307692,4.881704140009824e-05,0.375,0.00034171928980081256,0.375,False
S4,e215_deep_resid_abs_mean,subject_z,0.14776922422544883,0.1,0.6034040622125061,0.6024424930925599,0.45,0.6007152090658425,-0.0026888531466635612,-0.0017654805345848853,-0.002227965839603163,-0.0030883910193078012,-0.0006590304601902242,0.8038461538461539,0.37053846153846154,0.03076923076923077,-0.00010011378289881412,0.625,-0.0007007964802918376,0.625,True
S2,e215_resid_pc10,subject_rank,0.14583883639495,0.05,0.5389534496173579,0.5397707600628776,0.45,0.5366616138918625,-0.002291835725495406,-0.0011963526153635979,-0.0017864481461703496,-0.0026257476651632694,0.0,0.7423076923076923,0.33519230769230773,0.03076923076923077,0.0003905642849853369,0.375,0.0027339499948975873,0.375,False
S2,e215_resid_pc10,subject_z,0.1276116340860516,0.1,0.5389534496173579,0.538676476179701,0.45,0.5366687388763088,-0.0022847107410490786,-0.0014355601879301632,-0.001985852740690852,-0.0027320614172560986,-0.00021194391410805924,0.7884615384615384,0.36080769230769233,0.046153846153846156,0.00028774548194460126,0.375,0.0020142183736123337,0.375,False
S4,e215_deep_resid_norm,subject_z,0.14031111712086686,0.2,0.6034040622125061,0.6033957467112209,0.45,0.6012149295704254,-0.002189132642080649,-0.0008445626751663992,-0.0012046548974541382,-0.002413227664777362,0.0,0.6807692307692308,0.3370769230769231,0.08846153846153847,-0.00016976153811996963,0.5,-0.0011883307668398013,0.5,True
S4,e215_deep_resid_abs_mean,subject_rank,0.1545588812483789,0.05,0.6034040622125061,0.6043646748885663,0.45,0.6012748707880581,-0.002129191424448007,-0.0012557447139053776,-0.001926739284043466,-0.002379233797060065,-0.00014074220315951624,0.7769230769230769,0.36350000000000005,0.019230769230769232,0.00019242767701055374,0.375,0.001346993739074015,0.375,False
