file,full_expected,subset_mean_expected,subset_std_expected,subset_p90_expected,subset_p95_expected,subset_worst_expected,subset_p90_delta_vs_full,subset_p95_delta_vs_full,random_p95_delta_vs_full,worst_structured_delta_vs_full,mean_delta_vs_prior,loss_vs_prior_p90,win_rate_vs_prior,mean_delta_vs_stage2,win_rate_vs_stage2,n_masks,subset_robust_score
submission_public_entropyproj_public2d0_g100.csv,0.5757340544110956,0.5758236022296845,0.007926564483375443,0.5820188177930309,0.5846927607154502,0.6462769420070898,0.006284763381935288,0.00895870630435458,0.009580391115760145,0.07054288759599425,-0.001459308755559821,-0.0013371319760466349,1.0,-0.0022196154016408823,1.0,2124,0.6054708643054164
submission_public_entropyproj_proj0_g100.csv,0.5757383008294131,0.5758278521335065,0.007926292934595635,0.582022786408108,0.5846969327729752,0.6462788371929651,0.006284485578694876,0.008958631943562056,0.009579407670491702,0.07054053636355195,-0.001455058851737896,-0.0013333696483186276,1.0,-0.002215365497818958,1.0,2124,0.6054743096532106
submission_public_entropyproj_public2d0_g075.csv,0.5758255911926798,0.5759151478186914,0.007927999666271297,0.5821056319864549,0.5847812236396107,0.6464153042742334,0.006280040793775088,0.008955632446930872,0.009595302331531164,0.0705897130815536,-0.0013677631665531824,-0.0012534713627958994,1.0,-0.0021280698126342435,1.0,2124,0.6055686723068867
submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g075.csv,0.5758255911926798,0.5759151478186914,0.007927999666271297,0.5821056319864549,0.5847812236396107,0.6464153042742334,0.006280040793775088,0.008955632446930872,0.009595302331531164,0.0705897130815536,-0.0013677631665531824,-0.0012534713627958994,1.0,-0.0021280698126342435,1.0,2124,0.6055686723068867
submission_public_maskaware_t65_r07_768f6df0.csv,0.575827203576626,0.5759168662384992,0.007927987893480018,0.5821082456079482,0.5847818135731475,0.6464141940681001,0.0062810420313221815,0.008954609996521534,0.009593023175363036,0.0705869904914741,-0.0013660447467451788,-0.00125168527366043,1.0,-0.00212635139282624,1.0,2124,0.6055690822116772
submission_public_maskaware_t80_r10_18d78615.csv,0.5758361385345828,0.5759259498364421,0.00792784983136319,0.582118133155812,0.5847843825687709,0.6464239168575585,0.006281994621229137,0.008948244034188035,0.009589751123986412,0.07058777832297569,-0.0013569611488023475,-0.0012439450767287251,1.0,-0.0021172677948834086,1.0,2124,0.6055723244601293
submission_public_entropyproj_proj0_g075.csv,0.5758345413341817,0.5759243113866088,0.00792750931395936,0.5821151459107997,0.5847872519768075,0.6464139292262152,0.006280604576618054,0.008952710642625816,0.009596142632476545,0.07057938789203355,-0.0013585995986356923,-0.001246582853908762,1.0,-0.002118906244716754,1.0,2124,0.6055724012381248
submission_public_maskaware_t65_r08_7f7fa3e2.csv,0.5758301030917017,0.5759196410340667,0.007928060389801699,0.5821090789241881,0.5847870253507446,0.6464206667325306,0.006278975832486378,0.008956922259042877,0.009591988846664568,0.07059056364082894,-0.0013632699511778182,-0.0012495390383180927,1.0,-0.00212357659725888,1.0,2124,0.605574154177195
submission_public_maskaware_t50_r04_6761fb38.csv,0.5758341671778985,0.575923957507474,0.007928381342689339,0.5821144069434183,0.5847901832452567,0.6464341406983792,0.006280239765519835,0.008956016067358186,0.009593183706191666,0.07059997352048075,-0.0013589534777702493,-0.0012450934329696795,1.0,-0.002119260123851311,1.0,2124,0.6055802965081368
submission_public_maskaware_t50_r06_8d5b4fe1.csv,0.5758387359299688,0.5759286243250159,0.007928078405639508,0.5821209474083842,0.5847941517534343,0.646423942420363,0.006282211478415345,0.008955415823465485,0.009595755088826152,0.07058520649039424,-0.0013542866602284803,-0.0012399531562858445,1.0,-0.002114593306309542,1.0,2124,0.6055815591152405
