split,group,n_targets,mean_subject_prior_logloss,mean_raw_coverage_logloss,mean_raw_plus_prior_logloss,mean_raw_delta_vs_subject_prior,mean_raw_plus_prior_delta_vs_subject_prior,mean_raw_auc,mean_raw_plus_prior_auc
temporal_last25_by_subject,Q_targets,3,0.6835074931898161,0.7003663096884343,0.7223119403618178,0.0168588164986182,0.03880444717200179,0.6073387256355792,0.5947386982270704
temporal_last25_by_subject,S_targets,4,0.6131925863699036,0.7115098484450013,0.6717260908691381,0.0983172620750977,0.0585335044992345,0.5716877189439228,0.6639264866413165
temporal_last25_by_subject,E95_active_axis,4,0.6177742229244766,0.6970434050553843,0.6776551971341065,0.0792691821309078,0.059880974209629984,0.5790075080974901,0.6465484733140084
temporal_last25_by_subject,E95_inactive_axis,3,0.6773986444503856,0.7196549008745902,0.7144064653418599,0.04225625642420472,0.037007820891474474,0.5975790067641562,0.617909382663481
random_within_subject,Q_targets,3,0.639167444414979,0.6567664632106307,0.6470000633157057,0.017599018795651733,0.007832618900726692,0.656168982899972,0.6651906280018541
random_within_subject,S_targets,4,0.5821986656188052,0.6197451538874889,0.5986958336037089,0.03754648826868359,0.01649716798490375,0.6609065971988111,0.695354691807553
random_within_subject,E95_active_axis,4,0.5850649610796497,0.6188858654875281,0.5992487695293582,0.03382090440787841,0.014183808449708457,0.6613503841810596,0.6886978870738252
random_within_subject,E95_inactive_axis,3,0.635345717133853,0.6579121810772449,0.6462628154148401,0.022566463943391974,0.010917098280987081,0.6555772669236407,0.6740663676468245
