strategy,prune_mode,prior_view,component_scope,target_scope,top_n,reverted_cells,all_minus_base,local_delta_vs_e154,local_delta_vs_e155,expected_delta_focus_mean,focus_expected_delta_vs_e154,all_four_health,e161_control_grade,e161_submit,beats_e144_local,beats_e154_readable,public_free_safer_than_e154,relaxed_structural_tol1e12,budget_ok,post101_ok,gate_strict_actionable,post101_p95_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,changed_cells_vs_e154,cos_vs_e154_axis,cos_vs_e144_axis,tag
risk_prune,to_e95,nearest_hard085,all,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,nearest_hard085,inherited,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,nearest_hard085,added,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,nearest_hard085,adjustment,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,focus_mean,all,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,focus_mean,inherited,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,focus_mean,added,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,focus_mean,adjustment,S4,3,3,-1.2106019976365623e-05,5.2029683339505084e-08,-1.7435294628054265e-06,-3.95616461555454e-05,-9.724088142424725e-06,True,True,False,True,False,True,True,True,True,True,-4.282048248215444e-06,-2.859820270717907e-06,3,0.9918592853859375,0.9741462815182709,e161_48547e5b
risk_prune,to_e95,focus_mean,all,Q3,3,3,-1.211141385104586e-05,4.663580865926775e-08,-1.7489233374856639e-06,-3.886279378016654e-05,-9.025235767045863e-06,True,True,False,True,False,True,True,True,True,True,-4.343492743488436e-06,-2.859820270717907e-06,3,0.9914991410870898,0.9741265887774719,e161_9a56c90b
risk_prune,to_e95,focus_mean,inherited,Q3,3,3,-1.211141385104586e-05,4.663580865926775e-08,-1.7489233374856639e-06,-3.886279378016654e-05,-9.025235767045863e-06,True,True,False,True,False,True,True,True,True,True,-4.343492743488436e-06,-2.859820270717907e-06,3,0.9914991410870898,0.9741265887774719,e161_9a56c90b
risk_prune,to_e95,focus_mean,added,Q3,3,3,-1.211141385104586e-05,4.663580865926775e-08,-1.7489233374856639e-06,-3.886279378016654e-05,-9.025235767045863e-06,True,True,False,True,False,True,True,True,True,True,-4.343492743488436e-06,-2.859820270717907e-06,3,0.9914991410870898,0.9741265887774719,e161_9a56c90b
risk_prune,to_e95,focus_mean,adjustment,Q3,3,3,-1.211141385104586e-05,4.663580865926775e-08,-1.7489233374856639e-06,-3.886279378016654e-05,-9.025235767045863e-06,True,True,False,True,False,True,True,True,True,True,-4.343492743488436e-06,-2.859820270717907e-06,3,0.9914991410870898,0.9741265887774719,e161_9a56c90b
