variant,source_variant,source_rule,source_id,policy_family,target_policy,restore_policy,amp,file,basename,move_l1,move_l2,row_l1_p90,changed_rows_vs_e247,changed_cells_vs_e247,source_e360_p90,source_e360_rowloss,source_e360_exposure,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.05_global,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,global,1.05,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_global_e1ef46fc.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_global_e1ef46fc.csv,3.0710325947167663,0.35214548126767725,0.041329852785177895,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.5506040302996307,0.50491291853014,0.46301845092256233,0.15076963094403933,0.15089700650381843,0.049135592622303416,0.9059929600483024,0.2950124859003198,0.0,0.0,0.0005201469424517722,0.00016937200319742753,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.05_no_s3,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,no_s3,1.05,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_no_s3_cc54b3fa.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_no_s3_cc54b3fa.csv,3.071007825814745,0.3521454809196075,0.04132981497085115,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.5506040302996307,0.5049169908540537,0.46301845092256233,0.1507708469612,0.15089700650381843,0.0491359889204402,0.9059929600483024,0.2950148652935916,0.0,0.0,0.0004953780404302593,0.00016130797071441344,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.05_q_heavy,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,q_heavy,1.05,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_q_heavy_85cf7139.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_q_heavy_85cf7139.csv,3.049436564861214,0.34989730008264336,0.04082187031687307,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.5506040302996307,0.5084886985901942,0.46301845092256233,0.15183737752014373,0.15089700650381843,0.049483569601876956,0.8844216990947713,0.29002790524846456,0.0,0.0,0.0004953780404302593,0.00016244903932041788,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.05_s1_heavy,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,s1_heavy,1.05,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_s1_heavy_d3e4c56b.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_s1_heavy_d3e4c56b.csv,3.0349325010193104,0.3478737627067932,0.040946768008600774,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.524760629794637,0.5024034733169622,0.45530147674051963,0.1500202975148878,0.14838205639542146,0.04889138600136442,0.9059929600483024,0.29852161777700686,0.0,0.0,0.0004953780404302593,0.00016322538977848165,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.05_q1s1,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,q1s1,1.05,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_q1s1_71d69522.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_05_q1s1_71d69522.csv,3.0549290876440534,0.3511449970766638,0.04098804583577013,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.5506040302996307,0.5075744758106477,0.4508917772079237,0.14759484239146425,0.14694494204776604,0.04810093387833407,0.9059929600483024,0.296567590950859,0.0,0.0,0.0004953780404302593,0.00016215696869490757,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.12_global,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,global,1.12,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_global_fc2ab9eb.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_global_fc2ab9eb.csv,3.2757681010312174,0.3756218466855224,0.044085176304189753,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.6539776323196063,0.50491291853014,0.49388634765073314,0.1507696309440393,0.16095680693740635,0.049135592622303416,0.9663924907181894,0.2950124859003198,0.0,0.0,0.0005548234052818905,0.00016937200319742753,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.12_no_s3,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,no_s3,1.12,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_no_s3_ba45886b.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_no_s3_ba45886b.csv,3.2757086556663655,0.37562184587562375,0.04408508554980555,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.6539776323196063,0.5049220813513232,0.49388634765073314,0.15077236701023508,0.16095680693740635,0.04913648430210087,0.9663924907181894,0.2950178395891559,0.0,0.0,0.0004953780404302593,0.00015122774718482595,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.12_q_heavy,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,q_heavy,1.12,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_q_heavy_e306ada9.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_q_heavy_e306ada9.csv,3.2239376293778914,0.3702865444380257,0.04238170560066685,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.6539776323196063,0.5130302823627413,0.49388634765073314,0.15319351812213444,0.16095680693740635,0.049925533754344206,0.9146214644297149,0.2836970095498421,0.0,0.0,0.0004953780404302593,0.00015365621093788037,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.12_s1_heavy,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,s1_heavy,1.12,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_s1_heavy_0d170471.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_s1_heavy_0d170471.csv,3.1891278761573254,0.3653998530993151,0.0431796320659055,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.591953471107621,0.49918144800948305,0.4753656096138307,0.14905818395297862,0.1549209266772536,0.04857783465990157,0.9663924907181894,0.30302719998880207,0.0,0.0,0.0004953780404302593,0.0001553333888345534,0.0,0.0
e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1.12_q1s1,e351_robust_center__learned_story_nonmonotone_s1_counter_1273,top_actual,e351_robust_center,story_nonmonotone,s1_counter,q1s1,1.12,analysis_outputs/submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_q1s1_4c529a81.csv,submission_e361_rowaction_amprestore_e351_robust_center__learned_story_nonmonotone_s1_counter_1273__amp1_12_q1s1_4c529a81.csv,3.237119684056707,0.3732564173263978,0.04372039362660254,248,625,-3.5677979943285e-05,0.0005921924527987,0.1464087794783041,1.6539776323196063,0.5109411432841641,0.46478233073560066,0.143578976404463,0.15147185224288062,0.046792169282125054,0.9663924907181894,0.29853468053029214,0.0,0.0,0.0004953780404302593,0.00015303049895562073,0.0,0.0
