candidate_id,basename,source_path,policy_id,split,model,top_frac,train_actual_delta,train_dominance,train_min_mode_dominance,test_available_cells,test_selected_cells,changed_cells_vs_current,l1_logit_delta_vs_current,max_abs_logit_delta_vs_current
mobility_q3_dateblock_oof_hgb_shallow_tf70,submission_e287_rowalign_mobility_q3_dateblock_oof_hgb_shallow_tf70_c4b98b06.csv,analysis_outputs/submission_e287_rowalign_mobility_q3_dateblock_oof_hgb_shallow_tf70_c4b98b06.csv,mobility_q3,dateblock_oof,hgb_shallow,0.7,-0.0002537692965077776,0.9222222222222223,0.8666666666666667,49,34,30,1.9395161371357688,0.09000000000000075
q3_only_subject_oof_lr_l1_tf70,submission_e287_rowalign_q3_only_subject_oof_lr_l1_tf70_5fc12bc2.csv,analysis_outputs/submission_e287_rowalign_q3_only_subject_oof_lr_l1_tf70_5fc12bc2.csv,q3_only,subject_oof,lr_l1,0.7,-0.0009785420193992866,0.9,0.7833333333333333,152,106,80,4.227503457564285,0.09000000000000075
mobility_q3_dateblock_oof_lr_l2_tf70,submission_e287_rowalign_mobility_q3_dateblock_oof_lr_l2_tf70_1c3bd91e.csv,analysis_outputs/submission_e287_rowalign_mobility_q3_dateblock_oof_lr_l2_tf70_1c3bd91e.csv,mobility_q3,dateblock_oof,lr_l2,0.7,-0.00021395032349369458,0.8444444444444444,0.7833333333333333,49,34,30,1.9761138358818506,0.09000000000000075
