state_frac,state_units,teacher_mass,q1q3_units,q2s3_units,profile
0.1,26,0.3326979987385304,19,2,"Q1:9,Q3:10,S2:1,S3:2,S4:4"
0.15,38,0.43353460033793456,25,4,"Q1:10,Q3:15,S2:4,S3:4,S4:5"
0.2,51,0.4924246965296653,30,9,"Q1:13,Q2:2,Q3:17,S2:5,S3:7,S4:7"
0.3,76,0.6071025041035298,42,14,"Q1:16,Q2:5,Q3:26,S1:3,S2:8,S3:9,S4:9"
