model_split,gate,scale,selected_rows_sub,expected_focus,adverse_delta,support_delta,total_swing,support_prob_focus_weighted,top1_swing_share,adverse_over_observed_miss,submission_gate_pass,submission_score,spec_rank,view,model,split,target_kind,tail_q,policy,e234_tail_auc,e234_loss_vs_full,e234_target_delta,e234_subject_win_rate,sub_dropped_rows,sub_kept_rows,sub_mean_prob,sub_p10_prob,sub_p50_prob,sub_p90_prob,tag,joint_gate_pass,joint_score,submission_file
hgb_shallow__stratified5__risk0.20,drop_risk_p15,0.35,212,-0.0001222786632662689,0.0021353775395795433,-0.002514410956509697,0.00464978849608924,0.4855395476040772,0.013187655944053528,2.1457220656580533,False,-0.027529371714546925,0,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p15,0.862392482169641,-0.0026536267767958,-0.0070240514742517,0.9,38,212,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_00_risk_drop_risk_p15_hgb_shallow_stratified5,False,-0.026142558326149024,
hgb_shallow__stratified5__risk0.20,drop_risk_p15,0.5,212,-0.00016127444003090612,0.003063948706891683,-0.003578606287521517,0.0066425549944132,0.4855395476040773,0.013187655944053304,3.07879156100726,False,-0.05043168468323332,0,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p15,0.862392482169641,-0.0026536267767958,-0.0070240514742517,0.9,38,212,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_00_risk_drop_risk_p15_hgb_shallow_stratified5,False,-0.049044871294835424,
hgb_shallow__stratified5__risk0.20,drop_risk_p15,0.75,212,-0.0002083045757977108,0.004629530144586174,-0.005334302347033628,0.009963832491619803,0.4855395476040773,0.013187655944053224,4.651957230393844,False,-0.08919497953946116,0,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p15,0.862392482169641,-0.0026536267767958,-0.0070240514742517,0.9,38,212,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_00_risk_drop_risk_p15_hgb_shallow_stratified5,False,-0.08780816615106327,
hgb_shallow__subject5__risk0.20,drop_risk_top50,0.35,200,-8.971524841245635e-05,0.0019468500982884563,-0.0022976738499243176,0.004244523948212774,0.4798100732965452,0.014446805259483267,1.956281330583173,False,-0.02307694483096334,1,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top50,0.8487573473038588,-0.0021408469313447,-0.0065112716288007,0.8,50,200,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_01_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.02196652136529099,
hgb_shallow__subject5__risk0.20,drop_risk_top50,0.5,200,-0.0001165334104834087,0.002792845656232182,-0.003270759984071782,0.006063605640303964,0.47981007329654524,0.014446805259483018,2.8063751910280925,False,-0.044012288482988854,1,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top50,0.8487573473038588,-0.0021408469313447,-0.0065112716288007,0.8,50,200,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_01_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.04290186501731651,
hgb_shallow__subject5__risk0.20,drop_risk_top50,0.75,200,-0.0001456438448724794,0.004218424755200907,-0.0048769837052550415,0.009095408460455949,0.47981007329654535,0.01444680525948293,4.238860300710579,False,-0.07941888248209442,1,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top50,0.8487573473038588,-0.0021408469313447,-0.0065112716288007,0.8,50,200,0.18836127827142754,0.017430925415549674,0.06848960959962702,0.5051052728948063,e234_01_risk_drop_risk_top50_hgb_shallow_subject5,False,-0.07830845901642207,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.35,212,-0.00014925710135692583,0.002075559652717141,-0.002651878942554275,0.004727438595271416,0.4706178005779752,0.012971043338432285,2.085614399738253,False,-0.025818053715740488,2,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_02_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.024740253983622437,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.5,212,-0.0001996113371249249,0.002978698311552314,-0.00377478539597828,0.006753483707530594,0.4706178005779754,0.012971043338432065,2.993128182520206,False,-0.047993686300475825,2,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_02_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.046915886568357774,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.75,212,-0.0002652209366626162,0.004502243536353243,-0.005627982024942649,0.010130225561295891,0.47061780057797536,0.01297104333843199,4.524054000690514,False,-0.08555744012419751,2,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103367,0.004967722679348696,0.08168922308427647,0.8036452283361459,e234_02_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.08447964039207946,
lr_l2_c0p10__stratified5__risk0.20,drop_risk_p15,0.35,212,-0.00014925710135692583,0.002075559652717141,-0.002651878942554275,0.004727438595271416,0.4706178005779752,0.012971043338432285,2.085614399738253,False,-0.025818053715740488,3,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,-0.0020355994642361,-0.0064060241616921,0.9,38,212,0.2616338668103358,0.004967722679348221,0.08168922308430504,0.803645228336138,e234_03_risk_drop_risk_p15_lr_l2_c0p10_stratified5,False,-0.024740253983622437,
