family,candidates,best_actual_anchor_score,median_actual_anchor_score,best_posterior,best_raw_delta,median_bad_axis,best_mean_abs_move
jepa_public_minimax_bridge,36,0.5778293722696886,0.5778336784899503,0.5768032401283422,-8.307731833755639e-08,0.0034624544550090498,0.0013956344633327
jepa_bridge_ensemble,36,0.5778413970173716,0.5778419250765852,0.5768471605951628,-3.267917881566158e-07,0.0029044421186228,0.0013864222069355
jepa_micro_bridge_ensemble,50,0.5778425182663525,0.5778428444947137,0.5768632563940596,-1.8505281256761845e-07,0.002068735804192,0.0015277369522011
jepa_block_consensus_rawcorr_micro,50,0.577842546162366,0.5778427802997685,0.5768636195750929,-3.516741500265985e-08,0.00202980478558105,0.0016287377065564
jepa_block_consensus_rawcorr_refine,36,0.5778431741809165,0.5778437196155904,0.5768472862135502,-1.0470958556268268e-07,0.0020101940036414,0.0015545634045704
jepa_block_consensus_rawcorr,36,0.577843874969132,0.5778452235442175,0.576840617681144,-2.978401846192116e-07,0.0016657743744072002,0.0016312324117619
jepa_block_consensus_gate,28,0.5778453390904544,0.5778455269371128,0.5768295223006333,8.197989618771198e-08,0.0022585904965515,0.0014215772867566
jepa_bridge_posteriorreg,35,0.5778463744079559,0.5778482526597112,0.5768301382474039,-6.377692919908419e-07,0.0022951940957623,0.0014363054094845
blockscale_jepa_neutral_pareto03_rt_same_ridge_full_a24_blend0p1_noq2_w0p02,1,0.5778717784153664,0.5778717784153664,0.576206047400879,2.223177952000101e-05,-0.0002340732365081,0.0021353064549553
blockscale_jepa_neutral_pareto03_rt_bc_nb_sg_same_ridge_full_a24_blend0p1_noq2_w0p02,1,0.5778721043942805,0.5778721043942805,0.5761952017792207,2.1439704973454012e-05,0.0012059463662814,0.0021078626664327
hiddenblock_seqmotif_neutral,2,0.5778851388592798,0.577885411885702,0.5771754972606531,-1.855371687550572e-06,0.0054694210557279,0.0011684153085645
jepa_public_blockentropy,2,0.5778924636314113,0.5778927047353902,0.5766769031131003,-2.595806935974947e-07,0.001209209716403,0.0013761124392403
