role,outcome,candidate_id,label,family,selector,graft_alpha,selected_cells,e101_pass,prior_healthier_than_e101,n_scenarios,mean_vs_e95,p50_vs_e95,p95_vs_e95,beat_e95_rate,mean_vs_e101,p50_vs_e101,p95_vs_e101,beat_e101_rate,is_e95,is_e101,rank_vs_e95,rank_vs_e101,risk_posture
if_e101win_risk_amp050,strong_win_5e_minus5,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,240,-7.18596569290687e-05,-7.101011071016558e-05,-6.534497166501062e-05,1.0,-3.3448123037319064e-05,-3.301437147056626e-05,-3.0270217767394933e-05,1.0,False,False,1.0,1.0,risk_tolerant_top_conditional
if_e101win_risk_amp050,e95_edge_win,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,841,-2.749795581963546e-05,-2.7134129892759595e-05,-2.1294284576446287e-05,1.0,-1.2555821454351136e-05,-1.2402099080266052e-05,-9.546124060927682e-06,1.0,False,False,1.0,1.0,risk_tolerant_top_conditional
if_e101win_risk_amp050,small_win_5e_minus6,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,742,-9.397860401378084e-06,-9.413614061767236e-06,-4.1012592532553376e-06,1.0,-4.165340655080201e-06,-4.256817557450895e-06,-1.4591717452776365e-06,0.9973045822102424,False,False,1.0,1.0,risk_tolerant_top_conditional
if_e101win_risk_amp050,tie,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,305,-1.703353763894816e-06,-2.1067564773927813e-06,1.946585330796956e-06,0.7508196721311475,-4.854738328725825e-07,-6.693127233740245e-07,1.5879678717104871e-06,0.6852459016393443,False,False,1.0,1.0,risk_tolerant_top_conditional
if_e101win_risk_amp050,small_loss_1e_minus5,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,240,-9.370121346915816e-07,-1.258894243493286e-06,2.32096380006769e-06,0.6833333333333333,-1.160819436472344e-07,-2.899863398368934e-07,1.8487214779360104e-06,0.6083333333333333,False,False,37.0,37.0,risk_tolerant_top_conditional
if_e101win_risk_amp050,large_loss_4e_minus5,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,active_all,0.5,50.0,False,False,240,-9.370121346915816e-07,-1.258894243493286e-06,2.32096380006769e-06,0.6833333333333333,-1.160819436472344e-07,-2.899863398368934e-07,1.8487214779360104e-06,0.6083333333333333,False,False,37.0,37.0,risk_tolerant_top_conditional
if_e101win_strict_amp038,strong_win_5e_minus5,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,240,-5.650086614733284e-05,-5.587506659330492e-05,-5.151279129915853e-05,1.0,-1.8089332255583217e-05,-1.7872788705436106e-05,-1.6405269456755583e-05,1.0,False,False,55.0,55.0,strict_e101_pass_conservative
if_e101win_strict_amp038,e95_edge_win,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,841,-2.1806058472084255e-05,-2.1467491883012897e-05,-1.6918854977805428e-05,1.0,-6.863924106799931e-06,-6.759231267372258e-06,-5.292829066129208e-06,1.0,False,False,54.0,54.0,strict_e101_pass_conservative
if_e101win_strict_amp038,small_win_5e_minus6,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,742,-7.548284140159399e-06,-7.69312743250178e-06,-3.4630870734271404e-06,1.0,-2.3157643938615153e-06,-2.3467941683857788e-06,-9.53804572327154e-07,1.0,False,False,49.0,49.0,strict_e101_pass_conservative
if_e101win_strict_amp038,tie,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,305,-1.5733225334398944e-06,-1.8677506253545376e-06,1.2012901401398162e-06,0.7836065573770492,-3.55442602417661e-07,-4.355851385370483e-07,6.795292666520416e-07,0.7344262295081967,False,False,25.0,25.0,strict_e101_pass_conservative
if_e101win_strict_amp038,small_loss_1e_minus5,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,240,-9.80438334813245e-07,-1.2176717785541087e-06,1.3013567684026314e-06,0.725,-1.5950814376889788e-07,-2.542635374987216e-07,7.44950073877891e-07,0.6625,False,False,7.0,7.0,strict_e101_pass_conservative
if_e101win_strict_amp038,large_loss_4e_minus5,c0233,e104_amp_active_all_a0.380_64514c53,e104_amp,active_all,0.38,50.0,True,False,240,-9.80438334813245e-07,-1.2176717785541087e-06,1.3013567684026314e-06,0.725,-1.5950814376889788e-07,-2.542635374987216e-07,7.44950073877891e-07,0.6625,False,False,7.0,7.0,strict_e101_pass_conservative
