pair,target,n_cells,n_rows,expected_delta_focus_mean,swing_sum,top1_swing,support_prob_swing_weighted,e72_active_rate,mean_safe_density
e174_vs_e172_full_reopen,S3,25,25,-3.233654964383819e-06,2.697783187428864e-05,1.9886344419411157e-06,0.3112288848789427,0.04,0.18369363457567955
e174_vs_e172_full_reopen,Q2,21,21,-2.953194944629531e-06,1.8107520993420644e-05,2.496133173320663e-06,0.504005846517048,0.0,0.1848158755156593
e174_vs_e172_full_reopen,S2,11,11,-2.6816570008474624e-06,1.5983660795652465e-05,2.9962304040837944e-06,0.4376565185071043,0.18181818181818182,0.4253419154647609
e174_vs_e172_full_reopen,S1,7,7,-1.4705083696106205e-06,1.1819143489295422e-05,2.378183387392263e-06,0.32231530636904504,0.0,0.4210136533641106
e174_vs_e172_full_reopen,Q1,5,5,-8.332647072314478e-07,3.626008932649749e-06,1.292700249028167e-06,0.49082209622992184,0.4,0.4498893092344128
e174_vs_e172_full_reopen,Q3,4,4,-4.1437969397486767e-07,3.3838180182395676e-06,1.605108824034878e-06,0.4627278055534839,0.25,0.42259798464061327
e174_vs_e172_full_reopen,S4,2,2,-8.517275680801815e-08,5.586849643733111e-07,5.08472908859327e-07,0.44,0.0,0.4210136533641106
e176_vs_e172_q2_underopen_reopen,S3,25,25,-3.233654964383819e-06,2.697783187428864e-05,1.9886344419411157e-06,0.3112288848789427,0.04,0.18369363457567955
e176_vs_e172_q2_underopen_reopen,S2,11,11,-2.6816570008474624e-06,1.5983660795652465e-05,2.9962304040837944e-06,0.4376565185071043,0.18181818181818182,0.4253419154647609
e176_vs_e172_q2_underopen_reopen,Q2,21,21,-1.969875287586492e-06,1.2071680662280735e-05,1.6640887822139604e-06,0.5040058465170453,0.0,0.1848158755156593
e176_vs_e172_q2_underopen_reopen,S1,7,7,-1.4705083696106205e-06,1.1819143489295422e-05,2.378183387392263e-06,0.32231530636904504,0.0,0.4210136533641106
e176_vs_e172_q2_underopen_reopen,Q1,5,5,-8.332647072314478e-07,3.626008932649749e-06,1.292700249028167e-06,0.49082209622992184,0.4,0.4498893092344128
e176_vs_e172_q2_underopen_reopen,Q3,4,4,-4.1437969397486767e-07,3.3838180182395676e-06,1.605108824034878e-06,0.4627278055534839,0.25,0.42259798464061327
e176_vs_e172_q2_underopen_reopen,S4,2,2,-8.517275680801815e-08,5.586849643733111e-07,5.08472908859327e-07,0.44,0.0,0.4210136533641106
e176_vs_e174_q2_damping,Q2,21,21,9.83319657043038e-07,6.0358403311399076e-06,8.320443911067027e-07,0.4959941534829467,0.0,0.1848158755156593
e176_vs_e95_full_move,S3,168,168,-2.511040682620022e-05,0.00014084438993216367,3.935892347215614e-06,0.3662438495768163,0.05357142857142857,0.1788042348872494
e176_vs_e95_full_move,S1,95,95,-2.340331501039237e-05,0.00013220293663076046,5.831957756260338e-06,0.35824776602102976,0.5368421052631579,0.4551041700079057
e176_vs_e95_full_move,S4,116,116,-1.8135608918891402e-05,0.0001090889610930585,4.431570249905037e-06,0.48968018979660244,0.3448275862068966,0.435114405110009
e176_vs_e95_full_move,Q1,121,121,-1.7963840966473797e-05,0.00010183629179868693,3.7916903077560728e-06,0.4810933272076222,0.3884297520661157,0.43313783298863556
e176_vs_e95_full_move,Q2,165,165,-1.4980750493332062e-05,0.00013462848296126706,3.3593900683171397e-06,0.5369739810012105,0.006060606060606061,0.18409262988253353
e176_vs_e95_full_move,S2,122,122,-1.3685569714075634e-05,0.0001083986978618506,3.994973872111499e-06,0.45615354715594436,0.39344262295081966,0.4530146132698209
e176_vs_e95_full_move,Q3,117,117,-1.0104242626954759e-05,9.59145782539582e-05,4.561672802748853e-06,0.5934985942075861,0.4017094017094017,0.43692267771471427
