keep_targets,selection_mode,aggregator,shrink,rows,evaluated,strict,deployable,loose,max_unique_source_files,best_all_delta,best_inverse_top_delta,best_raw05_delta,best_all_sign_delta,best_hidden_q2s3,best_world,best_raw_energy
"Q2,S1,S2,S3",seed_rank,mean,1.25,6,6,6,6,6,18,-2.7705869828476004e-05,-8.068479578460241e-06,-3.533869208549589e-05,-4.086891418064731e-05,-0.0004556509654675134,-0.00038958848972801553,-0.00023559074168300054
"Q2,S1,S2,S3",top,mean,1.25,6,6,6,6,6,18,-2.7705869828476004e-05,-8.068479578460241e-06,-3.533869208549589e-05,-4.086891418064731e-05,-0.0004556509654675134,-0.00038958848972801553,-0.00023559074168300054
"Q2,S1,S2,S3",seed_rank,trim20,1.25,6,6,6,6,6,18,-2.764144183131645e-05,-8.084971685695663e-06,-3.5253197926632396e-05,-4.0868208916244875e-05,-0.000462124011251612,-0.0004003718582456406,-0.00024427497305223866
"Q2,S1,S2,S3",top,trim20,1.25,6,6,6,6,6,18,-2.764144183131645e-05,-8.084971685695663e-06,-3.5253197926632396e-05,-4.0868208916244875e-05,-0.000462124011251612,-0.0004003718582456406,-0.00024427497305223866
"S1,S2,S3",seed_rank,mean,1.25,6,6,6,6,6,18,-2.701007518568499e-05,-7.869093959445017e-06,-3.440979604640848e-05,-4.001397877428925e-05,-0.0002653280601060265,-0.00017317976106855925,-6.31481847294113e-05
"S1,S2,S3",seed_rank,trim20,1.25,6,6,6,6,6,18,-2.701007518568499e-05,-7.91445563397275e-06,-3.4348628721536656e-05,-3.995750488416938e-05,-0.0002653280601060265,-0.0001749167024988063,-6.516166490633246e-05
"S1,S2,S3",top,mean,1.25,6,6,6,6,6,18,-2.701007518568499e-05,-7.869093959445017e-06,-3.440979604640848e-05,-4.001397877428925e-05,-0.0002653280601060265,-0.00017317976106855925,-6.31481847294113e-05
"S1,S2,S3",top,trim20,1.25,6,6,6,6,6,18,-2.701007518568499e-05,-7.91445563397275e-06,-3.4348628721536656e-05,-3.995750488416938e-05,-0.0002653280601060265,-0.0001749167024988063,-6.516166490633246e-05
"S1,S2,S3",seed_rank,median,1.25,6,6,6,6,6,18,-2.7009943634470623e-05,-8.009345222492747e-06,-3.4446479563965404e-05,-4.017167534031696e-05,-0.0002653280601060265,-0.00017874698423627766,-6.973448231328838e-05
"S1,S2,S3",top,median,1.25,6,6,6,6,6,18,-2.7009943634470623e-05,-8.009345222492747e-06,-3.4446479563965404e-05,-4.017167534031696e-05,-0.0002653280601060265,-0.00017874698423627766,-6.973448231328838e-05
