decoder,state_scope,safety_scope,overlap_kind,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure,best_changed_cells
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,hard,sqrt,12,10,0,4,0,0,-1.8632937903939606e-05,-3.517421055960438e-05,-7.427878651141244e-06,0.0007799236374699872,108
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,state_soft,sqrt,12,10,0,4,0,0,-1.844700217856765e-05,-3.5023181976849774e-05,-7.35375679166342e-06,0.0007799236374699872,108
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,hard,sign,12,6,0,4,0,0,-1.5227412997531609e-05,-3.182475184452923e-05,-6.070292108501052e-06,0.0007799236374699872,108
pair_inverse_top__raw05_compatible_min,all,veto_null_nonq2s3,state_soft,sign,12,6,0,4,0,0,-1.5227412997531609e-05,-3.182475184452923e-05,-6.070292108501052e-06,0.0007799236374699872,108
pair_inverse_top__all_sign_min,all,veto_null,hard,sign,12,10,0,3,0,0,-1.634964692254215e-05,-4.150641739472604e-05,-5.925951460409046e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,all,veto_null,state_soft,sign,12,10,0,3,0,0,-1.634964692254215e-05,-4.150641739472604e-05,-5.925951460409046e-06,0.0007888419624421478,142
pair_raw05_compatible__all_sign_min,all,veto_null,hard,sqrt,12,9,0,3,0,0,-1.2787230389443849e-05,-3.678486824591335e-05,-9.561262313987758e-06,0.0007889140929277224,127
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,hard,sqrt,12,9,0,3,0,0,-1.2771471564532177e-05,-3.672684818001909e-05,-9.645824920181495e-06,0.0007889140929277224,124
pair_raw05_compatible__all_sign_min,all,veto_null,state_soft,sqrt,12,9,0,3,0,0,-1.2627908789641928e-05,-3.627105701411149e-05,-9.339736668132064e-06,0.0007889140929277224,127
pair_raw05_compatible__all_sign_min,all,veto_null_nonactive,state_soft,sqrt,12,9,0,3,0,0,-1.2623258666355497e-05,-3.6210503746031515e-05,-9.424156501550429e-06,0.0007889140929277224,124
