context,mask_name,overlap_kind,state_mask,state_kind,state_scope,state_frac,safety_mask,safety_scope,safety_top_q,selected_cells,selected_rows,selected_q2s3_cells,selected_s_cells,mean_state,mean_weight
all,state_top30_non_q2s3_hard__low_adverse75_top50__state_soft,state_soft,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_top50,low_adverse75,0.5,188,125,0,58,0.8067313505086473,0.8067313505086473
all,state_top30_non_q2s3_hard__low_adverse75_top70__hard,hard,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_top70,low_adverse75,0.7,127,99,0,33,0.80976280368345,1.0
all,state_top30_non_q2s3_hard__low_adverse75_top70__state_soft,state_soft,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_top70,low_adverse75,0.7,127,99,0,33,0.80976280368345,0.80976280368345
all,state_top30_non_q2s3_hard__low_adverse75_nonactive_top50__hard,hard,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_nonactive_top50,low_adverse75_nonactive,0.5,187,124,0,58,0.8068029547231086,1.0
all,state_top30_non_q2s3_hard__low_adverse75_nonactive_top50__state_soft,state_soft,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_nonactive_top50,low_adverse75_nonactive,0.5,187,124,0,58,0.8068029547231086,0.8068029547231086
all,state_top30_non_q2s3_hard__low_adverse75_nonactive_top70__hard,hard,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,123,98,0,30,0.8122607276853013,1.0
all,state_top30_non_q2s3_hard__low_adverse75_nonactive_top70__state_soft,state_soft,state_top30_non_q2s3_hard,hard,non_q2s3,0.3,low_adverse75_nonactive_top70,low_adverse75_nonactive,0.7,123,98,0,30,0.8122607276853013,0.8122607276853013
raw05_compatible,state_top20_all_hard__veto_null_top50__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_top50,veto_null,0.5,135,90,10,31,0.8385055948733754,1.0
raw05_compatible,state_top20_all_hard__veto_null_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_top50,veto_null,0.5,135,90,10,31,0.8385055948733754,0.8385055948733754
raw05_compatible,state_top20_all_hard__veto_null_top70__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_top70,veto_null,0.7,96,71,8,24,0.8363691237610311,1.0
raw05_compatible,state_top20_all_hard__veto_null_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_top70,veto_null,0.7,96,71,8,24,0.8363691237610311,0.8363691237610311
raw05_compatible,state_top20_all_hard__veto_null_nonactive_top50__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_nonactive_top50,veto_null_nonactive,0.5,134,90,10,31,0.8381506940430462,1.0
raw05_compatible,state_top20_all_hard__veto_null_nonactive_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_nonactive_top50,veto_null_nonactive,0.5,134,90,10,31,0.8381506940430462,0.8381506940430462
raw05_compatible,state_top20_all_hard__veto_null_nonactive_top70__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_nonactive_top70,veto_null_nonactive,0.7,95,70,8,24,0.8360021744174665,1.0
raw05_compatible,state_top20_all_hard__veto_null_nonactive_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_nonactive_top70,veto_null_nonactive,0.7,95,70,8,24,0.8360021744174665,0.8360021744174665
raw05_compatible,state_top20_all_hard__veto_null_nonq2s3_top50__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_nonq2s3_top50,veto_null_nonq2s3,0.5,119,87,0,20,0.8457852132319689,1.0
raw05_compatible,state_top20_all_hard__veto_null_nonq2s3_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_nonq2s3_top50,veto_null_nonq2s3,0.5,119,87,0,20,0.8457852132319689,0.8457852132319689
raw05_compatible,state_top20_all_hard__veto_null_nonq2s3_top70__hard,hard,state_top20_all_hard,hard,all,0.2,veto_null_nonq2s3_top70,veto_null_nonq2s3,0.7,81,63,0,16,0.8434299053869022,1.0
raw05_compatible,state_top20_all_hard__veto_null_nonq2s3_top70__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,veto_null_nonq2s3_top70,veto_null_nonq2s3,0.7,81,63,0,16,0.8434299053869022,0.8434299053869022
raw05_compatible,state_top20_all_hard__low_adverse75_top50__hard,hard,state_top20_all_hard,hard,all,0.2,low_adverse75_top50,low_adverse75,0.5,141,93,11,33,0.8403460421007922,1.0
raw05_compatible,state_top20_all_hard__low_adverse75_top50__state_soft,state_soft,state_top20_all_hard,hard,all,0.2,low_adverse75_top50,low_adverse75,0.5,141,93,11,33,0.8403460421007922,0.8403460421007922
