candidate_name,policy,fold_kind,n_folds,cv_delta_mean,cv_delta_p10,cv_delta_p50,cv_delta_p90,cv_delta_worst,cv_win_rate,selector_abs_error_mean,selector_abs_error_p90,candidate_index,actual_anchor_mean__inverse_top,actual_anchor_score__inverse_top,actual_anchor_std__inverse_top,actual_anchor_mean__raw05_compatible,actual_anchor_score__raw05_compatible,actual_anchor_std__raw05_compatible,actual_anchor_mean__all_sign,actual_anchor_score__all_sign,actual_anchor_std__all_sign,actual_anchor_score_final,mean_actual_anchor,min_set_score,max_set_score,name,file,source_name_x,source_file_x,variant_x,target_mask,scale_x,delta_cap,active_cells_x,active_rows_x,mean_active_energy_x,p10_active_energy,mean_abs_move_vs_a2c8_x,max_abs_move_vs_a2c8_x,robust_expected_public,robust_delta_vs_a2c8,robust_p10_delta_vs_a2c8,robust_p50_delta_vs_a2c8,robust_p90_delta_vs_a2c8,robust_worst_delta_vs_a2c8,robust_win_rate_vs_a2c8,mean_abs_move_vs_a2c8_y,max_abs_move_vs_a2c8_y,mean_abs_move_vs_raw05,logit_cosine_to_a2c8_move,logit_orth_ratio_to_a2c8_move,best_case_gain_vs_raw05_if_all_correct,mean_abs_move_vs_a2c8,max_abs_move_vs_a2c8,selection_proxy,cv_stability_score,source_name_y,source_file_y,variant_y,scale_y,active_cells_y,active_rows_y,mean_active_energy_y
targetabl_357a1ed9,low_error_best5,l2o,15,-0.0008645850140616067,-0.001117250514835355,-0.0010031542146187178,-0.0004878992334062638,-0.00042686150867277117,1.0,0.0004199861533892457,0.001037445570604875,37,0.5770451812820704,0.5771216498189786,8.618699971424077e-05,0.5777508217570719,0.5781002551438578,0.0005871283220638475,0.578154087994371,0.5782323094603188,0.00015600407180468886,0.577818071474385,0.5776500303445045,0.5771216498189786,0.5782323094603188,targetabl_357a1ed9,submission_targetabl_357a1ed9.csv,f465_actual_best,submission_sparsejepa_f4657144.csv,all,all,1.75,0.24,1256.0,250.0,1.146752178998714,0.45126459488564136,0.010801165246585628,0.02624396359355813,0.5759947329979276,-0.0014446122250451239,-0.0016243225782253345,-0.0014691886745915594,-0.0012762126692834608,-0.0007520940850631597,1.0,0.010801165246585628,0.02624396359355813,0.01147694208448058,0.30227926630095997,0.9532194108202754,0.0310729028968263,0.010801165246585628,0.02624396359355813,-0.002794757880868327,-0.0012805877833837575,f465_actual_best,submission_sparsejepa_f4657144.csv,all,1.75,1256.0,250.0,1.146752178998714
targetabl_00e2e9b7,low_error_best5,l2o,15,-0.0008599897315126004,-0.0011166888427966981,-0.000996702734378907,-0.0004684832517250826,-0.00039537519140731003,1.0,0.0004199861533892457,0.001037445570604875,31,0.5770695313609965,0.5771514558257251,9.250187255256578e-05,0.5778149610334037,0.578179881773762,0.0006108161527070628,0.5782360342485743,0.5783228420370207,0.00017318114031927796,0.5778847265455026,0.5777068422143249,0.5771514558257251,0.5783228420370207,targetabl_00e2e9b7,submission_targetabl_00e2e9b7.csv,3cf_noq2_safe,submission_sparsejepa_3cfdf64a.csv,no_q2,no_q2,2.0,0.24,1132.0,250.0,1.1823632311752297,0.4564439783783937,0.011028360040316898,0.029990839505895817,0.5759602706521487,-0.001479074570823727,-0.0016998613876046064,-0.001516605691867401,-0.0013375012264361663,-0.0007236159657237895,1.0,0.011028360040316898,0.029990839505895817,0.011710236617039784,0.29246647445433016,0.9562757768134955,0.03208692542300067,0.011028360040316898,0.029990839505895817,-0.0028576195758633393,-0.0012759925008347514,3cf_noq2_safe,submission_sparsejepa_3cfdf64a.csv,no_q2,2.0,1132.0,250.0,1.1823632311752297
targetabl_193facd0,low_error_best5,l2o,15,-0.0008599897315126004,-0.0011166888427966981,-0.000996702734378907,-0.0004684832517250826,-0.00039537519140731003,1.0,0.0004199861533892457,0.001037445570604875,28,0.5770695313609965,0.5771514558257251,9.250187255256578e-05,0.5778149610334037,0.578179881773762,0.0006108161527070628,0.5782360342485743,0.5783228420370207,0.00017318114031927796,0.5778847265455026,0.5777068422143249,0.5771514558257251,0.5783228420370207,targetabl_193facd0,submission_targetabl_193facd0.csv,f465_actual_best,submission_sparsejepa_f4657144.csv,no_q2,no_q2,2.0,0.24,1132.0,250.0,1.1823632311752297,0.4564439783783937,0.011028360040316898,0.029990839505895817,0.5759602706521487,-0.001479074570823727,-0.0016998613876046064,-0.001516605691867401,-0.0013375012264361663,-0.0007236159657237895,1.0,0.011028360040316898,0.029990839505895817,0.011710236617039784,0.29246647445433016,0.9562757768134955,0.03208692542300067,0.011028360040316898,0.029990839505895817,-0.0028576195758633393,-0.0012759925008347514,f465_actual_best,submission_sparsejepa_f4657144.csv,no_q2,2.0,1132.0,250.0,1.1823632311752297
targetabl_762bb880,low_error_best5,l2o,15,-0.0008598775158638568,-0.0011223589878986084,-0.001003834813968485,-0.0004648172482675906,-0.0003999594558949937,1.0,0.0004199861533892457,0.001037445570604875,22,0.5770503958474995,0.577127954301549,8.633533293760727e-05,0.5778039122634179,0.5781713895768894,0.0006193158589203998,0.5782306267184201,0.5783117954467292,0.00016254288641114983,0.5778703797750558,0.5776949782764459,0.577127954301549,0.5783117954467292,targetabl_762bb880,submission_targetabl_762bb880.csv,282_consensus_directrob,submission_sparsejepa_282e9546.csv,all,all,1.75,0.24,1256.0,250.0,1.146752178998714,0.45126459488564136,0.011864306861553918,0.02624396359355813,0.5759702015379214,-0.0014691436850512306,-0.0016506563337224112,-0.001489343696163048,-0.0013121496948121259,-0.0007557204309298626,1.0,0.011864306861553918,0.02624396359355813,0.012540083699448869,0.29364946682954496,0.9559131710729398,0.03368112315727859,0.011864306861553918,0.02624396359355813,-0.0029521820427454706,-0.0012758802851860077,282_consensus_directrob,submission_sparsejepa_282e9546.csv,all,1.75,1256.0,250.0,1.146752178998714
targetabl_a5bc331f,low_error_best5,l2o,15,-0.0008494474790629555,-0.0011218282167910986,-0.0010055978871782445,-0.0004338972004633846,-0.00035880754500605683,1.0,0.0004199861533892457,0.001037445570604875,34,0.5770773662624584,0.5771553339705364,8.919581959827513e-05,0.5778229098938634,0.5781883642841144,0.0006168954959176266,0.578240208571281,0.5783256038206884,0.0001691797130158726,0.5778897673584464,0.577713494909201,0.5771553339705364,0.5783256038206884,targetabl_a5bc331f,submission_targetabl_a5bc331f.csv,f465_actual_best,submission_sparsejepa_f4657144.csv,no_s4,no_s4,2.0,0.24,1107.0,250.0,1.1773278000357632,0.45904599524031514,0.011054255690152458,0.029990839505895817,0.5759727142432902,-0.0014666309796822308,-0.001650889020190327,-0.001485436502098092,-0.0013131976887519991,-0.0007626658221449034,1.0,0.011054255690152458,0.029990839505895817,0.011905511936654208,0.2884859761766038,0.9574841207818707,0.0327039852288054,0.011054255690152458,0.029990839505895817,-0.002848412940951288,-0.0012654502483851063,f465_actual_best,submission_sparsejepa_f4657144.csv,no_s4,2.0,1107.0,250.0,1.1773278000357632
targetabl_266f6174,low_error_best5,l2o,15,-0.0008448974806481398,-0.0010965395455778237,-0.0009731326498941817,-0.0004697582917261079,-0.00040259537922848754,1.0,0.0004199861533892457,0.001037445570604875,44,0.5770873615959424,0.5771692361571702,9.27707002041414e-05,0.5778043408640534,0.5781564618157218,0.0005887567507964613,0.5782096755351331,0.5782939694096841,0.00016735877706224278,0.5778732224608586,0.5777004593317097,0.5771692361571702,0.5782939694096841,targetabl_266f6174,submission_targetabl_266f6174.csv,f43_cv_best,submission_sparsejepa_f43ea825.csv,q1_q3_stage,q1_q3_stage,1.5,0.24,930.0,248.0,1.3419461799758043,0.6441693763679492,0.009950684576982359,0.029990839505895928,0.5759971894072533,-0.0014421558157192622,-0.0016481064346739681,-0.0014793269400672493,-0.0012903591596715503,-0.0007026495161781554,1.0,0.009950684576982359,0.029990839505895928,0.010855083630956247,0.2967274014481302,0.9549622239805304,0.029629405004892556,0.009950684576982359,0.029990839505895928,-0.002685991387842057,-0.0012609002499702907,f43_cv_best,submission_sparsejepa_f43ea825.csv,q1_q3_stage,1.5,930.0,248.0,1.3419461799758043
targetabl_25970ebd,low_error_best5,l2o,15,-0.0008448974806481398,-0.0010965395455778237,-0.0009731326498941817,-0.0004697582917261079,-0.00040259537922848754,1.0,0.0004199861533892457,0.001037445570604875,43,0.5770873615959424,0.5771692361571702,9.27707002041414e-05,0.5778043408640534,0.5781564618157218,0.0005887567507964613,0.5782096755351331,0.5782939694096841,0.00016735877706224278,0.5778732224608586,0.5777004593317097,0.5771692361571702,0.5782939694096841,targetabl_25970ebd,submission_targetabl_25970ebd.csv,f43_cv_best,submission_sparsejepa_f43ea825.csv,no_q2,no_q2,1.5,0.24,930.0,248.0,1.3419461799758043,0.6441693763679492,0.009950684576982359,0.029990839505895928,0.5759971894072533,-0.0014421558157192622,-0.0016481064346739681,-0.0014793269400672493,-0.0012903591596715503,-0.0007026495161781554,1.0,0.009950684576982359,0.029990839505895928,0.010855083630956247,0.2967274014481302,0.9549622239805304,0.029629405004892556,0.009950684576982359,0.029990839505895928,-0.002685991387842057,-0.0012609002499702907,f43_cv_best,submission_sparsejepa_f43ea825.csv,no_q2,1.5,930.0,248.0,1.3419461799758043
targetabl_61882c45,low_error_best5,l2o,15,-0.000839185073259278,-0.0010801990409081696,-0.0009691229875994356,-0.00048425588822429425,-0.000428982498909547,1.0,0.0004199861533892457,0.001037445570604875,55,0.5770766957603839,0.5771543643510211,8.642130602483783e-05,0.5777376182103882,0.5780688626609048,0.0005565789596652364,0.578118950370069,0.5781934789682408,0.000148301118423878,0.5778055686600556,0.577644421446947,0.5771543643510211,0.5781934789682408,targetabl_61882c45,submission_targetabl_61882c45.csv,f43_cv_best,submission_sparsejepa_f43ea825.csv,all,all,1.3,0.24,1015.0,248.0,1.312638744869999,0.6404378648630745,0.00952031083285984,0.025994140117203524,0.5760492129276209,-0.0013901322953516486,-0.001571605319686653,-0.0014166840415534843,-0.0012116812383196284,-0.0007256068242769143,1.0,0.00952031083285984,0.025994140117203524,0.010421996567383122,0.309197257184753,0.9509979264695722,0.028231199144757007,0.00952031083285984,0.025994140117203524,-0.0025801711494591287,-0.0012551878425814287,f43_cv_best,submission_sparsejepa_f43ea825.csv,all,1.3,1015.0,248.0,1.312638744869999
targetabl_0f2b76e6,low_error_best5,l2o,15,-0.0008333174088097343,-0.0010891385000450838,-0.0009537266175921877,-0.00045883283027501335,-0.0004159628978585017,1.0,0.0004199861533892457,0.001037445570604875,38,0.5770084607050476,0.5770865126067399,8.753412386812807e-05,0.577787300553978,0.5781728217360363,0.0006490850519351806,0.5782325005905213,0.5783232667766177,0.00018044320766554217,0.577860867039798,0.5776760872831823,0.5770865126067399,0.5783232667766177,targetabl_0f2b76e6,submission_targetabl_0f2b76e6.csv,f465_actual_best,submission_sparsejepa_f4657144.csv,no_s1,no_s1,2.0,0.24,1061.0,250.0,1.1507072486943493,0.4500449342935788,0.01084055181763356,0.029990441892767394,0.5760752032147737,-0.0013641420081988436,-0.0015617066985700756,-0.0013799664240257137,-0.0011929310562392547,-0.0007027612409991058,1.0,0.01084055181763356,0.029990441892767394,0.011769762746189944,0.3464240073107152,0.9380780389492046,0.030864690679143755,0.01084055181763356,0.029990441892767394,-0.0027192109854030384,-0.001249320178131885,f465_actual_best,submission_sparsejepa_f4657144.csv,no_s1,2.0,1061.0,250.0,1.1507072486943493
targetabl_20d44ef9,low_error_best5,l2o,15,-0.0008323191963141685,-0.0010943590613574639,-0.0009807962185937047,-0.000434846632893593,-0.00036503332090287444,1.0,0.0004199861533892457,0.001037445570604875,46,0.5771001250113124,0.5771802705237151,8.965224226831854e-05,0.5778116847991861,0.5781616834519723,0.000591327205223854,0.5782101431502666,0.5782924614371883,0.000163310664148144,0.5778781384709585,0.5777073176535884,0.5771802705237151,0.5782924614371883,targetabl_20d44ef9,submission_targetabl_20d44ef9.csv,f43_cv_best,submission_sparsejepa_f43ea825.csv,no_s4,no_s4,1.5,0.24,910.0,248.0,1.3350729317512344,0.6462566585739542,0.009927892869863855,0.029990839505895928,0.5760130483819673,-0.0014262968410052295,-0.0016111030138625804,-0.001438394411680921,-0.0012632068893975834,-0.0007484921195664018,1.0,0.009927892869863855,0.029990839505895928,0.01094839446256479,0.2940375803063804,0.9557938592434924,0.030076040191850804,0.009927892869863855,0.029990839505895928,-0.0026672834497382114,-0.0012483219656363193,f43_cv_best,submission_sparsejepa_f43ea825.csv,no_s4,1.5,910.0,248.0,1.3350729317512344
