target,delta_mean,delta_median,win_rate,weight_mean,inner_score_mean,mode_config,submission
Q2,0.006750633350406099,0.004189848099187765,0.5,0.225,0.6377111854050779,deep_proxy_k40_c0.02,
Q3,0.02293140981518041,0.014344021056028944,0.25,0.2875,0.6412166106858068,proxy_k40_c0.2,
