role,source_count,support_count,support_rate,mean_delta,median_delta,worst_delta,best_delta,mean_toward_rate,mean_abs_move,e35_normal_submit_gate,e35_selector_hard_veto,e35_sensor_priority_score,raw_structure_gate
inverse7blend_1040,10,10,1.0,-0.0007057272524655378,-0.0007121467267227066,-0.0005078258962346593,-0.0008859133327773216,0.6066010862584293,0.002373891874820028,False,True,3.0,False
pair_sensor_1bb,10,7,0.7,-0.00014049256142322218,-0.000153613520928908,0.00047412052790030135,-0.000909723910526572,0.5703485666461303,0.0013454369896731115,False,True,-2.0,False
pair_sensor_6b,10,7,0.7,-0.00013945249081048772,-0.0001590252310272322,0.0006034296176440357,-0.0010655520770584959,0.5709030529198279,0.0016122536163586227,False,True,-2.0,False
pair_sensor_1bb_s0p65,10,7,0.7,-0.00012281542396020974,-0.00013134404763887053,0.00027668308410022657,-0.0006228158008775297,0.569748889969137,0.0008687699802628265,False,True,-2.0,False
mixmin_0c916,10,5,0.5,6.510682797449263e-05,0.00013807493008660687,0.0004985744352835608,-0.0007952083527414944,0.5262548113998304,0.00849582438014208,False,True,5.0,False
