basename,source_path,parent_basename,parent_source_path,parent_highrep_actual_mean,parent_highrep_actual_p90,parent_highrep_null_strict_rate,parent_highrep_p90_dominance,parent_highrep_mean_dominance,parent_highrep_worst_mode_p90_dominance,parent_actual_mean,parent_actual_p90,parent_strict_promote,build_null_count,build_bad_null_count,build_bad_strict_count,build_bad_p90_threshold,build_bad_null_mean_p90,risk_mean_active,risk_p90_active,support_mean_active,support_p10_active,bad_mean_l1_ratio,risk_policy,risk_q,risk_strength,risk_scale,risk_type,risk_active_cells,risk_high_cells,risk_kept_cells,risk_kept_frac,risk_l1_retained_frac,risk_mean_kept,risk_mean_dropped,support_mean_kept,support_mean_dropped,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b1_00__s1_2_338138f2.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b1_00__s1_2_338138f2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.55,1.0,1.25,nullfail_censor,643,289,750,1.166407465007776,1.1533336962875482,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03416972912444632,0.35,59.79702596778106,0.2835015216416958,0.716498478358304,16.952547851513923,0.0,2.7639927383897113e-15,16.060342510345176,0.0,26.784135605921954,0.0,promote_candidate,True,False,-0.0011875333317019165,-0.0018831091799517423,-0.00027824374918051614,0.9705882352941176,0.0014796868622773407
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_65__b1_00__s1_2_338138f2.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_65__b1_00__s1_2_338138f2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.65,1.0,1.25,nullfail_censor,643,225,750,1.166407465007776,1.1533336962875482,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03416972912444632,0.35,59.79702596778106,0.2835015216416958,0.716498478358304,16.952547851513923,0.0,2.7639927383897113e-15,16.060342510345176,0.0,26.784135605921954,0.0,promote_candidate,True,False,-0.0011875333317019165,-0.0018831091799517423,-0.00027824374918051614,0.9705882352941176,0.0014796868622773407
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_75__b1_00__s1_2_338138f2.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_75__b1_00__s1_2_338138f2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.75,1.0,1.25,nullfail_censor,643,161,750,1.166407465007776,1.1533336962875482,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03416972912444632,0.35,59.79702596778106,0.2835015216416958,0.716498478358304,16.952547851513923,0.0,2.7639927383897113e-15,16.060342510345176,0.0,26.784135605921954,0.0,promote_candidate,True,False,-0.0011875333317019165,-0.0018831091799517423,-0.00027824374918051614,0.9705882352941176,0.0014796868622773407
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_85__b1_00__s1_2_338138f2.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_85__b1_00__s1_2_338138f2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.85,1.0,1.25,nullfail_censor,643,100,750,1.166407465007776,1.1533336962875482,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03416972912444632,0.35,59.79702596778106,0.2835015216416958,0.716498478358304,16.952547851513923,0.0,2.7639927383897113e-15,16.060342510345176,0.0,26.784135605921954,0.0,promote_candidate,True,False,-0.0011875333317019165,-0.0018831091799517423,-0.00027824374918051614,0.9705882352941176,0.0014796868622773407
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b0_50__s1_2_2a55a2b0.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b0_50__s1_2_2a55a2b0.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.55,0.5,1.25,nullfail_censor,643,289,750,1.166407465007776,1.1583346770964529,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03431789280001297,0.35,60.0563124000227,0.27520596482852144,0.7247940351714786,16.52785539809134,0.0,2.2840525767027973e-15,15.915380289208697,0.0,27.61307671272266,0.0,promote_candidate,True,False,-0.0013142887809273508,-0.0021086634295723185,-0.0002733833426181982,0.9411764705882353,-0.0073232296875857805
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_65__b0_50__s1_2_2a55a2b0.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_65__b0_50__s1_2_2a55a2b0.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.65,0.5,1.25,nullfail_censor,643,225,750,1.166407465007776,1.1583346770964529,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03431789280001297,0.35,60.0563124000227,0.27520596482852144,0.7247940351714786,16.52785539809134,0.0,2.2840525767027973e-15,15.915380289208697,0.0,27.61307671272266,0.0,promote_candidate,True,False,-0.0013142887809273508,-0.0021086634295723185,-0.0002733833426181982,0.9411764705882353,-0.0073232296875857805
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_75__b0_50__s1_2_2a55a2b0.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_75__b0_50__s1_2_2a55a2b0.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.75,0.5,1.25,nullfail_censor,643,161,750,1.166407465007776,1.1583346770964529,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03431789280001297,0.35,60.0563124000227,0.27520596482852144,0.7247940351714786,16.52785539809134,0.0,2.2840525767027973e-15,15.915380289208697,0.0,27.61307671272266,0.0,promote_candidate,True,False,-0.0013142887809273508,-0.0021086634295723185,-0.0002733833426181982,0.9411764705882353,-0.0073232296875857805
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_85__b0_50__s1_2_2a55a2b0.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_85__b0_50__s1_2_2a55a2b0.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.85,0.5,1.25,nullfail_censor,643,100,750,1.166407465007776,1.1583346770964529,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.03431789280001297,0.35,60.0563124000227,0.27520596482852144,0.7247940351714786,16.52785539809134,0.0,2.2840525767027973e-15,15.915380289208697,0.0,27.61307671272266,0.0,promote_candidate,True,False,-0.0013142887809273508,-0.0021086634295723185,-0.0002733833426181982,0.9411764705882353,-0.0073232296875857805
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__anti_highrisk_keep__q0_55__b1_00__s1_3c40e70a.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__anti_highrisk_keep__q0_55__b1_00__s1_3c40e70a.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,-0.0009521445193922,-5.374669127956009e-05,0.0503875968992248,0.9263565891472868,0.9147286821705426,0.859375,-0.0009521445193922999,-5.374669127956009e-05,True,96,24,4,6.363552702718815e-05,-1.289424222732609e-05,0.647468089996231,1.1666666666666667,-0.01621242164631323,-0.08196486803621618,0.3093718829920585,anti_highrisk_keep,0.55,1.0,1.25,anti_control,640,288,288,0.45,0.2536155004230155,0.9965879098228645,0.3618246010471673,-0.04841662473133822,0.01013647178688904,188,288,0.006441564740676827,0.25094232180217113,11.27273829618445,0.22625097612116918,0.7737490238788307,2.550468043070217,0.0,0.0,2.906561386707127,0.0,5.815708866407104,0.0,promote_candidate,True,False,-0.00044767976269079966,-0.0005873625968425032,-0.00023681164845385178,1.0,-0.008300488083396507
submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b0_50__s1_0_dc61fca5.csv,analysis_outputs/submission_e327_nullrisk_null_common_residual__src_human_regime_only__recipe_fa__badmean_subtract__q0_55__b0_50__s1_0_dc61fca5.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,-0.001185087988990203,-0.00010922142234752516,True,96,24,4,8.238293108405953e-06,-3.855448268808287e-05,0.6839154085176685,1.25,-0.02185829775813753,-0.09777981106592158,0.32017597174708556,badmean_subtract,0.55,0.5,1.0,nullfail_censor,643,289,750,1.166407465007776,0.9667239145934563,0.5884545880135923,0.0,-0.023637751009329917,0.0,250,750,0.028641055408431502,0.35,50.12184696475513,0.27030391558577144,0.7296960844142286,13.548131490964124,0.0,1.8272420613622375e-15,13.103807947840126,0.0,23.469907525950877,0.0,promote_candidate,True,False,-0.0010292580500978182,-0.0016763718804097029,-0.00019389222258871697,0.9411764705882353,-0.006453434836010852
