target,view_id,split,policy,style,student_r2,base_loss,cv_loss,actual_delta,full_fit_loss,full_d,fold_d_mean,fold_d_std,null_best,null_median,null_q20,dominance,placebo_adjusted_vs_median,train_rows,train_shift_mean_abs,train_shift_max_abs,gate,threshold,threshold_lo,threshold_hi
Q1,jepa_resid,dateblock,pos_q83,const,-0.1664291773799762,0.6789693600090467,0.6635837018659009,-0.015385658143145853,0.6601508394623279,-0.55,-0.55,0.0,-0.010383844367852224,0.0009638954396203325,-0.00740785049227255,1.0,-0.016349553582766185,77,0.07186666666666668,0.42,True,0.10549394280188484,,
Q1,jepa_resid,dateblock,pos_q75,const,-0.1664291773799762,0.6789693600090467,0.6637652236748661,-0.015204136334180607,0.6609982713594091,-0.55,-0.55,0.0,-0.011276871354755857,0.002310818477423593,-0.005704277105712974,1.0,-0.0175149548116042,113,0.10546666666666667,0.42,True,0.05867190449862961,,
Q1,jepa_resid,dateblock,pos_q75,softplus,-0.1664291773799762,0.6789693600090467,0.6641581105665236,-0.0148112494425231,0.661631358665006,-0.55,-0.55,0.0,-0.00939193074612965,0.00023768401200285894,-0.006228250324089357,1.0,-0.015048933454525959,113,0.08619945167811563,0.42,True,0.05867190449862961,,
Q1,jepa_resid,dateblock,pos_q80,const,-0.1664291773799762,0.6789693600090467,0.6642819428171669,-0.014687417191879826,0.6612815482830754,-0.55,-0.55,0.0,-0.01140066132451445,0.00098640353570284,-0.005149187239127162,1.0,-0.015673820727582666,90,0.08399999999999999,0.42,True,0.08545746130216811,,
Q1,jepa_resid,dateblock,pos_q78,const,-0.1664291773799762,0.6789693600090467,0.6644778822257477,-0.014491477783299067,0.6616888971675323,-0.55,-0.55,0.0,-0.010722693601031952,0.003173915840494923,-0.0038511431224013126,1.0,-0.01766539362379399,99,0.09240000000000001,0.42,True,0.0682808119114145,,
Q1,jepa_resid,dateblock,pos_q78,softplus,-0.1664291773799762,0.6789693600090467,0.6647689708849482,-0.01420038912409849,0.6623720391778035,-0.55,-0.55,0.0,-0.011200635700173711,0.000627790270055606,-0.00591713882079159,1.0,-0.014828179394154095,99,0.07761937470977834,0.42,True,0.0682808119114145,,
Q1,jepa_resid,dateblock,pos_q85,const,-0.1664291773799762,0.6789693600090467,0.6650498364560212,-0.013919523553025503,0.6619299492250847,-0.55,-0.55,0.0,-0.009152847547942988,0.0020452813266857994,-0.006128336829747338,1.0,-0.015964804879711303,68,0.06346666666666667,0.42,True,0.11645269799660414,,
Q1,jepa_resid,dateblock,pos_q80,softplus,-0.1664291773799762,0.6789693600090467,0.6651414932337683,-0.013827866775278475,0.6629412484426068,-0.55,-0.55,0.0,-0.011010680719637955,0.001213504538269572,-0.006178952948962646,1.0,-0.015041371313548046,90,0.06951208678626764,0.42,True,0.08545746130216811,,
Q1,jepa_resid,dateblock,pos_q83,softplus,-0.1664291773799762,0.6789693600090467,0.6657752292973069,-0.013194130711739804,0.663711025360211,-0.55,-0.55,0.0,-0.011154798194807025,0.0004254907082190118,-0.007319407316583315,1.0,-0.013619621419958816,77,0.058972631444304306,0.42,True,0.10549394280188484,,
Q1,jepa_resid,dateblock,pos_q85,softplus,-0.1664291773799762,0.6789693600090467,0.6670925382927665,-0.01187682171628024,0.6650521710765106,-0.55,-0.55,0.0,-0.009782874897065419,0.00023881375945100647,-0.004787770533589475,1.0,-0.012115635475731246,68,0.05249670839518405,0.42,True,0.11645269799660414,,
