selector,rows,e101_pass_rows,prior_healthier_rows,replacement_rows,interesting_nonreplacement_rows,selected_cells_min,selected_cells_max,best_subject_alpha,best_subject_expected_vs_e95,best_subject_p_beats_e95,best_subject_mean_vs_e95,best_subject_p95_vs_e95,best_subject_beat_rate,best_transfer_alpha,best_transfer_mean_vs_e95,best_transfer_p95_vs_e95,best_transfer_beat_rate
subject_expected_best_top40,4,1,1,0,1,40,40,0.25,3.260867427041773e-06,0.43465,-1.1897089509085678e-05,-4.405281497813379e-08,0.9516222479721901,1.0,-3.5636277967239445e-05,4.467535748165491e-06,0.906720741599073
flip_benefit_best_top35,4,1,1,0,1,35,35,0.25,5.0330249852327175e-06,0.3962,-1.4894385673685918e-05,-4.975984939052741e-07,0.9623406720741599,1.0,-4.674443678963685e-05,1.2606658338050643e-06,0.9351100811123986
subject_expected_best_top45,4,1,1,0,1,45,45,0.25,5.215573878588153e-06,0.394375,-1.3772090336825205e-05,-7.653034110317273e-07,0.9669756662804172,1.0,-4.170132982127455e-05,1.916556964621747e-06,0.9319235225955967
flip_benefit_best_top40,4,1,1,0,1,40,40,0.25,5.7112213205341685e-06,0.3834375,-1.576194796981069e-05,-1.219496391781683e-06,0.973638470451912,1.0,-4.942675354359154e-05,-4.4221788525491224e-07,0.9522016222479722
active_s3_all,4,1,1,0,1,39,39,0.25,5.743965862727544e-06,0.3824125,-1.5727718731460097e-05,-1.1945263639024126e-06,0.9733487833140209,1.0,-4.942308608114444e-05,-1.416216279272468e-07,0.9510428736964078
flip_benefit_best_top45,4,1,1,0,1,45,45,0.25,7.2477417217225014e-06,0.3508625,-1.6014353811076112e-05,-1.3508417182507164e-06,0.9785631517960602,1.0,-5.019948735155094e-05,-1.6938935797113055e-06,0.9577056778679026
subject_expected_best_top8,4,0,4,0,0,8,8,1.0,-3.3994013289637763e-06,0.6451375,-1.8278141116192816e-06,1.1987753500654345e-05,0.31923522595596754,0.75,-2.1095652058612677e-06,7.649083398400295e-06,0.34009269988412516
subject_expected_negative,4,0,2,0,0,12,12,1.0,-3.3276326630313717e-06,0.5312875,-3.741906378078545e-06,1.6823672450030993e-05,0.4133835457705678,0.75,-3.981577243294517e-06,1.0618808564993469e-05,0.43105446118192353
s3_subject_expected_negative,4,0,2,0,0,10,10,1.0,-2.6779938236698592e-06,0.5298625,-3.6559859031910716e-06,1.647703379122816e-05,0.4035341830822711,0.75,-3.877418246919073e-06,1.0441480302243197e-05,0.41801853997682503
s3_high_subject_support_0p90,4,0,2,0,0,7,7,1.0,-2.27540163005098e-06,0.745725,4.497657755081022e-06,1.0460258723716941e-05,0.07300115874855156,0.25,5.435883542810592e-07,1.455193286028345e-06,0.1332560834298957
subject_expected_best_top16,4,0,1,0,0,16,16,1.0,-2.2489255544722983e-06,0.5551125,-3.995436931824758e-06,1.8964455830360697e-05,0.4869640787949015,0.75,-4.747430428245559e-06,1.1679493373976437e-05,0.5199884125144844
support_prob_best_top8,4,0,2,0,0,8,8,1.0,-1.9058025619540523e-06,0.6683875,4.866406518440325e-06,1.1582673511012085e-05,0.08140208574739281,0.25,5.273653381527929e-07,1.5211562725981329e-06,0.15701042873696408
subject_expected_best_top20,4,0,1,0,0,20,20,0.75,-1.1225543728205262e-06,0.5546625,-4.794998773297863e-06,1.2126510192924897e-05,0.5359212050984936,0.75,-4.794998773297863e-06,1.2126510192924897e-05,0.5359212050984936
flip_x_support_best_top8,4,0,1,0,0,8,8,1.0,-1.1017704906475367e-06,0.6001875,5.227165694155162e-06,1.3219394818352645e-05,0.10921205098493626,0.25,6.048487008452058e-07,1.921902091359368e-06,0.19061413673232908
subject_support_q0.80,4,0,1,0,0,11,11,1.0,-9.367873127145332e-07,0.5370375,5.7582396968642194e-06,1.464323700494658e-05,0.11297798377752027,0.25,5.93131581187344e-07,1.9940268113261897e-06,0.20162224797219003
support_prob_best_top12,4,0,1,0,0,12,12,0.75,-4.39617234047837e-07,0.5278125,3.5689248163071617e-06,1.014026715596014e-05,0.15845886442641946,0.25,5.828496068842194e-07,2.191419675229293e-06,0.2279837775202781
subject_expected_best_top23,4,0,1,0,0,23,23,0.5,-4.158131665135077e-07,0.5369,-4.767975932521181e-06,6.286907513575692e-06,0.6184820393974507,0.75,-5.13641777794928e-06,1.2386280659474117e-05,0.5709733487833141
flip_benefit_best_top8,4,0,2,0,0,8,8,0.5,-3.000941362087204e-07,0.65795,-1.8753014327489812e-06,5.748206185611542e-06,0.38673232908458866,0.5,-1.8753014327489812e-06,5.748206185611542e-06,0.38673232908458866
flip_x_support_best_top12,4,0,1,0,0,12,12,0.25,-1.7952832181162484e-07,0.6708125,1.6184123646769566e-07,2.63885138592898e-06,0.33748551564310547,0.25,1.6184123646769566e-07,2.63885138592898e-06,0.33748551564310547
flip_benefit_best_top16,4,0,1,0,0,16,16,0.25,-1.5274228043529716e-07,0.4880375,-3.599998741706785e-06,2.1774423424814114e-06,0.6648319814600232,0.75,-6.659255576737223e-06,1.1906500940561767e-05,0.5874855156431055
subject_expected_best_top25,4,0,1,0,0,25,25,0.25,-1.1336341464075385e-07,0.5227,-3.094256698060455e-06,2.350411151552791e-06,0.6856894553881807,0.75,-4.891921347090558e-06,1.3212651511808499e-05,0.5750289687137891
flip_benefit_best_top12,4,0,1,0,0,12,12,0.25,-4.4296789758463766e-08,0.635175,-2.6447062547857072e-06,2.1356674254504683e-06,0.5802433371958285,0.75,-4.48255811966195e-06,1.1534784772053673e-05,0.5072421784472769
s3_subject_support_q0.70,4,0,1,0,0,13,13,0.25,-3.0618203647572754e-08,0.542925,5.992879778965748e-07,2.3394604939417964e-06,0.2343568945538818,0.25,5.992879778965748e-07,2.3394604939417964e-06,0.2343568945538818
flip_x_support_best_top16,4,0,1,0,0,16,16,0.25,7.342742497681048e-08,0.4932125,1.2325615088751275e-07,3.1565621703988146e-06,0.3864426419466976,0.25,1.2325615088751275e-07,3.1565621703988146e-06,0.3864426419466976
