band,weight,held_world_id,held_scenario,delta_vs_mixmin
raw_energy_half,0.1,30eb56558a6c,mixhard_gap_rawobj,-0.019972663483616038
raw_energy_half,0.1,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.03496028323438738
raw_energy_half,0.1,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.03496232672537447
raw_energy_half,0.1,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.03496232672537447
raw_energy_half,0.1,187a82d9cc1f,mixhard_gap_rawcount_loose,-0.0017906374070729703
raw_energy_half,0.1,7fb13185c002,mixhard_gap_rawcount_loose,-0.016073717106823038
raw_energy_half,0.1,b8bf6c5d29c3,mixhard_gap_rawcount_loose,-0.01797818245452798
raw_energy_half,0.1,651041ac285d,mixhard_gap_rawcount_loose,-0.018349174176026106
raw_energy_half,0.1,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.02072143534125548
raw_energy_half,0.1,f1396b28188f,mixhard_tight_rawobj,-0.03578127128938491
raw_energy_half,0.1,a0e117bee703,mixhard_tight_rawobj,-0.03586725581415129
raw_energy_half,0.1,8e3b280303c4,mixhard_tight_rawobj,-0.035770086892971675
raw_energy_half,0.1,763dd9a80743,mixhard_tight_rawobj,-0.01608367063143268
raw_energy_half,0.1,437c46099eda,mixhard_tight_rawobj,-0.017961156433945802
raw_energy_half,0.1,77e6a444bf38,mixhard_tight_rawobj,-0.01910583411619482
raw_energy_half,0.1,0e07e451f2be,mixhard_tight_rawobj,-0.02049694775890709
raw_energy_half,0.18,54d54d06da16,mixhard_gap_rawobj,-0.06292824122281204
raw_energy_half,0.18,3950a489c057,mixhard_gap_rawobj,-0.06314778411137045
raw_energy_half,0.18,1af50dae4523,mixhard_gap_rawobj,-0.06291924156727435
raw_energy_half,0.18,68125a4c8897,mixhard_gap_rawobj,-0.02757530064768876
raw_energy_half,0.18,3f025b594135,mixhard_gap_rawobj,-0.028984985299350008
raw_energy_half,0.18,8d9c3d275c3a,mixhard_gap_rawobj,-0.032016051606511775
raw_energy_half,0.18,30eb56558a6c,mixhard_gap_rawobj,-0.03423691795329897
raw_energy_half,0.18,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.061294674463012955
raw_energy_half,0.18,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.0612967905286852
raw_energy_half,0.18,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.0612967905286852
raw_energy_half,0.18,187a82d9cc1f,mixhard_gap_rawcount_loose,-0.0013794486565363862
raw_energy_half,0.18,7fb13185c002,mixhard_gap_rawcount_loose,-0.027197726206189654
raw_energy_half,0.18,b8bf6c5d29c3,mixhard_gap_rawcount_loose,-0.03063881166372906
raw_energy_half,0.18,651041ac285d,mixhard_gap_rawcount_loose,-0.03130358544048262
raw_energy_half,0.18,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.035587976363830265
raw_energy_half,0.18,f1396b28188f,mixhard_tight_rawobj,-0.06277621631286079
raw_energy_half,0.18,a0e117bee703,mixhard_tight_rawobj,-0.0629316242390896
raw_energy_half,0.18,8e3b280303c4,mixhard_tight_rawobj,-0.06275608975004499
raw_energy_half,0.18,763dd9a80743,mixhard_tight_rawobj,-0.027215495950263735
raw_energy_half,0.18,437c46099eda,mixhard_tight_rawobj,-0.030607438285356725
raw_energy_half,0.18,77e6a444bf38,mixhard_tight_rawobj,-0.032671842970093845
raw_energy_half,0.18,0e07e451f2be,mixhard_tight_rawobj,-0.03518333635436599
raw_energy_half,0.28,54d54d06da16,mixhard_gap_rawobj,-0.09470946842416628
raw_energy_half,0.28,3950a489c057,mixhard_gap_rawobj,-0.09505290301443547
raw_energy_half,0.28,1af50dae4523,mixhard_gap_rawobj,-0.0946959744792823
raw_energy_half,0.28,68125a4c8897,mixhard_gap_rawobj,-0.039510873089098064
raw_energy_half,0.28,3f025b594135,mixhard_gap_rawobj,-0.04171353136870781
raw_energy_half,0.28,8d9c3d275c3a,mixhard_gap_rawobj,-0.046444470551676886
raw_energy_half,0.28,30eb56558a6c,mixhard_gap_rawobj,-0.049912579792301126
raw_energy_half,0.28,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.09216055347402863
raw_energy_half,0.28,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.09216110317393561
raw_energy_half,0.28,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.09216110317393561
raw_energy_half,0.28,187a82d9cc1f,mixhard_gap_rawcount_loose,0.001450957322292723
raw_energy_half,0.28,7fb13185c002,mixhard_gap_rawcount_loose,-0.03892122221829564
raw_energy_half,0.28,b8bf6c5d29c3,mixhard_gap_rawcount_loose,-0.04429983413632421
raw_energy_half,0.28,651041ac285d,mixhard_gap_rawcount_loose,-0.04532834507722028
raw_energy_half,0.28,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.05202085309788007
raw_energy_half,0.28,f1396b28188f,mixhard_tight_rawobj,-0.0944727742319123
raw_energy_half,0.28,a0e117bee703,mixhard_tight_rawobj,-0.09471574154629897
raw_energy_half,0.28,8e3b280303c4,mixhard_tight_rawobj,-0.09444144618044698
raw_energy_half,0.28,763dd9a80743,mixhard_tight_rawobj,-0.03894855887657667
raw_energy_half,0.28,437c46099eda,mixhard_tight_rawobj,-0.04424967379543332
raw_energy_half,0.28,77e6a444bf38,mixhard_tight_rawobj,-0.04746869080933991
raw_energy_half,0.28,0e07e451f2be,mixhard_tight_rawobj,-0.05139011224077694
raw_energy_quarter,0.05,54d54d06da16,mixhard_gap_rawobj,-0.03059480359458855
raw_energy_quarter,0.05,3950a489c057,mixhard_gap_rawobj,-0.0305954132372529
raw_energy_quarter,0.05,1af50dae4523,mixhard_gap_rawobj,-0.030396265392431898
raw_energy_quarter,0.05,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.029651146042273258
raw_energy_quarter,0.05,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.029746620576836302
raw_energy_quarter,0.05,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.029746620576836302
raw_energy_quarter,0.05,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.015623203947172648
raw_energy_quarter,0.05,f1396b28188f,mixhard_tight_rawobj,-0.030493196254750443
raw_energy_quarter,0.05,a0e117bee703,mixhard_tight_rawobj,-0.030544972960637407
raw_energy_quarter,0.05,8e3b280303c4,mixhard_tight_rawobj,-0.03048152830006856
raw_energy_quarter,0.05,0e07e451f2be,mixhard_tight_rawobj,-0.01548701863358748
raw_energy_quarter,0.1,54d54d06da16,mixhard_gap_rawobj,-0.059964385566982914
raw_energy_quarter,0.1,3950a489c057,mixhard_gap_rawobj,-0.059965654715633754
raw_energy_quarter,0.1,1af50dae4523,mixhard_gap_rawobj,-0.05956524171091493
raw_energy_quarter,0.1,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.05806975141627635
raw_energy_quarter,0.1,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.05826207979289666
raw_energy_quarter,0.1,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.05826207979289666
raw_energy_quarter,0.1,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.029892144913237106
raw_energy_quarter,0.1,f1396b28188f,mixhard_tight_rawobj,-0.05976009393841519
raw_energy_quarter,0.1,a0e117bee703,mixhard_tight_rawobj,-0.059864496932857336
raw_energy_quarter,0.1,8e3b280303c4,mixhard_tight_rawobj,-0.059737395524321
raw_energy_quarter,0.1,0e07e451f2be,mixhard_tight_rawobj,-0.02961831035133955
raw_energy_quarter,0.18,54d54d06da16,mixhard_gap_rawobj,-0.10438267311753563
raw_energy_quarter,0.18,3950a489c057,mixhard_gap_rawobj,-0.10438504208293287
raw_energy_quarter,0.18,1af50dae4523,mixhard_gap_rawobj,-0.10365815518987015
raw_energy_quarter,0.18,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.10095073193711301
raw_energy_quarter,0.18,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.1013008933658397
raw_energy_quarter,0.18,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.1013008933658397
raw_energy_quarter,0.18,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.04987389908935591
raw_energy_quarter,0.18,f1396b28188f,mixhard_tight_rawobj,-0.10401182237856249
raw_energy_quarter,0.18,a0e117bee703,mixhard_tight_rawobj,-0.1042020990432625
raw_energy_quarter,0.18,8e3b280303c4,mixhard_tight_rawobj,-0.1039727044968699
raw_energy_quarter,0.18,0e07e451f2be,mixhard_tight_rawobj,-0.04937637480800072
raw_energy_quarter,0.28,54d54d06da16,mixhard_gap_rawobj,-0.15543016454131459
raw_energy_quarter,0.28,3950a489c057,mixhard_gap_rawobj,-0.15543388549370007
raw_energy_quarter,0.28,1af50dae4523,mixhard_gap_rawobj,-0.154291218593833
raw_energy_quarter,0.28,ccf200fbcc70,mixhard_gap_rawcount_loose,-0.15004842531275503
raw_energy_quarter,0.28,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.15060073710728528
raw_energy_quarter,0.28,3ec8b98636d3,mixhard_gap_rawcount_loose,-0.15060073710728528
raw_energy_quarter,0.28,b0cb358ff39a,mixhard_gap_rawcount_loose,-0.06988726679072943
raw_energy_quarter,0.28,f1396b28188f,mixhard_tight_rawobj,-0.15484720698476823
raw_energy_quarter,0.28,a0e117bee703,mixhard_tight_rawobj,-0.15514747306308746
raw_energy_quarter,0.28,8e3b280303c4,mixhard_tight_rawobj,-0.1547894124407428
raw_energy_quarter,0.28,0e07e451f2be,mixhard_tight_rawobj,-0.06910339699052204
