prior_view,component_scope,target_scope,prune_mode,rows,all_four_health,control_grade,e161_submit,best_all_minus_base,best_local_delta_vs_e154,best_focus_expected_delta,best_focus_delta_vs_e154,best_safe_all_minus_base,best_safe_top_n,best_safe_tag
subject,added,S3,to_e144,7,6,5,0,-1.21588420074481e-05,-7.923477429727654e-10,-3.062208706795194e-05,-7.845290548312667e-07,-1.2085186927857094e-05,21,e161_ead6c3ea
subject,all,S3,to_e144,7,6,5,0,-1.21588420074481e-05,-7.923477429727654e-10,-3.062208706795194e-05,-7.845290548312667e-07,-1.2085186927857094e-05,21,e161_ead6c3ea
subject,adjustment,S3,to_e144,7,6,5,0,-1.21588420074481e-05,-7.923477429727654e-10,-3.060598416199375e-05,-7.684261488730764e-07,-1.2088137414933975e-05,21,e161_3f584d5b
subject,inherited,S3,to_e144,7,6,5,0,-1.21588420074481e-05,-7.923477429727654e-10,-3.060598416199375e-05,-7.684261488730764e-07,-1.2088137414933975e-05,21,e161_3f584d5b
nearest_hard085,added,Q1,to_e144,7,5,5,0,-1.2156691244880058e-05,1.3584148250700423e-09,-3.2674935562870514e-05,-2.8373775497498392e-06,-1.2013562159518543e-05,21,e161_9f324911
nearest_hard085,all,Q1,to_e144,7,5,5,0,-1.2156691244880058e-05,1.3584148250700423e-09,-3.2674935562870514e-05,-2.8373775497498392e-06,-1.2013562159518543e-05,21,e161_9f324911
focus_mean,added,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.0886900243660876e-05,-1.0493422305402015e-06,-1.2088765950157843e-05,13,e161_164e97b0
focus_mean,adjustment,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.0886900243660876e-05,-1.0493422305402015e-06,-1.2088765950157843e-05,13,e161_164e97b0
focus_mean,all,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.0886900243660876e-05,-1.0493422305402015e-06,-1.2088765950157843e-05,13,e161_164e97b0
focus_mean,inherited,S3,to_e144,7,5,5,0,-1.214266522364671e-05,1.538443605841877e-08,-3.0886900243660876e-05,-1.0493422305402015e-06,-1.2088765950157843e-05,13,e161_164e97b0
