combo,gate_mode,shrink,fold,delta_mean,ungated_delta_mean,keep_abs_share
q3_center_c010_s4_rank,toward,0.5,geom_r00,-8.575953115208534e-06,0.00014100682381645857,0.30917999692075504
q3_center_c010_s4_rank,toward,0.5,geom_r01,-0.0006251676180254462,-0.0015558685406182882,0.3343173792242635
q3_center_c010_s4_rank,toward,0.5,geom_r02,-0.0003819463326405481,-0.0009929555117198507,0.2658342458059842
q3_center_c010_s4_rank,toward,0.5,geom_r03,-1.7012018123874206e-05,-0.0014817035922308763,0.30323985478972293
q3_center_c010_s4_rank,toward,0.5,geom_r04,-0.00018030496102527938,-0.0006136397348490696,0.3582520315924914
q3_center_c010_s4_rank,toward,0.5,geom_r05,-0.0003970845962484315,-0.0022858323321223173,0.29109753573058494
q3_center_c010_s4_rank,toward,0.5,geom_r06,2.0581534225017073e-05,0.001165922372909689,0.31400188519173206
q3_center_c010_s4_rank,toward,0.5,geom_r07,-0.0006594950747784711,-0.0018891100189175614,0.30660829774911225
q3_center_c010_s4_rank,toward,0.75,geom_r00,0.00011045725510949733,0.00014100682381645857,0.46376999538113056
q3_center_c010_s4_rank,toward,0.75,geom_r01,-0.0008603848910166967,-0.0015558685406182882,0.5014760688363933
q3_center_c010_s4_rank,toward,0.75,geom_r02,-0.0005018228328215191,-0.0009929555117198507,0.3987513687089739
q3_center_c010_s4_rank,toward,0.75,geom_r03,3.152061854694299e-05,-0.0014817035922308763,0.45485978218458156
q3_center_c010_s4_rank,toward,0.75,geom_r04,-0.00015410851138686343,-0.0006136397348490696,0.5373780473887352
q3_center_c010_s4_rank,toward,0.75,geom_r05,-0.0005387860755956542,-0.0022858323321223173,0.43664630359587525
q3_center_c010_s4_rank,toward,0.75,geom_r06,0.00015720919103057174,0.001165922372909689,0.4710028277875963
q3_center_c010_s4_rank,toward,0.75,geom_r07,-0.0009210408533303349,-0.0018891100189175614,0.45991244662366587
q3_center_c010_s4_rank,toward,1.0,geom_r00,0.0003131191700018743,0.00014100682381645857,0.6183599938415063
q3_center_c010_s4_rank,toward,1.0,geom_r01,-0.001043243455982834,-0.0015558685406182882,0.6686347584485229
q3_center_c010_s4_rank,toward,1.0,geom_r02,-0.00057406517663805,-0.0009929555117198507,0.5316684916119637
q3_center_c010_s4_rank,toward,1.0,geom_r03,0.00011835126377401917,-0.0014817035922308763,0.6064797095794408
q3_center_c010_s4_rank,toward,1.0,geom_r04,-4.915653120596275e-05,-0.0006136397348490696,0.7165040631849786
q3_center_c010_s4_rank,toward,1.0,geom_r05,-0.0006419808136479688,-0.0022858323321223173,0.5821950714611656
q3_center_c010_s4_rank,toward,1.0,geom_r06,0.0003782363721197557,0.001165922372909689,0.6280037703834607
q3_center_c010_s4_rank,toward,1.0,geom_r07,-0.0011362459806675274,-0.0018891100189175614,0.6132165954982195
q3_center_c010_s4_rank,closer,0.5,geom_r00,0.00018056746362915543,0.00014100682381645857,0.28330240391394323
q3_center_c010_s4_rank,closer,0.5,geom_r01,2.995827818141894e-05,-0.0015558685406182882,0.29636708864878547
q3_center_c010_s4_rank,closer,0.5,geom_r02,-0.0005602162770873553,-0.0009929555117198507,0.24208826091216615
q3_center_c010_s4_rank,closer,0.5,geom_r03,0.00013137478910763,-0.0014817035922308763,0.2884727535454199
q3_center_c010_s4_rank,closer,0.5,geom_r04,-0.00017510273756260464,-0.0006136397348490696,0.33080497399945746
q3_center_c010_s4_rank,closer,0.5,geom_r05,-0.00033697511356101106,-0.0022858323321223173,0.27603684645743504
q3_center_c010_s4_rank,closer,0.5,geom_r06,0.0001486918815630789,0.001165922372909689,0.27908108647751495
q3_center_c010_s4_rank,closer,0.5,geom_r07,-0.00033676732607657023,-0.0018891100189175614,0.27362679543848667
q3_center_c010_s4_rank,closer,0.75,geom_r00,0.0003825783980602182,0.00014100682381645857,0.42495360587091285
q3_center_c010_s4_rank,closer,0.75,geom_r01,0.00010266517311319223,-0.0015558685406182882,0.4445506329731762
q3_center_c010_s4_rank,closer,0.75,geom_r02,-0.0007774085754838067,-0.0009929555117198507,0.3631323913682468
q3_center_c010_s4_rank,closer,0.75,geom_r03,0.0002500953583526311,-0.0014817035922308763,0.4327091303181271
q3_center_c010_s4_rank,closer,0.75,geom_r04,-0.00015767691936263706,-0.0006136397348490696,0.49620746099918417
q3_center_c010_s4_rank,closer,0.75,geom_r05,-0.0004515688661740347,-0.0022858323321223173,0.4140552696861503
q3_center_c010_s4_rank,closer,0.75,geom_r06,0.00033255943813226274,0.001165922372909689,0.41862162971627076
q3_center_c010_s4_rank,closer,0.75,geom_r07,-0.00044952885191851255,-0.0018891100189175614,0.41044019315772756
q3_center_c010_s4_rank,closer,1.0,geom_r00,0.0006605874205016793,0.00014100682381645857,0.5666048078278827
q3_center_c010_s4_rank,closer,1.0,geom_r01,0.00021437683077740743,-0.0015558685406182882,0.5927341772975668
q3_center_c010_s4_rank,closer,1.0,geom_r02,-0.0009522709689525621,-0.0009929555117198507,0.4841765218243275
q3_center_c010_s4_rank,closer,1.0,geom_r03,0.00040442873073454066,-0.0014817035922308763,0.5769455070908345
q3_center_c010_s4_rank,closer,1.0,geom_r04,-6.902826620880376e-05,-0.0006136397348490696,0.6616099479989107
q3_center_c010_s4_rank,closer,1.0,geom_r05,-0.0005296238615682958,-0.0022858323321223173,0.5520736929148657
q3_center_c010_s4_rank,closer,1.0,geom_r06,0.0005897903221713241,0.001165922372909689,0.5581621729550265
q3_center_c010_s4_rank,closer,1.0,geom_r07,-0.0005246477149912776,-0.0018891100189175614,0.5472535908769685
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r00,-8.575953115208534e-06,0.00014100682381645857,0.30917999692075504
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r01,-0.0006251676180254462,-0.0015558685406182882,0.3343173792242635
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r02,-0.0003819463326405481,-0.0009929555117198507,0.2658342458059842
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r03,-1.7012018123874206e-05,-0.0014817035922308763,0.30323985478972293
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r04,-0.00018030496102527938,-0.0006136397348490696,0.3582520315924914
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r05,-0.0003970845962484315,-0.0022858323321223173,0.29109753573058494
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r06,2.0581534225017073e-05,0.001165922372909689,0.31400188519173206
q3_center_c010_s4_rank,toward_or_closer,0.5,geom_r07,-0.0006594950747784711,-0.0018891100189175614,0.30660829774911225
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r00,0.00011045725510949733,0.00014100682381645857,0.46376999538113056
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r01,-0.0008603848910166967,-0.0015558685406182882,0.5014760688363933
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r02,-0.0005018228328215191,-0.0009929555117198507,0.3987513687089739
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r03,3.152061854694299e-05,-0.0014817035922308763,0.45485978218458156
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r04,-0.00015410851138686343,-0.0006136397348490696,0.5373780473887352
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r05,-0.0005387860755956542,-0.0022858323321223173,0.43664630359587525
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r06,0.00015720919103057174,0.001165922372909689,0.4710028277875963
q3_center_c010_s4_rank,toward_or_closer,0.75,geom_r07,-0.0009210408533303349,-0.0018891100189175614,0.45991244662366587
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r00,0.0003131191700018743,0.00014100682381645857,0.6183599938415063
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r01,-0.001043243455982834,-0.0015558685406182882,0.6686347584485229
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r02,-0.00057406517663805,-0.0009929555117198507,0.5316684916119637
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r03,0.00011835126377401917,-0.0014817035922308763,0.6064797095794408
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r04,-4.915653120596275e-05,-0.0006136397348490696,0.7165040631849786
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r05,-0.0006419808136479688,-0.0022858323321223173,0.5821950714611656
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r06,0.0003782363721197557,0.001165922372909689,0.6280037703834607
q3_center_c010_s4_rank,toward_or_closer,1.0,geom_r07,-0.0011362459806675274,-0.0018891100189175614,0.6132165954982195
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r00,-0.00011845320050063446,0.00014100682381645857,0.1623480442262628
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r01,-0.00039681325505736,-0.0015558685406182882,0.23788749822975055
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r02,-0.0004731406055850096,-0.0009929555117198507,0.12847051454951536
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r03,-4.178310880620373e-06,-0.0014817035922308763,0.1920281931889398
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r04,-0.000246245692300584,-0.0006136397348490696,0.20292082083232552
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r05,-0.00048724505065267376,-0.0022858323321223173,0.1742968729362815
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r06,-0.00023046888351130335,0.001165922372909689,0.1707007480812353
q3_center_c010_s4_rank,both_targets_toward,0.5,geom_r07,0.00011297935130405445,-0.0018891100189175614,0.16501082244762705
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r00,-0.0001193774497221245,0.00014100682381645857,0.2435220663393922
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r01,-0.0005357172453370751,-0.0015558685406182882,0.35683124734462374
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r02,-0.0006761100214036642,-0.0009929555117198507,0.19270577182427048
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r03,3.065324696172045e-05,-0.0014817035922308763,0.2880422897834069
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r04,-0.00030109704503944457,-0.0006136397348490696,0.3043812312484862
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r05,-0.000697457103526089,-0.0022858323321223173,0.26144530940442
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r06,-0.00028226178673063096,0.001165922372909689,0.25605112212185116
q3_center_c010_s4_rank,both_targets_toward,0.75,geom_r07,0.00020324780419678223,-0.0018891100189175614,0.24751623367143816
q3_center_c010_s4_rank,both_targets_toward,1.0,geom_r00,-8.074873946029015e-05,0.00014100682381645857,0.3246960884525217
q3_center_c010_s4_rank,both_targets_toward,1.0,geom_r01,-0.0006342213750009096,-0.0015558685406182882,0.4757749964594969
q3_center_c010_s4_rank,both_targets_toward,1.0,geom_r02,-0.0008568358067690962,-0.0009929555117198507,0.2569410290990255
q3_center_c010_s4_rank,both_targets_toward,1.0,geom_r03,9.021775507145335e-05,-0.0014817035922308763,0.3840563863778742
