prior,condition,target,mean_target_delta,share_of_total_mean
global,near_observed_1pct,Q1,-1.4819746357705687e-06,-0.0017841029262428267
global,near_observed_1pct,Q3,3.1312720377515906e-06,0.0037696404989483404
global,near_observed_1pct,S2,0.0008645001899192102,1.0407447478143759
global,near_observed_1pct,S3,-1.0446627145031058e-06,-0.0012576367779146705
global,near_observed_1pct,S4,-3.444947733281474e-05,-0.041472648609166766
global,ge_observed,Q1,-2.5670955434840835e-06,-0.002259004716912611
global,ge_observed,Q3,8.935674800915353e-06,0.007863256813834322
global,ge_observed,S2,0.0011671265865663425,1.0270535005912333
global,ge_observed,S3,-2.861503380451559e-06,-0.002518079099279747
global,ge_observed,S4,-3.425022585070591e-05,-0.030139673588875367
global,loss_gt0,Q1,-4.936327455893796e-06,-0.01883658015463835
global,loss_gt0,Q3,-3.2449642378146175e-06,-0.012382490730340449
global,loss_gt0,S2,0.00030877849981015643,1.178270893426753
global,loss_gt0,S3,-1.99746330915402e-06,-0.007622139751670145
global,loss_gt0,S4,-3.6539040827635195e-05,-0.1394296827901041
subject,near_observed_1pct,Q1,-1.0859344407004599e-06,-0.0011606412228918736
subject,near_observed_1pct,Q3,2.687267592477297e-07,0.00028721379743317963
subject,near_observed_1pct,S2,0.0009334480993029953,0.9976645945424657
subject,near_observed_1pct,S3,5.181530175265454e-06,0.005537993173134926
subject,near_observed_1pct,S4,-2.179239653986226e-06,-0.0023291602901419663
subject,ge_observed,Q1,1.6885169652994707e-06,0.0014869532152550565
subject,ge_observed,Q3,1.1481106313696322e-06,0.0010110569392359084
subject,ge_observed,S2,0.0011280128801097855,0.9933583217689971
subject,ge_observed,S3,7.175775037794096e-06,0.00631917948334176
subject,ge_observed,S4,-2.470412573138289e-06,-0.0021755114068297172
subject,loss_gt0,Q1,-3.914687675656336e-06,-0.013293172560303759
subject,loss_gt0,Q3,-5.0718739873095264e-06,-0.017222650107359478
subject,loss_gt0,S2,0.00030377224377260145,1.031524655366746
subject,loss_gt0,S3,3.5686460117845344e-06,0.012118112904968356
subject,loss_gt0,S4,-3.86573573329262e-06,-0.013126945604051416
nearest_hard085,near_observed_1pct,Q1,-3.270602791169136e-05,-0.035129471471316946
nearest_hard085,near_observed_1pct,Q3,1.9035367215950434e-05,0.020445845376403315
nearest_hard085,near_observed_1pct,S2,0.0009312803319903906,1.0002861228758475
nearest_hard085,near_observed_1pct,S3,3.6021580500924713e-05,0.038690699096071965
nearest_hard085,near_observed_1pct,S4,-2.2617304193325867e-05,-0.02429319587700583
nearest_hard085,ge_observed,Q1,-3.3718086260822044e-05,-0.02972855167343488
nearest_hard085,ge_observed,Q3,2.0256226379292567e-05,0.017859503293497787
nearest_hard085,ge_observed,S2,0.0011347424046190648,1.0004793258670897
nearest_hard085,ge_observed,S3,3.5075502367182066e-05,0.03092535787851198
nearest_hard085,ge_observed,S4,-2.2157293286778457e-05,-0.01953563536566461
nearest_hard085,loss_gt0,Q1,-3.513596442962132e-05,-0.12054837229177501
nearest_hard085,loss_gt0,Q3,1.623330113398192e-05,0.0556950139377414
nearest_hard085,loss_gt0,S2,0.00029991513909658504,1.028982196181722
nearest_hard085,loss_gt0,S3,3.447431883597999e-05,0.11827832504411084
nearest_hard085,loss_gt0,S4,-2.4019031434131646e-05,-0.08240716287179921
focus_mean,near_observed_1pct,Q1,-1.1765153713290875e-05,-0.012841734198304342
focus_mean,near_observed_1pct,Q3,8.986141305983414e-06,0.009808425876279022
focus_mean,near_observed_1pct,S2,0.0009234851637072212,1.0079894659607076
focus_mean,near_observed_1pct,S3,1.4214115970376702e-05,0.015514790847929614
focus_mean,near_observed_1pct,S4,-1.8754776565430772e-05,-0.020470948486611983
focus_mean,ge_observed,Q1,-1.159346522686387e-05,-0.010239637195212875
focus_mean,ge_observed,Q3,9.832486465209236e-06,0.00868429690005796
focus_mean,ge_observed,S2,0.0011382385153705472,1.0053206018167318
focus_mean,ge_observed,S3,1.3868629561129921e-05,0.01224911899263009
focus_mean,ge_observed,S4,-1.813171307553939e-05,-0.01601438051420662
focus_mean,loss_gt0,Q1,-1.4377662983943803e-05,-0.05029954160193824
focus_mean,loss_gt0,Q3,2.9681438227339794e-06,0.010383904105894666
focus_mean,loss_gt0,S2,0.0003062017562216611,1.0712316732460554
focus_mean,loss_gt0,S3,1.2084933494507681e-05,0.04227854107739753
focus_mean,loss_gt0,S4,-2.1036335309856578e-05,-0.07359457682740946
