prior,sim_mean_delta_e144_minus_e95,sim_p05,sim_p50,sim_p95,p_e144_beats_e95,sim_expected_lb_if_full_test_prior,support_cells_mean,support_flip_share_mean,top20_support_rate,fine_tail_support_rate,body_support_rate
global,-4.997525471104376e-05,-0.00016710234042532787,-4.9388054711044684e-05,6.661194528895549e-05,0.7627,0.5762413545452889,89.072715,0.4842125151883355,0.48539725,0.45937916666666667,0.4847677950310559
prev_beta,-2.1718743282473487e-05,-0.00012767376899675912,-2.19594832824733e-05,8.432623100323971e-05,0.63967,0.5762696110567175,85.956,0.4691915871810457,0.44910025,0.4277972916666667,0.4701171739130435
nearest_hard085,-2.1564937568188673e-05,-0.00010653091185390271,-2.138805471104622e-05,6.31833738603837e-05,0.663765,0.5762697648624318,84.443975,0.4691098253341445,0.53457475,0.354338125,0.471676149068323
conflict_flat,-2.0529400425330676e-05,-0.00012767376899675987,-2.1388054711044112e-05,8.775480243181079e-05,0.6299,0.5762708003995747,85.601735,0.4685593423450796,0.459394,0.41553270833333333,0.4697450310559006
subject,-1.9912477568187553e-05,-0.00012767376899675925,-2.024519756818682e-05,8.775480243181178e-05,0.62744,0.5762714173224318,85.769175,0.46823139125151936,0.44492075,0.4263866666666667,0.469167049689441
both_distance_beta,-1.585251756818797e-05,-0.00012253091185390213,-1.5102340425330905e-05,8.946908814609845e-05,0.604045,0.5762754772824318,85.195555,0.4660731500607541,0.45937875,0.41568208333333334,0.4671999068322981
next_beta,-1.3194480425330614e-05,-0.0001213880547110428,-1.338805471104423e-05,9.289765957467035e-05,0.58596,0.5762781353195746,84.92655,0.464660159477522,0.45530125,0.41389645833333333,0.465795248447205
both_equal_beta,-1.2891948996759906e-05,-0.00011281662613961829,-1.1673768996761146e-05,8.775480243181151e-05,0.589005,0.5762784378510032,84.02134,0.4644993362697458,0.4924735,0.3708210416666667,0.46659400621118013
edge_endpoint_beta,-1.2190211853902548e-05,-0.00011281662613961846,-1.1673768996760252e-05,8.946908814609651e-05,0.585215,0.576279139588146,84.17985,0.46412629860267407,0.48019725,0.38160104166666664,0.4659715838509317
nearest_beta,-1.1986931853902549e-05,-0.00011453091185390009,-1.1673768996759989e-05,8.946908814609752e-05,0.58385,0.5762793428681461,84.154345,0.4640182366342658,0.47962125,0.3812227083333333,0.4658695652173913
