basename,role,mode,rep,move_l2,move_l1,changed_rows,changed_cells,row_entropy,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4,cos_final9,poscos_final9,cos_stage2,poscos_stage2,cos_ordinal,poscos_ordinal,cos_mixmin,poscos_mixmin,cos_e72,poscos_e72,cos_e95,poscos_e95,cos_e101,poscos_e101,cos_e176,poscos_e176,cos_e216,poscos_e216,cos_e256,poscos_e256,cos_e267,poscos_e267,cos_e323,poscos_e323,public_loss_weighted_pos_cos,public_loss_weighted_abs_cos,severe_loss_weighted_pos_cos,max_severe_pos_cos,max_mild_pos_cos
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,0,0.4423967997813851,4.588517125942854,106,136,0.8047001872086982,0.6127600077611274,0.13354205529636837,0.510537657858628,0.11126419360451027,0.7212668472884586,0.15718952931664054,0.6010551372813017,0.13099115047057064,0.598562289408855,0.13044787084361842,0.9422023920559924,0.20533919046061797,0.6021327942884906,0.13122601000745582,0.011106731554999132,0.011106731554999132,-0.03167951787640697,0.0,0.01116869754702543,0.01116869754702543,0.0018061420622435854,0.0018061420622435854,0.007013539236958905,0.007013539236958905,-0.018877754616067083,0.0,-0.017461325013648544,0.0,-0.019021710841256017,0.0,0.036999019308535185,0.036999019308535185,0.011587868841069443,0.011587868841069443,0.010885405653085451,0.010885405653085451,0.008172529704709332,0.008172529704709332,0.011086204992206559,0.018003426344881467,0.011950217320026942,0.036999019308535185,0.011587868841069443
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,1,0.44239679978138513,4.588517125942854,112,136,0.8193341416298886,0.62196683813406,0.1355485489238796,0.683406112778802,0.14893833759816816,0.6179592345252318,0.13467515050368656,0.5943703854805701,0.12953430687224657,0.7588501078891254,0.16538024966683124,0.44025378025747147,0.09594685345473385,0.8717106668775929,0.18997655298023602,0.024443266891935753,0.024443266891935753,-0.006223792169860546,0.0,0.002614396846776289,0.002614396846776289,0.03201147625616945,0.03201147625616945,0.03977587195846335,0.03977587195846335,0.03824597090182133,0.03824597090182133,0.03718127735925544,0.03718127735925544,0.03936156150441884,0.03936156150441884,0.002850990288196712,0.002850990288196712,0.00396806162488636,0.00396806162488636,0.03700256311239684,0.03700256311239684,-0.01096395470004347,0.0,0.01094890232627636,0.013173158773224185,0.007834760531569415,0.024443266891935753,0.03977587195846335
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,2,0.4423967997813852,4.588517125942854,111,136,0.8160234177840159,0.8018852643574537,0.17475913074913207,0.5904645151072945,0.12868307971844747,0.7828264974533679,0.17060555206979666,0.6769265875609916,0.14752622012318378,0.5656298207464898,0.12327072237529031,0.6670359703586272,0.14537070518646444,0.5037484703586291,0.10978458977746727,0.011657638044233122,0.011657638044233122,0.004349571913477451,0.004349571913477451,0.0020776181246476813,0.0020776181246476813,0.0022129522534018627,0.0022129522534018627,0.01378704334973728,0.01378704334973728,-0.00755918547785993,0.0,-0.008097423169092791,0.0,-0.006992712927315574,0.0,0.004887497954655057,0.004887497954655057,0.004103647044956159,0.004103647044956159,-0.04007488710411612,0.0,0.0160865911533989,0.0160865911533989,0.006711095957509843,0.00778956784667969,0.0071047103082916814,0.0160865911533989,0.01378704334973728
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,3,0.44239679978138513,4.588517125942854,106,136,0.8178774991154069,0.8081265211506325,0.176119321116057,0.7853583726630504,0.17115733713241899,0.783415606021332,0.17073393964072522,0.3941245162483862,0.08589365702047262,0.8770475472459812,0.1911396477714079,0.5807297492265561,0.12656153029113965,0.3597148133869153,0.07839456702756062,0.017021033829436847,0.017021033829436847,-0.025227335431526134,0.0,0.003023471461153497,0.003023471461153497,0.010056064965739736,0.010056064965739736,0.01372494278897224,0.01372494278897224,-0.010356059429198709,0.0,-0.005360715394385226,0.0,-0.010119851773405669,0.0,-0.006947008830047498,0.0,0.0018468778230916587,0.0018468778230916587,0.02439326794291531,0.02439326794291531,0.014699584054476304,0.014699584054476304,0.007218497924835436,0.013288907330896573,0.007068073502955641,0.017021033829436847,0.02439326794291531
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,4,0.44239679978138513,4.588517125942854,104,136,0.8038697419313138,0.5346129518722562,0.11651105078141924,0.5136424085680058,0.11194082847895005,0.7773582668980762,0.16941383143212618,0.624552411671935,0.1361120367494466,0.5465567776010006,0.11911403239855499,0.6471851428294422,0.14104450851239153,0.9446091665021378,0.20586371164689343,-0.017148182863045,0.0,-0.022852517424427312,0.0,0.0032551192606955436,0.0032551192606955436,0.0239390876897838,0.0239390876897838,0.016342567917760568,0.016342567917760568,0.014978052031757026,0.014978052031757026,0.017201152655799808,0.017201152655799808,0.012702308785516965,0.012702308785516965,-0.0007358780641300158,0.0,0.014066603015452005,0.014066603015452005,0.011940997542316588,0.011940997542316588,-0.006283861547560477,0.0,0.002649291824243841,0.011884010631527477,0.0008509527830542894,0.0032551192606955436,0.0239390876897838
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,5,0.44239679978138513,4.588517125942854,113,136,0.8213089342394757,0.30244481612499524,0.06591341120096236,0.9902497027451898,0.21581039703355062,0.5693127590609245,0.12407336475698941,0.5484531427439313,0.11952731736423779,0.7115324817214925,0.1550680671318473,0.508406347494438,0.1107997057741959,0.9581178760518825,0.20880773673799866,0.023903386610237377,0.023903386610237377,0.008732719839004281,0.008732719839004281,-0.016587467311388472,0.0,0.08022082218054981,0.08022082218054981,0.08268268883463323,0.08268268883463323,0.07829660885163045,0.07829660885163045,0.07942802447090494,0.07942802447090494,0.07431536544175801,0.07431536544175801,0.06872299401321011,0.06872299401321011,0.017376857150215926,0.017376857150215926,0.010813972246345022,0.010813972246345022,-0.01761764643699473,0.0,0.023249550997701117,0.02872405813504869,0.017957993301819002,0.06872299401321011,0.08268268883463323
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,6,0.44239679978138513,4.588517125942854,111,136,0.8161349367370738,0.41551239865872996,0.09055483225929105,0.6018238527689699,0.13115868073504797,0.7940615431386643,0.17305406547334756,0.6195176449836426,0.13501478320323548,0.579414723942577,0.126274939820213,0.850249665721837,0.18529944258341227,0.727937296728433,0.15864325592523465,-0.015846515687881733,0.0,0.006695529637259734,0.006695529637259734,-0.031625634221784514,0.0,-0.009714520421451291,0.0,-0.01913869398273081,0.0,-0.012524094300975237,0.0,-0.012241394432676784,0.0,-0.011578383935166121,0.0,0.005506510466392972,0.005506510466392972,0.0,0.0,0.037152959417401335,0.037152959417401335,0.034853140349778745,0.034853140349778745,0.00590817494020781,0.018262438377341872,0.005939066353603197,0.034853140349778745,0.037152959417401335
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,7,0.44239679978138513,4.588517125942854,107,136,0.8167494131598652,0.6384648133869166,0.13914404062632435,0.4865816523801115,0.10604333361402069,0.8459856169080959,0.18437015569252724,0.6030484703586206,0.13142556817515944,0.6385668896009649,0.1391662866398504,0.7147745076509953,0.15577461912686372,0.661095175657149,0.14407599612503622,-0.031727635540458855,0.0,0.01836348412414127,0.01836348412414127,0.06941642285608686,0.06941642285608686,-0.02396627965826989,0.0,-0.013793911451484763,0.0,-0.008134295467297192,0.0,-0.012113585128801797,0.0,-0.008217454466392963,0.0,-0.000798452413293986,0.0,0.03425588405476241,0.03425588405476241,0.01821068051560049,0.01821068051560049,-0.022832650126865174,0.0,0.02027481964949609,0.03142527116659702,0.022145104179250825,0.06941642285608686,0.03425588405476241
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,8,0.44239679978138513,4.588517125942854,109,136,0.8192470392381721,0.49552492851145363,0.10799238946057646,0.9153723434052925,0.19949197491923956,0.7469993835705334,0.16279755813636115,0.5640551372813003,0.12292754321261788,0.673902451146773,0.14686715395186672,0.6197619593481908,0.13506802793521366,0.57290092267931,0.12485535238390656,-0.0009439858263106914,0.0,0.023233037547696248,0.023233037547696248,-0.010025806148069373,0.0,-0.005417032535608544,0.0,-0.007782021446828086,0.0,-0.009806825909221776,0.0,-0.008620672264308746,0.0,-0.010844317579780879,0.0,0.03265277735119132,0.03265277735119132,0.0,0.0,-0.011445285784763547,0.0,0.0430004498653889,0.0430004498653889,0.0124491207748514,0.015937353704130866,0.014141839295735162,0.0430004498653889,0.0
submission_e344_counteraxis_e342_submission_e342_signtransfer_q2_su__ctr_submission_e315null_submission_e31__w0_10_cellveto_1860f60a.csv,e344_nullsafe_top4,cell_perm,9,0.4423967997813852,4.588517125942854,105,136,0.8090464737501601,0.6892196106782968,0.15020530418888323,0.7560170641413524,0.1647628293390842,0.7309343343957231,0.15929641632216215,0.756462196518971,0.1648598394112711,0.7317389126571587,0.15947176235212168,0.4420682445649904,0.09634228933471777,0.4820767629863616,0.10506155905154191,-0.006130070089340314,0.0,-0.0009048984321842905,0.0,0.003323777993506899,0.003323777993506899,0.015204365378660548,0.015204365378660548,0.02213066444837176,0.02213066444837176,-0.004709746271847696,0.0,-0.0014813564817798938,0.0,-0.005709171515300828,0.0,-0.022031444166359833,0.0,-0.010753706895170884,0.0,0.016819490424094332,0.016819490424094332,-0.005510821018800789,0.0,0.0019046743370993943,0.007078092355617986,0.0008689015385645007,0.003323777993506899,0.02213066444837176
